,Fungi,Viridiplantae,Unclassified,Rhizaria,Choanoflagellozoa,Amoebozoa,Metazoa,Ichthyosporia
SL1501,96.3306798385852,0.0,3.669320161414805,0.0,0.0,0.0,0.0,0.0
SL1502,83.40273808551754,14.087803815900493,2.5094580985819657,0.0,0.0,0.0,0.0,0.0
SL1503,41.78086086313755,0.0,58.21913913686245,0.0,0.0,0.0,0.0,0.0
SL1504,95.6918126564176,0.4647836968180193,3.8434036467643904,0.0,0.0,0.0,0.0,0.0
SL1505,92.06224457717698,0.039295818924866395,7.890600440113172,0.00785916378497328,0.0,0.0,0.0,0.0
SL1506,82.48192917451254,5.570066209074895,11.948004616412561,0.0,0.0,0.0,0.0,0.0
SL1507,87.7612633534603,1.8462610311193683,10.392475615420343,0.0,0.0,0.0,0.0,0.0
SL1508,83.06645938593083,3.7621453556160125,13.171395258453167,0.0,0.0,0.0,0.0,0.0
SL1509,94.54828145158622,0.48959608323133413,4.962122465182441,0.0,0.0,0.0,0.0,0.0
SL1510,90.39173242092032,3.1701696808882063,6.438097898191467,0.0,0.0,0.0,0.0,0.0
SL1511,89.02794653705953,2.01093560145808,8.961117861482382,0.0,0.0,0.0,0.0,0.0
SL1512,92.03606180029993,2.470965716876504,5.492972482823562,0.0,0.0,0.0,0.0,0.0
SL1513,92.82013710816892,0.5939609608038097,6.55450311371605,0.03139881731121461,0.0,0.0,0.0,0.0
SL1514,86.48844333054859,4.603174603174603,8.908382066276802,0.0,0.0,0.0,0.0,0.0
SL1515,87.00578788619875,1.3736039781527676,11.61653215945219,0.004075976196299014,0.0,0.0,0.0,0.0
SL1516,62.7555661011587,9.48313362597382,27.749436469332068,0.011863803535413454,0.0,0.0,0.0,0.0
SL1517,95.3123634775011,0.3800786369593709,4.307557885539537,0.0,0.0,0.0,0.0,0.0
SL1518,89.152568519566,5.520131639841621,5.32729984059238,0.0,0.0,0.0,0.0,0.0
SL1519,96.78050837248524,0.0,3.219491627514757,0.0,0.0,0.0,0.0,0.0
SL1520,92.63271939328277,4.690931451494832,2.6763491552223946,0.0,0.0,0.0,0.0,0.0
SL1521,95.72304516755706,0.0,4.149465760077708,0.12748907236522583,0.0,0.0,0.0,0.0
SL1522,92.06937774805989,4.267217798310133,3.6634044536299717,0.0,0.0,0.0,0.0,0.0
SL1523,90.75499086893409,1.4063402375638003,7.8371080275336755,0.0,0.0,0.0,0.0015608659684392902,0.0
SL1524,87.09941603760149,1.7732516735507762,11.127332288847743,0.0,0.0,0.0,0.0,0.0
SL1525,96.426328068916,0.26022972002871503,3.3134422110552766,0.0,0.0,0.0,0.0,0.0
SL1526,81.60166716284608,14.600433802577298,3.7936460681325226,0.0,0.0,0.0,0.004252966444094756,0.0
SL1527,97.38383524785263,0.6002276725654558,2.0159370795819105,0.0,0.0,0.0,0.0,0.0
SL1528,91.08928258200315,0.5086826872478513,8.40203473074899,0.0,0.0,0.0,0.0,0.0
SL1529,91.9606914515747,0.4735969689793985,7.41968584734391,0.14207909069381955,0.0,0.0,0.0039466414081616545,0.0
SL1530,94.76240483066421,0.0,5.237595169335783,0.0,0.0,0.0,0.0,0.0
SL1531,86.83730947647449,0.45974155069582506,12.702948972829688,0.0,0.0,0.0,0.0,0.0
SL1532,88.53359628116637,1.4959853500493028,9.970418368784335,0.0,0.0,0.0,0.0,0.0
SL1533,94.68612038333154,1.0929255949176269,4.220954021750835,0.0,0.0,0.0,0.0,0.0
SL1534,92.70866333617643,0.0,7.291336663823565,0.0,0.0,0.0,0.0,0.0
SL1535,96.89807114301556,0.3647611543961014,2.737167702588345,0.0,0.0,0.0,0.0,0.0
SL1536,78.67746288798921,7.827260458839406,13.49527665317139,0.0,0.0,0.0,0.0,0.0
SL1537,94.1526656965207,0.0,5.291705252017462,0.5556290514618336,0.0,0.0,0.0,0.0
