	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU1	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA
OTU2	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
OTU3	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
OTU4	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	NA
OTU5	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA
OTU6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	NA
OTU7	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU8	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU9	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium austrohemisphaericum
OTU10	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans
OTU11	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma carnescens
OTU12	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Querciphoma	Querciphoma carteri
OTU13	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	NA	NA
OTU14	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU15	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA
OTU16	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU17	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Endoconidioma	Endoconidioma euphorbiae
OTU18	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria sinensis
OTU19	Fungi	NA	NA	NA	NA	NA	NA
OTU20	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
OTU21	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Amorosiaceae	NA	NA
OTU22	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	Carbonea	Carbonea vorticosa
OTU23	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	Taphrina betulina
OTU24	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
OTU25	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleomassariaceae	Splanchnonema	Splanchnonema platani
OTU26	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Pseudotricharina	NA
OTU27	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU28	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodosporidiobolus	Rhodosporidiobolus colostri
OTU29	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA
OTU30	Viridiplantae	Anthophyta	Eudicotyledonae	Proteales	Platanaceae	Platanus	Platanus racemosa
OTU31	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	NA
OTU32	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	NA
OTU33	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Neocucurbitaria	Neocucurbitaria keratinophila
OTU34	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Lapidomyces	Lapidomyces stipagrostidicola
OTU35	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Endoconidioma	Endoconidioma populi
OTU36	Fungi	Ascomycota	Sordariomycetes	Thyridiales	Thyridiaceae	Thyridium	Thyridium oculorum
OTU37	Fungi	Basidiomycota	Microbotryomycetes	NA	NA	Curvibasidium	Curvibasidium cygneicollum
OTU38	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	NA	NA	NA
OTU39	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	NA
OTU40	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
OTU41	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	NA
OTU42	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	NA	NA
OTU43	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU44	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
