	reads per sample	original OTUs	final OTUs
SL1666	19796	124	88
SL1667	15035	191	145
SL1668	12341	120	85
SL1669	45966	198	123
SL1670	22975	127	84
SL1671	20410	136	89
SL1672	19674	127	85
SL1673	19104	158	113
SL1674	39617	156	87
SL1675	46678	131	73
SL1676	16699	117	68
SL1677	12981	238	121
SL1678	24620	146	69
SL1679	23562	126	77
SL1680	28835	138	71
SL1681	24307	121	77
SL1682	34834	64	16
SL1683	362	69	65
SL1684	15067	84	50
SL1685	19956	182	100
SL1686	67062	117	43
SL1687	47006	178	91
SL1688	11186	158	119
SL1689	25647	209	138
SL1690	31123	104	48
SL1691	24327	128	83
SL1692	64202	166	69
SL1693	49965	173	97
SL1694	23720	170	86
SL1695	21220	153	83
SL1696	10611	188	103
SL1697	33209	207	64
SL1698	15151	160	99
SL1699	36166	205	104
SL1700	14201	171	117
SL1701	38866	259	144
SL1702	52188	198	99
SL1703	26618	230	133
SL1704	68506	179	85
SL1705	30349	186	85
SL1706	32834	107	56
SL1707	18435	217	126
SL1708	50055	204	74
SL1709	29293	143	73
SL1710	16397	157	119
SL1711	12978	185	105
SL1712	71461	235	70
SL1713	45521	177	67
SL1714	27418	124	65
SL1715	37249	213	125
SL1716	25618	254	138
SL1717	86280	188	109
SL1718	43906	192	80
SL1719	88088	240	99
SL1720	51213	156	71
SL1721	75	33	33
SL1722	47153	207	60
SL1723	34139	209	128
SL1724	24490	178	85
SL1725	62371	153	54
SL1726	2426	74	54
SL1727	26226	204	128
SL1728	17131	181	112
SL1729	28149	141	68
SL1730	30062	191	111
SL1731	41902	184	102
SL1732	21429	157	78
SL1733	19144	177	127
SL1734	17831	464	357
SL1735	22346	185	93
SL1736	32714	140	69
SL1737	41926	188	104
SL1738	35314	183	97
SL1739	39351	242	122
SL1740	23731	249	174
SL1741	32529	199	90
SL1742	46256	222	115
SL1743	75	32	32
SL1744	46441	202	105
SL1745	30220	147	51
SL1746	20405	99	45
SL1747	36277	259	143
SL1748	35370	151	60
SL1749	37780	189	80
SL1750	5449	86	59
SL1751	35	22	22
SL1752	72703	185	77
SL1753	43863	157	87
SL1754	36458	202	99
SL1755	23853	187	100
SL1756	27750	192	109
SL1757	47564	180	100
SL1758	35562	189	113
SL1759	16405	251	108
SL1760	24891	184	101
SL1761	15308	157	111
SL1762	49542	200	100
SL1763	27190	219	132
SL1764	11990	164	84
SL1765	29727	204	137
SL1766	29529	183	81
SL1767	38680	173	119
SL1768	48250	140	68
SL1769	33387	171	80
SL1770	31227	168	83
SL1771	16876	196	119
SL1772	22571	241	167
SL1773	25956	289	82
SL1774	30488	171	65
SL1775	21086	155	101
SL1776	32668	166	71
SL1777	22510	148	83
SL1778	42707	205	76
SL1779	26489	205	130
SL1780	34845	179	76
SL1781	29273	146	84
SL1782	17884	116	57
SL1783	30182	147	91
SL1784	69630	104	33
SL1785	28706	198	103
SL1786	27246	190	140
SL1787	25933	191	118
SL1788	31944	188	79
SL1789	79083	182	58
SL1790	10914	156	88
SL1791	13545	138	61
SL1792	11779	212	113
SL1793	59428	281	157
SL1794	50326	209	99
SL1795	45576	213	111
SL1796	5268	173	97
SL1797	19143	190	116
SL1798	36650	209	148
SL1799	32404	184	87
SL1800	6529	111	84
SL1801	17586	166	89
SL1802	30530	161	81
SL1803	15746	121	75
SL1804	27603	288	144
SL1805	17812	117	50
SL1806	79912	166	75
SL1807	15264	172	83
SL1808	35555	135	80
SL1809	36582	258	165
SL1810	20526	139	81
SL1811	39397	165	78
SL1812	10336	220	132
SL1813	16073	159	88
SL1814	6411	120	69
SL1815	15777	139	81
SL1816	35839	157	68
SL1817	23269	213	116
SL1818	32034	158	73
SL1819	23758	127	64
SL1820	22034	218	103
SL1821	16584	106	53
SL1822	9241	118	72
SL1823	20494	172	100
SL1824	22630	111	64
SL1825	19320	176	99
SL1826	28617	178	98
SL1827	16562	134	85
SL1828	3283	133	76
SL1829	37600	170	90
SL1830	16537	161	113
SL1831	12791	160	113
SL1832	23516	256	180
SL1833	13887	250	191
SL1834	11099	104	67
SL1835	43508	187	77
SL1836	3835	131	80
SL1837	25252	267	182
SL1838	28977	169	98
SL1839	23356	145	69
SL1840	27294	154	102
SL1841	51704	184	92
SL1842	28229	175	80
SL1843	58085	179	69
SL1844	21559	226	113
SL1845	35002	245	119
SL1846	13952	123	82
SL1847	17288	168	112
SL1848	21243	102	63
SL1849	15534	297	228
SL1850	24224	180	97
SL1851	22608	161	76
SL1852	15220	288	118
SL1853	36392	203	102
SL1854	15189	137	81
SL1855	12138	106	43
SL1856	51	30	30
SL1857	4239	146	79
SL1858	9447	137	71
SL1859	10065	147	109
SL1860	9517	216	80
SL1861	16252	117	55
SL1862	809	79	67
SL1863	59475	131	63
SL1864	15562	185	120
SL1865	27687	184	122
SL1866	22278	127	58
SL1867	34031	168	83
SL1868	21684	201	121
SL1869	20344	134	68
SL1870	12678	114	87
SL1871	51513	194	74
SL1872	19	14	14
SL1873	12750	173	126
SL1874	10287	135	89
SL1875	30519	128	57
SL1876	8164	233	116
SL1877	22180	226	152
SL1878	14335	165	108
SL1879	21795	129	56
SL1880	60318	161	49
SL1881	29794	168	73
SL1882	14237	108	44
SL1883	27252	164	95
SL1884	43733	202	92
SL1885	55439	240	123
SL1886	90674	237	95
SL1887	84724	227	134
SL1888	76337	202	68
SL1889	58217	223	121
SL1890	59092	135	38
SL1891	38502	166	70
SL1892	30549	312	209
SL1893	61417	194	84
SL1894	41515	178	69
SL1895	37638	246	131
SL1896	51418	199	113
SL1897	59897	225	132
SL1898	38414	221	126
SL1899	36209	160	101
SL1900	67726	277	116
SL1901	30210	178	114
SL1902	32410	499	370
SL1903	65622	256	124
SL1904	43022	184	110
SL1905	49614	210	123
SL1906	87875	240	108
SL1907	49546	129	56
SL1908	49987	179	92
SL1909	50955	233	131
SL1910	64689	227	106
SL1911	41986	161	76
SL1912	42989	224	105
SL1913	60507	278	159
SL1914	37528	245	167
SL1915	11	9	9
SL1916	3	3	3
SL1917	25275	223	127
SL1918	47417	166	94
SL1919	37384	172	106
SL1920	40725	243	140
SL1921	44340	206	132
SL1922	35376	217	75
SL1923	57179	222	100
SL1924	20923	227	74
SL1925	44081	212	121
SL1926	39860	153	82
SL1927	55534	150	62
SL1928	45800	152	64
SL1929	9367	220	98
SL1930	46265	158	76
SL1931	47200	198	74
SL1932	16670	155	98
SL1933	67435	189	74
SL1934	37517	207	104
SL1935	74885	209	86
SL1936	6	6	6
SL1937	47862	188	85
SL1938	163	37	37
SL1939	30714	163	100
SL1940	23672	128	75
SL1941	70954	233	159
SL1942	45636	152	64
SL1943	13107	90	59
SL1944	36079	252	98
SL1945	41040	197	115
SL1946	54767	163	84
SL1947	68346	208	88
SL1948	35840	221	123
SL1949	37024	199	111
SL1950	22118	182	111
SL1951	38949	194	116
SL1952	15967	166	103
SL1953	45726	148	51
SL1954	22312	111	69
SL1955	36258	184	67
SL1956	57623	143	58
SL1957	50405	196	88
SL1958	53693	228	134
SL1959	97483	178	82
SL1960	32915	142	89
SL1961	61142	278	121
SL1962	1887	100	60
SL1963	71737	210	77
SL1964	37200	252	148
SL1965	8484	206	97
SL1966	28360	194	107
SL1967	43348	206	108
SL1968	48496	138	74
SL1969	32106	141	77
SL1970	25815	184	101
SL1971	20410	172	87
SL1972	17516	161	92
SL1973	55900	149	65
SL1974	64230	200	105
SL1975	29141	192	128
SL1976	2861	133	77
SL1977	74074	248	123
SL1978	64364	201	88
SL1979	31220	155	88
SL1980	48179	188	94
SL1981	49264	184	111
SL1982	37948	240	112
SL1983	10622	116	70
SL1984	27704	166	44
SL1985	11620	99	60
SL1986	33520	144	85
SL1987	37855	181	60
SL1988	8472	173	125
SL1989	23880	182	100
SL1990	27240	164	88
SL1991	42341	201	94
SL1992	22701	162	106
SL1993	64	28	28
SL1994	73242	154	50
SL1995	14042	202	78
SL1996	16967	210	135
SL1997	24265	300	223
SL1998	31374	181	100
SL1999	5171	107	80
SL2000	16655	144	73
SL2001	19071	143	83
SL2002	37907	180	83
SL2003	12254	132	76
SL2004	4661	103	76
SL2005	58290	300	154
SL2006	59959	246	138
SL2007	23	18	18
SL2008	22443	70	29
SL2009	2891	124	85
SL2010	67	33	33
SL2011	1193	85	71
SL2012	18581	152	70
SL2013	15967	132	87
SL2014	37021	156	68
SL2015	37168	207	136
SL2016	52600	187	113
SL2017	56220	155	58
SL2018	27103	173	84
SL2019	32790	73	31
SL2020	9381	160	101
SL2021	8677	147	90
SL2022	506	54	52
SL2023	8825	186	95
SL2024	27347	280	161
SL2025	14623	125	82
SLP2W	11962	158	77
SLPW1B	13472	242	107
SLPW3A	16732	260	85
SLPW4A	14367	215	86
SLPW5X	24420	253	80
SLPW6A	1473	86	59
SLPW7	633	57	51
SLPW8	75	31	31
