	reads per sample	original OTUs	final OTUs
SL1501	45801	127	60
SL1502	37437	140	87
SL1503	18211	246	81
SL1504	22904	144	92
SL1505	25726	219	125
SL1506	16872	171	114
SL1507	8690	135	95
SL1508	26380	258	159
SL1509	31145	246	159
SL1510	14605	141	77
SL1511	16689	157	101
SL1512	58248	186	83
SL1513	38684	201	108
SL1514	36406	179	93
SL1515	24944	196	130
SL1516	26264	392	236
SL1517	23609	249	155
SL1518	39500	158	82
SL1519	33479	88	39
SL1520	34516	114	57
SL1521	33386	230	147
SL1522	50124	166	75
SL1523	65152	234	136
SL1524	28847	335	206
SL1525	45299	193	109
SL1526	23926	178	118
SL1527	48892	108	38
SL1528	5746	93	65
SL1529	25705	249	151
SL1530	38784	133	49
SL1531	24378	114	68
SL1532	36250	310	169
SL1533	37680	144	77
SL1534	41392	147	53
SL1535	34900	146	86
SL1536	3030	95	66
SL1537	45938	201	115
SL1538	21121	130	80
SL1539	35569	187	113
SL1540	232	49	49
SL1541	49694	128	52
SL1542	31288	139	72
SL1543	47993	88	35
SL1544	39158	104	51
SL1545	41255	270	190
SL1546	30063	147	85
SL1547	46913	173	68
SL1548	6642	216	126
SL1549	30183	156	91
SL1550	38664	179	94
SL1551	30569	101	51
SL1552	71	19	19
SL1553	3301	79	51
SL1554	12590	145	111
SL1555	30088	142	80
SL1556	13441	229	117
SL1557	19730	127	71
SL1558	75083	157	62
SL1559	34549	149	85
SL1560	13641	101	53
SL1561	26529	329	256
SL1562	15836	196	116
SL1563	18341	232	164
SL1564	10486	149	92
SL1565	39290	175	82
SL1566	27273	152	95
SL1567	34716	181	110
SL1568	57773	193	80
SL1569	42844	244	160
SL1570	48770	202	101
SL1571	39015	259	156
SL1572	27091	255	89
SL1573	53265	153	68
SL1574	1616	88	54
SL1575	42965	106	52
SL1576	42853	161	99
SL1577	34896	195	117
SL1578	24696	187	127
SL1579	36358	172	101
SL1580	38852	192	86
SL1581	41437	143	65
SL1582	23089	131	78
SL1583	21699	147	78
SL1584	22336	188	93
SL1585	12577	199	152
SL1586	18864	255	172
SL1587	24983	181	80
SL1588	6382	190	97
SL1589	32944	180	115
SL1590	36607	118	52
SL1591	26321	134	76
SL1592	25450	123	70
SL1593	25944	169	106
SL1594	34411	165	68
SL1595	50766	123	67
SL1596	27075	311	182
SL1597	50935	210	116
SL1598	29975	136	82
SL1599	52122	243	129
SL1600	20914	141	90
SL1601	30769	159	100
SL1602	36474	150	89
SL1603	33081	193	117
SL1604	71	34	34
SL1605	36744	196	125
SL1606	53054	262	171
SL1607	36757	150	96
SL1608	57566	134	55
SL1609	33560	135	74
SL1610	83386	83	12
SL1611	26877	109	63
SL1612	51711	203	111
SL1613	48480	208	127
SL1614	22749	122	56
SL1615	76141	279	173
SL1616	50132	267	156
SL1617	15901	133	86
SL1618	40779	151	84
SL1619	38038	144	91
SL1620	10703	195	123
SL1621	38665	156	109
SL1622	47757	208	112
SL1623	40978	157	82
SL1624	38704	155	95
SL1625	2	2	2
SL1626	29955	220	122
SL1627	42488	155	94
SL1628	2372	110	87
SL1629	47334	191	110
SL1630	25579	177	128
SL1631	30455	171	109
SL1632	9076	104	66
SL1633	15520	128	78
SL1634	5842	129	85
SL1635	16030	131	93
SL1636	34659	166	93
SL1637	12708	179	128
SL1638	22715	516	416
SL1639	43311	268	155
SL1640	22093	122	74
SL1641	8116	115	78
SL1642	9975	114	85
SL1643	23088	225	145
SL1644	2	2	2
SL1645	40591	288	176
SL1646	25347	148	83
SL1647	2	2	2
SL1648	8825	106	71
SL1649	20680	185	146
SL1650	19638	135	90
SL1651	30053	133	83
SL1652	40015	168	81
SL1653	55695	193	96
SL1654	38582	244	163
SL1655	1	1	1
SL1656	33438	100	47
SL1657	40418	167	74
SL1658	19139	82	48
SL1659	29923	173	113
SL1660	16607	188	109
SL1661	36233	162	91
SL1662	30796	147	94
SL1663	34537	154	83
SL1664	8394	194	123
SL1665	26990	131	73
