,Capnodiales,Pleosporales,Hypocreales,Dothideales,Unclassified,Tremellales,Helotiales,Chaetothyriales,Xylariales,Lecanorales,Taphrinales,Pezizales,Agaricales,Sporidiobolales,Proteales,Filobasidiales,Saccharomycetales,Mycosphaerellales,Thyridiales,Sordariales,Acarosporales,Lichenostigmatales,Auriculariales,Togniniales,Botryosphaeriales,Basidiobolales,Erythrobasidiales,Diaporthales,Myriangiales,Magnaporthales,Eurotiales,Lichinales,Atractiellales,Conioscyphales,Pleurotheciales,Microascales,Lecideales,Savoryellales,Cystofilobasidiales,Bezerromycetales,Orbiliales,Thelebolales,Verrucariales,Cystobasidiales,Corticiales,Tubeufiales,Glomerellales,Russulales,Neocelosporiales,Calosphaeriales,Wallemiales,Trechisporales,Mortierellales,Archaeorhizomycetales,Agaricostilbales,Leucosporidiales,Caliciales,Boletales,Coniochaetales,Venturiales,Cantharellales,Polyporales,Sareales,Mycocaliciales,Blastocladiales,Hymenochaetales,Mucorales,Ostropales,Mytilinidales,Peltigerales,Trapeliales,Candelariales,Calcarisporiellales,Atheliales,Erysiphales,Phaeomoniellales,Symbiotaphrinales,Choanoflagellida,Thelephorales,Sebacinales,Glomerales,Teloschistales,Schizosaccharomycetales,Phacidiales,Trichosphaeriales,Chaetosphaeriales,Physarida,Myrmecridiales,Poales,Trichosporonales,Phallales,Tritirachiales,Amphisphaeriales,Patellariales,Spiculogloeales,Neophaeothecales,Pertusariales,Ophiostomatales,Umbilicariales,Polypodiales,Delonicicolales,Sclerococcales,Geoglossales,Geastrales,Onygenales,Phaeothecales,Gloeophyllales,Valsariales,Rhytismatales,Monoblastiales,Rhabditida,Caryophyllales,Rhizophlyctidales
SL1501,12.555954927341286,26.666519658647378,0.002205120289311782,13.729078921255155,6.32428498974619,0.0,0.0,0.0,2.7762464442435335,0.0,0.0,0.0,0.004410240578623564,0.0,0.0,0.0,0.013230721735870692,0.0,16.40830007276897,0.0,0.0,0.0,0.0,1.5193278793358178,14.388409887759376,0.0,0.0,0.08158945070453594,0.0,0.0,4.655008930737171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8754327548567774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1502,4.10440652132495,13.320268909392777,0.08709615960371248,0.0,4.959037587436379,0.002721754987616015,0.2558449688359054,60.05824555673498,0.0,0.0,0.0,0.0,0.4082632481424022,0.0,0.0,0.0,0.01088701995046406,0.0,0.3483846384148499,0.0,0.0,0.0,0.0,0.06532211970278436,1.9868811409596907,0.0,0.0,0.0,0.0,0.0,0.08709615960371248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046269834789472254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17147056421980894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.087803815900493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1503,1.1826917609597998,4.1394211633593,3.5480752828793998,0.0,63.427531699550805,0.0,0.0,0.14215045203843749,0.0,1.6773753340535622,0.0,0.005686018081537499,7.823960880195599,0.09097628930459999,0.0,4.201967362256212,0.14783647011997497,0.0,0.0,7.050662421106499,0.0,0.005686018081537499,0.0,0.0,0.011372036163074998,0.0,0.0,0.0,0.0,0.0,2.6383123898333998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017058054244612497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.678114516404162,0.0,0.0,1.2111218513674873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1504,22.238112263139076,53.51269217018234,0.0,2.5205577404361814,6.766178047908474,3.68251698248123,0.026814444047193423,0.0,0.0,0.0,0.0,0.0,1.5328923846978906,0.11619592420450482,0.0,1.6133357168394709,0.2860207365033965,1.590990346800143,0.0,0.9921344297461566,0.0,2.2077225598855916,0.0,0.0,0.0,1.7116553450125134,0.11172685019663926,0.27708258848766537,0.0,0.0,0.29048981051126205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00893814801573114,0.0,0.0,0.0,0.0,0.0,0.0,0.04915981408652127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4647836968180193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1505,52.24772084250236,3.583778685947815,0.023577491354919836,19.899402703552344,20.11552970763911,1.9372838729959132,0.0,0.42439484438855707,0.0,0.0,0.0,0.0,0.4086765168186105,0.019647909462433197,0.0,0.337944042753851,0.04322540081735304,0.011788745677459918,0.0,0.21219742219427853,0.0,0.5344231373781829,0.0,0.0,0.0,0.0,0.0,0.00392958189248664,0.0,0.0,0.04322540081735304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0903803835271927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019647909462433197,0.0,0.0,0.0,0.0,0.0,0.00392958189248664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039295818924866395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1506,34.453015853732616,8.200206523719856,0.23689485512968475,0.0,16.260705825183745,1.469962947214967,0.0,23.555852517767114,0.20044949280204094,0.0,0.0,0.006074227054607301,0.04859381643685841,0.018222681163821905,0.0,1.1905485027030311,3.3590475611978374,0.9415051934641316,0.0,2.156350604385592,0.0,0.0,0.0,0.9658021016825609,0.0,0.0,0.0,0.0,0.0,0.0,0.18830103869282633,0.25511753629350664,0.12148454109214603,0.0,0.0,0.0,0.05466804349146571,0.0,0.7410557006620907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006074227054607301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.570066209074895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1507,6.4909428704133765,30.43427775197399,0.8824895494658616,0.0,11.274965164886206,0.4876915931258709,0.0,32.72178355782629,0.35996284254528566,0.0,0.0,0.0,0.35996284254528566,0.046446818392940084,0.0,0.023223409196470042,2.3571760334417093,0.023223409196470042,0.0,0.0,0.0,0.0,0.0,11.704598235020901,0.7199256850905713,0.0,0.0,0.0,0.0,0.0,0.15095215977705528,0.0,0.0,0.0,0.011611704598235021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011611704598235021,0.0,0.0,0.03483511379470506,0.0,0.0,0.0,0.0,0.0,0.023223409196470042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03483511379470506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8462610311193683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1508,31.643995336183444,14.244073066459386,0.7384376214535562,0.7617567042363,17.104547221142635,2.475709288767975,0.0,7.769141080450836,0.04275165176836378,0.0,0.00777302759424796,0.0,0.15934706568208318,0.011659541391371939,0.0,3.6844150796735327,0.09327633113097551,0.3225806451612903,0.0,1.0649047804119705,0.0,0.0,14.018655266226196,0.0,0.0,0.0,0.0,0.0,0.00388651379712398,0.0,0.01554605518849592,0.0,0.10104935872522347,0.0,0.0,0.0,0.0,0.06607073455110765,1.8422075398367663,0.0,0.0,0.0,0.0,0.00777302759424796,0.0,0.0,0.0,0.011659541391371939,0.0,0.0,0.04275165176836378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7621453556160125,0.0,0.00388651379712398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1509,9.576896357802111,25.045486122597506,0.2348737966853022,3.526415031922988,40.35859605015052,1.2636871877997948,0.0,10.60240166727315,0.671540573621357,0.0,0.0,0.056237387938734326,0.12239902080783353,0.0,0.0,0.7277779615600913,0.049621224651824405,0.11909093916437857,3.4503291541235237,0.009924244930364881,0.0,0.10916669423401369,0.0,0.3142677561282212,1.8657580469085977,0.0,0.0,0.009924244930364881,0.0,0.0,0.4267425320056899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.754242614707731,0.0,0.0,0.0,0.049621224651824405,0.0,0.0,0.0,0.0,0.0,0.036388898078004564,0.08601012272982897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009924244930364881,0.0,0.0,0.0033080816434549604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029772734791094643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48959608323133413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1510,5.460512534040919,0.5516374554849521,70.1766636408072,0.3561203826548425,6.549821939808672,5.202150687801131,0.0,0.7192235179107604,0.0,0.0,0.0,0.0,7.492493540953844,0.09775853641505482,0.0,0.09077578381397947,0.09775853641505482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027931010404301376,0.0,0.0,0.0,0.0,0.0,0.0,0.006982752601075344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1701696808882063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
