,Dothideomycetes,Sordariomycetes,Unclassified,Tremellomycetes,Leotiomycetes,Eurotiomycetes,Lecanoromycetes,Taphrinomycetes,Pezizomycetes,Agaricomycetes,Microbotryomycetes,Eudicotyledonae,Saccharomycetes,Arthoniomycetes,Basidiobolomycetes,Cystobasidiomycetes,Lichinomycetes,Atractiellomycetes,Orbiliomycetes,Wallemiomycetes,Mortierellomycetes,Archaeorhizomycetes,Agaricostilbomycetes,Sareomycetes,Blastocladiomycetes,Mucoromycetes,Candelariomycetes,Calcarisporiellomycetes,Xylonomycetes,Glomeromycetes,Schizosaccharomycetes,Myxogastrea,Monocotyledonae,Tritirachiomycetes,Spiculogloeomycetes,Pucciniomycetes,Polypodiopsida,Geoglossomycetes,Chromadorea,Rhizophlyctidomycetes
SL1501,67.3399633950032,24.318066550530332,3.669320161414805,0.0,0.0,4.655008930737171,0.0,0.0,0.0,0.004410240578623564,0.0,0.0,0.013230721735870692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1502,21.406602977599956,0.9716665305789173,2.539397403445742,0.002721754987616015,0.2558449688359054,60.3168122805585,0.0,0.0,0.0,0.4082632481424022,0.0,0.0,0.01088701995046406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.087803815900493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1503,5.333484960482174,10.598737703985899,63.427531699550805,4.201967362256212,0.0,2.780462841871837,1.6773753340535622,0.0,0.005686018081537499,7.823960880195599,1.3020981406720873,0.0,0.14783647011997497,0.005686018081537499,0.0,0.017058054244612497,0.0,0.0,0.0,0.0,2.678114516404162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1504,79.86235252055774,1.269217018233822,6.609760457633178,5.452270289595996,0.026814444047193423,0.29048981051126205,0.0,0.0,0.0,1.5328923846978906,0.11619592420450482,0.0,0.2860207365033965,2.2077225598855916,1.7116553450125134,0.1206649982123704,0.0,0.0,0.0,0.04915981408652127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4647836968180193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1505,76.51288902860736,0.239704495441685,19.412134548883998,2.3184533165671173,0.0,0.4676202452059101,0.0,0.0,0.0,0.41260609871109716,0.019647909462433197,0.0,0.04322540081735304,0.5344231373781829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039295818924866395,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1506,43.594727570916604,5.655105387839398,14.165097491344227,3.401567150580089,0.0,23.744153556459942,0.05466804349146571,0.0,0.006074227054607301,0.04859381643685841,0.018222681163821905,0.0,3.3590475611978374,0.0,0.0,0.0,0.25511753629350664,0.12148454109214603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006074227054607301,0.0,0.0,0.0,0.0,0.0,5.570066209074895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1507,38.17928471899675,13.248954946586158,10.508592661402695,0.5109150023223409,0.0,32.87273571760334,0.0,0.0,0.0,0.3947979563399907,0.046446818392940084,0.0,2.3571760334417093,0.0,0.0,0.011611704598235021,0.0,0.0,0.0,0.0,0.023223409196470042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8462610311193683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1508,47.27555382821609,1.919937815779246,16.758647493198602,8.041197046249515,0.0,7.784687135639332,0.0,0.00777302759424796,0.0,14.193548387096774,0.011659541391371939,0.0,0.09327633113097551,0.0,0.0,0.00777302759424796,0.0,0.10104935872522347,0.0,0.04275165176836378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7621453556160125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1509,40.19980813126468,5.48810744649178,39.5811968639386,2.7820966621456216,0.0,11.078765423930662,0.029772734791094643,0.0,0.056237387938734326,0.1356313473816534,0.0,0.0,0.049621224651824405,0.10916669423401369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48959608323133413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1510,6.368270372180714,70.26743942462119,6.452063403393618,5.299909224216186,0.0,0.7192235179107604,0.0,0.0,0.0,7.492493540953844,0.09775853641505482,0.0,0.09775853641505482,0.0,0.0,0.027931010404301376,0.0,0.0,0.0,0.006982752601075344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1701696808882063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
