,Ascomycota,Basidiomycota,Unclassified,Anthophyta,Basidiobolomycota,Cercozoa,Mortierellomycota,Rozellomycota,Haplosporidia,Glomeromycota,Blastocladiomycota,Mucoromycota,Calcarisporiellomycota,Choanoflagellata,Eumycetozoa,Monilophyta,Streptophycophyta,Olpidiomycota,Nematoda,Chytridiomycota
SL1501,96.32626959800658,0.004410240578623564,3.669320161414805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1502,82.96181377752374,0.41098500313001823,2.539397403445742,14.087803815900493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1503,25.75766190936487,13.345084437368511,58.21913913686245,0.0,0.0,0.0,2.678114516404162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1504,85.68555595280658,7.271183410797283,4.866821594565606,0.4647836968180193,1.7116553450125134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1505,88.8557057529079,2.801791889342974,8.295347375039295,0.039295818924866395,0.0,0.0,0.0,0.0,0.00785916378497328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1506,78.18137641985058,3.589868189272915,12.658689181801616,5.570066209074895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1507,86.76265675801207,0.9637714816535068,10.40408732001858,1.8462610311193683,0.0,0.0,0.023223409196470042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1508,58.188884570540225,22.397979012825495,15.650991061018267,3.7621453556160125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1509,57.663171127063414,2.9177280095272753,38.92950478017797,0.48959608323133413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1510,77.46665735632986,12.925075064590462,6.438097898191467,3.1701696808882063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1511,70.18226002430134,6.087484811664641,21.71931956257594,2.01093560145808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1512,80.43629895720713,2.9470233320545463,6.779897464513654,2.470965716876504,7.247236075750706,0.0,0.11857845359746103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1513,90.44952640117222,2.221466324768434,6.7036474959443195,0.5939609608038097,0.0,0.0026165681092678843,0.0,0.0,0.028782249201946726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1514,81.93260930103035,4.525201893622946,8.936229462545253,4.603174603174603,0.0,0.0,0.0,0.0,0.0,0.0,0.00278473962684489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1515,76.92182277655499,7.434580582049401,14.265916687046548,1.3736039781527676,0.0,0.004075976196299014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1516,47.415668129869104,14.6676157709495,28.283307628425675,9.48313362597382,0.0,0.0,0.13841104124649029,0.0,0.011863803535413454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1517,89.51507208387942,4.316295325469637,5.784185233726518,0.3800786369593709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00436871996505024,0.0,0.0
SL1518,76.32796832416311,12.719185478479972,5.432714557515298,5.520131639841621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1519,37.73641729912059,59.04107938802554,3.222503312853873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1520,92.31647682351908,0.25182278703405464,2.7407689379520366,4.690931451494832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1521,94.23870811073337,1.2354298203011171,4.398372996600291,0.0,0.0,0.07588635259834871,0.0,0.0,0.05160271976687712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1522,87.5731971713979,4.494154357384557,3.665430672907422,4.267217798310133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1523,74.70928871337819,13.896389717015,9.682051602228917,1.4063402375638003,0.3043688638456616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015608659684392902,0.0
SL1524,75.39524284289988,9.104828372026777,13.719555618857713,1.7732516735507762,0.0,0.0,0.007121492664862555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1525,92.66421392677674,1.2316044508255564,5.675699928212491,0.26022972002871503,0.16825197415649676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1526,78.70964998086166,0.22540722153702208,6.460256028579934,14.596180836133202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004252966444094756,0.0,0.004252966444094756,0.0
SL1527,97.37348649487737,0.01034875297526648,2.0159370795819105,0.6002276725654558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1528,69.58428345904227,10.050868268724786,10.787581126118225,0.5086826872478513,9.068584458866866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1529,81.32054621517089,10.178388191648907,7.774883574078459,0.46965032757123687,0.10655931802036467,0.07498618675507143,0.0,0.0,0.06709290393874813,0.0,0.0,0.0,0.0,0.0,0.0,0.0039466414081616545,0.0,0.0,0.0039466414081616545,0.0
SL1530,91.43869782095038,3.3210816487267,5.24022053032292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1531,85.61547382372432,0.42660702451954935,13.498177601060306,0.45974155069582506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1532,77.9799971827018,8.868854768277222,11.652345400760671,1.4959853500493028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002817298211015636,0.0,0.0
