,Ascomycota,Basidiomycota,Unclassified,Anthophyta,Basidiobolomycota,Cercozoa,Mortierellomycota,Rozellomycota,Haplosporidia,Glomeromycota,Blastocladiomycota,Mucoromycota,Calcarisporiellomycota,Choanoflagellata,Eumycetozoa,Monilophyta,Streptophycophyta,Olpidiomycota,Nematoda,Chytridiomycota
SL1533,92.90136750296112,1.7174545062991278,4.288252395822117,1.0929255949176269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1534,87.77141464603388,4.929937857926161,7.298647496039966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1535,39.22495549913916,53.0129271353118,7.397356211152937,0.3647611543961014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1536,23.85290148448043,54.824561403508774,13.49527665317139,7.827260458839406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1537,80.46258323411386,13.546765445164704,5.435022269259602,0.0,0.0,0.412312034219694,0.0,0.0,0.1433170172421396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1538,83.7004826300951,6.001815836001338,10.29770153390357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1539,78.7786784292384,9.65542920974995,11.565892361011658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1540,8.189655172413794,2.586206896551724,89.22413793103448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1541,10.99810060658048,84.65167575516206,2.354839368502747,1.9953842697547128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1542,91.5581674729699,2.6104743660508456,4.230656839507776,1.6007013214714763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1543,30.36976446653663,67.1113068646574,2.518928668805973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1544,94.34774760836493,0.8638250689770764,3.194863464067456,0.4873520538407983,1.1062118047497487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1545,83.6697703289882,8.811918063314712,6.847920546244569,0.0223463687150838,0.4941030415890751,0.09435133457479826,0.0,0.0,0.0595903165735568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1546,73.48650008385042,18.40684219352675,7.992621163843703,0.0,0.0,0.11403655877913801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1547,89.92503554349231,2.6366808840635905,7.438283572444099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1548,18.366390754333906,0.6715602061533656,79.7751054193347,1.0620021864750897,0.10932375449008278,0.015617679212868968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1549,79.4070351758794,2.8542713567839195,5.584589614740368,9.55108877721943,2.6030150753768844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1550,58.514677769921704,14.156650168905648,6.096315500039281,0.0,21.088328488752715,0.0,0.0,0.1440280723806531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1551,89.16270882460394,2.500913348168322,3.430867846823209,0.0,4.785944402006045,0.0,0.1195655783984855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1552,60.563380281690144,30.985915492957748,8.450704225352112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1553,61.633281972265024,28.07395993836672,10.29275808936826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1554,80.14207297384566,1.6709719082983532,15.902486277042298,1.6063932838230546,0.45205037132709075,0.0,0.0,0.0,0.21795285760413302,0.008072328059412335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1555,90.71112163121767,4.619078213235046,4.66980015554729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1556,53.14942528735632,0.6206896551724138,46.206896551724135,0.0,0.0,0.01532567049808429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007662835249042145,0.0
SL1557,90.69170771756978,2.1038587848932675,6.824712643678161,0.0051313628899835794,0.18986042692939245,0.18472906403940886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1558,93.09598235429438,0.2719928551130597,4.247689413929823,1.9797290897035142,0.4046062869592281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1559,87.78652770865658,2.1985421118885213,4.247782429228022,5.76714775022688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1560,94.19263456090651,4.085284031608767,1.7146265096168183,0.0,0.0,0.0,0.007454897867899209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1561,69.1358024691358,15.449514300089012,7.701536437168621,0.0,6.8810712488873405,0.3367003367003367,0.14319439606795928,0.0,0.2941290297612137,0.011610356437942644,0.0,0.034831069313827935,0.011610356437942644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1562,73.09602115173793,8.763784097504352,10.988585799961308,7.1516089507964145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1563,65.27575791475556,2.4723123391878286,29.404855129209082,2.8414811500167803,0.0,0.005593466830741693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1564,71.68312996319969,15.039705597520822,13.219058686809994,0.05810575246949448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1565,90.01315755527463,3.1320141379221385,6.836768917210598,0.0,0.0,0.01805938959263177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1566,93.06967564145533,1.0240941421815066,5.693963430529178,0.0,0.0,0.21226678583398503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1567,78.36063652082173,0.8234914866805381,19.198194765993613,1.1634381502212583,0.4542390762828591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1568,86.28803031898094,3.8776011509983506,5.249675404428537,4.54609257114784,0.0,0.0,0.03860055444432747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1569,79.35440645114977,12.71804934076715,6.479864085568663,0.0,0.0023928597066354,0.71785791199062,0.0574286329592496,0.0,0.6628221387380058,0.0,0.0,0.0071785791199062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1570,85.75042508190603,2.8947041015220005,10.954671753825737,0.0,0.36909550864678803,0.0,0.03110355409944843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1571,86.47038667334405,7.019162339545059,5.461398560847677,1.0437808060307336,0.0,0.005271620232478453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1572,70.40140147764491,1.0472998705156524,28.55129865183944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1573,95.28137949471996,0.2998071304447457,3.76954952546451,0.0,0.649263849370787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1574,4.478566858605246,0.3838771593090211,95.13755598208573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1575,73.19156926254519,23.726705158897808,2.058395531145848,0.0,1.0233300474111628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1576,55.55713946305536,33.63506771204562,7.120456165359943,2.767878355904015,0.40152055119980995,0.0,0.5179377524352577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1577,87.38078622935566,7.574435915329146,4.1463130960688535,0.732728541521284,0.0,0.0,0.0,0.0,0.16573621772505234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1578,84.82798448972856,6.699117234551605,6.637241151720155,0.4248824354426202,0.9858922531144295,0.020625360943816517,0.05775101064268625,0.3465060638561175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1579,91.86536155497923,3.223737415990407,4.219303382693327,0.6804428455896706,0.0,0.01115480074737165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1580,89.57301496272353,1.1600020853970074,9.193994056618529,0.0,0.0,0.005213492518638236,0.06777540274229707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1581,93.23389431333105,0.5176389774790245,4.173004268681615,0.7212599970560817,1.1996467297973603,0.0,0.15455571365487464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1582,78.25052854122622,4.527836504580691,5.747885835095137,11.257928118393234,0.0,0.026427061310782242,0.0,0.0,0.0,0.0,0.1893939393939394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1583,80.78285181733457,7.805219012115564,8.597390493942218,2.814538676607642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1584,84.2524705132292,8.561409900268682,6.867343685960199,0.318775900541919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1585,79.85599870560634,14.497208963676078,5.048135264137206,0.0,0.15370924682469056,0.2831486125717984,0.0,0.0,0.06471968287355392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09707952431033087,0.0,0.0,0.0
SL1586,80.09734991887507,9.648458626284478,7.609518658734451,2.6446727961060033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1587,78.51721886730863,3.651868777542027,16.96588868940754,0.0,0.8609433654316958,0.0,0.0,0.0,0.0,0.004080300310102824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1588,9.382635608405277,0.5701254275940707,89.83547809089428,0.0,0.0,0.0,0.19547157517510996,0.0,0.01628929793125916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1589,92.54979709426598,0.7155912146463864,4.798488274836592,1.9330256187850439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003097797466001673,0.0
SL1590,93.68054588497424,0.49575268068514133,3.6401615373903358,0.0,1.0277120178248156,0.0,1.15582787912547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1591,62.17948717948718,0.4904232313870868,8.812171763978993,28.45227062094532,0.0,0.0,0.06564720420142107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1592,92.10526315789474,0.862617268246144,6.885037366830975,0.003975194784544443,0.14310701224359992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1593,83.96186028410196,6.102354543685542,7.9237205682039304,0.0,0.5059350068106635,0.6499318933644678,0.0,0.0,0.7472270869819031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10897061685152754,0.0,0.0,0.0
SL1594,81.1875384660473,4.633510155036488,14.120336449693736,0.0,0.0,0.0,0.05861492922247297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1595,89.94658565159548,2.3291832965985586,5.522130219812951,2.2021008319930107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1596,58.652535957607874,2.975018925056775,33.504920514761544,4.220287660862983,0.0,0.6472369417108251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1597,80.27503736920777,3.9601395117090186,5.819631290483309,9.945191828599901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1598,79.55591659897102,4.210668832927159,2.9989168697535877,13.156647711887354,0.0,0.0,0.07784998646087192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1599,91.37085588137613,3.508703381718014,4.405415437513431,0.7130716783558325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001953621036591322,0.0,0.0,0.0
SL1600,63.113244134186544,3.495249175877448,15.31413612565445,18.07252278456467,0.004847779716889665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1601,92.3267490255665,0.41619871837220057,3.9373720023782783,3.3196802536830283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1602,82.72717192437767,11.645506458945501,2.586350279980041,3.0077063813272717,0.0,0.03326495536951821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1603,66.45421516103208,1.0314674548925427,8.119342324034731,24.394975060040643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1604,33.80281690140845,18.309859154929576,43.66197183098591,1.408450704225352,0.0,2.816901408450704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1605,86.87982359426681,4.294377067254686,5.101984564498347,3.7127894156560086,0.0,0.008269018743109152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027563395810363835,0.0
SL1606,83.43597244139949,4.156883876679112,3.652669258304145,8.754474423617259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1607,65.12980953949175,3.3673637411493496,3.5292826170481364,26.809923706021188,0.24150611998463142,0.0,0.9221142763049563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1608,97.6074450679943,0.06861003113839875,1.8911739352250936,0.43277096564220746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1609,52.92095183520825,6.405887142986398,6.372711644599933,34.29743342280665,0.0030159543987694905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1610,99.68654703616859,0.11177392508717152,0.20167903874424425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1611,10.618769983073161,1.9710362986646606,1.5760767350009404,85.52943389129209,0.0,0.30468309196915555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1612,95.62519635563933,1.916431039899466,2.3012880929940307,0.15708451146716934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1613,70.71141165813478,1.904400766816238,22.05860666961596,5.32558090543302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1614,96.10313901345292,2.977578475336323,0.9147982062780269,0.0,0.004484304932735426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1615,85.44684376503287,3.2791704527232883,7.944037628948634,3.3272756427387886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026725105564166978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1616,59.478730752041606,5.787591922967538,6.833787023117864,27.899890301872993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1617,90.95918498109822,0.45492407253155637,8.585890946370219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1618,67.26271669849459,18.131990774038343,1.1706058877507999,13.434686639716277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1619,92.10777807273692,3.857180780461906,1.8900982213963367,2.1449429254048313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1620,70.25587368020545,9.02691905260154,20.698183201750215,0.0,0.009512032721392562,0.0,0.009512032721392562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1621,88.29176667014505,5.509756861108213,5.303662736095169,0.0,0.1643535427319211,0.0,0.0,0.0,0.0,0.0,0.7304601899196493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1622,94.27790588436245,1.4113075412076181,2.7948586557349047,1.515927918695021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1623,95.5510616784631,1.8027571580063626,2.6461811635305432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1624,87.12647899887189,8.256158669360127,2.6602303434163233,1.957131988351654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1625,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1626,78.28085106382979,15.761702127659575,4.153191489361702,1.804255319148936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1627,61.66065499366983,26.71093805986193,3.258247139478776,7.3406110407758645,0.0,1.0295487662136016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1628,83.5117773019272,4.0685224839400425,11.90578158458244,0.5139186295503212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1629,87.84330606973741,7.322427894963409,3.486870426173052,1.34739560912613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
