	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU1	Fungi	NA	NA	NA	NA	NA	NA
OTU3	Fungi	NA	NA	NA	NA	NA	NA
OTU4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium oxysporum
OTU5	Fungi	NA	NA	NA	NA	NA	NA
OTU6	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	NA
OTU7	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium herbarum
OTU8	Viridiplantae	Anthophyta	Monocotyledonae	Poales	Poaceae	Chimonocalamus	Chimonocalamus pallens
OTU9	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	NA
OTU10	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU12	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Querciphoma	Querciphoma carteri
OTU13	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
OTU14	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium austrohemisphaericum
OTU15	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU16	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma carnescens
OTU17	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	NA
OTU19	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU20	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	NA
OTU21	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Amorosiaceae	Angustimassarina	Angustimassarina acerina
OTU22	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	Carbonea	Carbonea vorticosa
OTU23	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium austrohemisphaericum
OTU24	Viridiplantae	Anthophyta	Eudicotyledonae	Proteales	Platanaceae	Platanus	Platanus racemosa
OTU25	Fungi	NA	NA	NA	NA	NA	NA
OTU27	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
OTU28	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Endoconidioma	Endoconidioma euphorbiae
OTU29	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	NA	NA	NA
OTU30	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Pseudotricharina	NA
OTU31	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
OTU32	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	NA	NA
OTU36	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU37	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Endoconidioma	Endoconidioma populi
OTU38	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	NA
OTU39	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neosetophoma	Neosetophoma italica
OTU40	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleomassariaceae	Splanchnonema	Splanchnonema platani
OTU41	NA	NA	NA	NA	NA	NA	NA
OTU42	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Lapidomyces	Lapidomyces stipagrostidicola
OTU43	NA	NA	NA	NA	NA	NA	NA
OTU44	Fungi	Ascomycota	Lecanoromycetes	NA	NA	NA	NA
OTU46	NA	NA	NA	NA	NA	NA	NA
OTU47	Fungi	Basidiomycota	Cystobasidiomycetes	NA	NA	NA	NA
OTU48	NA	NA	NA	NA	NA	NA	NA
OTU49	NA	NA	NA	NA	NA	NA	NA
OTU50	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU51	NA	NA	NA	NA	NA	NA	NA
OTU52	NA	NA	NA	NA	NA	NA	NA
OTU53	NA	NA	NA	NA	NA	NA	NA
OTU54	Fungi	Basidiomycota	Microbotryomycetes	NA	NA	Curvibasidium	Curvibasidium cygneicollum
OTU55	Fungi	Basidiobolomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus ranarum
OTU56	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodosporidiobolus	Rhodosporidiobolus colostri
OTU57	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
OTU58	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Stemphylium	Stemphylium vesicarium
OTU60	NA	NA	NA	NA	NA	NA	NA
OTU61	NA	NA	NA	NA	NA	NA	NA
OTU62	NA	NA	NA	NA	NA	NA	NA
OTU63	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU64	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	NA
OTU65	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
OTU66	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
OTU67	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU68	NA	NA	NA	NA	NA	NA	NA
OTU69	NA	NA	NA	NA	NA	NA	NA
OTU70	NA	NA	NA	NA	NA	NA	NA
OTU71	NA	NA	NA	NA	NA	NA	NA
OTU72	NA	NA	NA	NA	NA	NA	NA
OTU74	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Dothiorella	Dothiorella iberica
OTU75	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	NA	NA
OTU76	NA	NA	NA	NA	NA	NA	NA
OTU77	NA	NA	NA	NA	NA	NA	NA
OTU78	Fungi	NA	NA	NA	NA	NA	NA
OTU79	NA	NA	NA	NA	NA	NA	NA
OTU80	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Sclerostagonospora	Sclerostagonospora cycadis
OTU81	NA	NA	NA	NA	NA	NA	NA
OTU82	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	NA	NA
OTU83	NA	NA	NA	NA	NA	NA	NA
OTU86	NA	NA	NA	NA	NA	NA	NA
OTU87	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU88	NA	NA	NA	NA	NA	NA	NA
OTU89	NA	NA	NA	NA	NA	NA	NA
OTU90	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	Pleurotus cystidiosus
OTU91	NA	NA	NA	NA	NA	NA	NA
OTU92	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
OTU93	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
OTU94	NA	NA	NA	NA	NA	NA	NA
OTU95	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	NA
OTU97	NA	NA	NA	NA	NA	NA	NA
OTU98	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	NA
OTU99	NA	NA	NA	NA	NA	NA	NA
OTU100	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium austrohemisphaericum
OTU101	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Coniothyriaceae	Foliophoma	Foliophoma camporesii
OTU102	Fungi	Ascomycota	Lichinomycetes	Lichinales	Peltulaceae	Peltula	Peltula radicata
OTU103	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium chernovii
OTU104	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
OTU105	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium wieringae
OTU106	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Diplodia	Diplodia seriata
OTU107	Fungi	Basidiomycota	NA	NA	NA	NA	NA
OTU108	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	NA
OTU109	Fungi	Ascomycota	Sordariomycetes	Togniniales	Togniniaceae	Phaeoacremonium	Phaeoacremonium sicilianum
OTU110	Fungi	Ascomycota	Dothideomycetes	Myriangiales	Elsinoaceae	Elsinoe	NA
OTU111	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	NA	NA
OTU112	NA	NA	NA	NA	NA	NA	NA
OTU114	NA	NA	NA	NA	NA	NA	NA
OTU116	NA	NA	NA	NA	NA	NA	NA
OTU117	Fungi	Basidiomycota	Agaricomycetes	NA	NA	NA	NA
OTU118	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
OTU119	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
OTU120	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma victoriae
OTU122	Fungi	Ascomycota	Sordariomycetes	Togniniales	Togniniaceae	Phaeoacremonium	NA
OTU124	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	NA	NA	NA
OTU125	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria chlamydosporigena
OTU126	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudopithomyces	Pseudopithomyces chartarum
OTU127	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	NA	Candida	Candida boidinii
OTU128	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Hyaloriaceae	Stypella	Stypella variabilis
OTU129	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU130	Fungi	NA	NA	NA	NA	NA	NA
OTU131	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium oeirense
OTU132	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU133	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU135	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium floriforme
OTU136	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae	Bacidina	Bacidina ramea
OTU137	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium wieringae
OTU138	Fungi	NA	NA	NA	NA	NA	NA
OTU139	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium aphidis
OTU141	Fungi	Ascomycota	Lichinomycetes	Lichinales	Lichinaceae	Peccania	Peccania terricola
OTU142	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	NA	NA
OTU143	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Pseudocercospora	NA
OTU144	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Gnomoniaceae	Apiognomonia	NA
OTU147	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
OTU148	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU149	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU150	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Neocucurbitaria	NA
OTU151	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
OTU152	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
OTU153	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	NA
OTU154	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
OTU155	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	NA
OTU156	Fungi	Basidiomycota	Atractiellomycetes	Atractiellales	NA	NA	NA
OTU157	Fungi	Basidiomycota	Cystobasidiomycetes	NA	Buckleyzymaceae	Buckleyzyma	Buckleyzyma aurantiaca
OTU158	Fungi	NA	NA	NA	NA	NA	NA
OTU159	Fungi	Ascomycota	Sordariomycetes	Microascales	Graphiaceae	Graphium	Graphium jumulu
OTU160	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU161	Fungi	Ascomycota	Lecanoromycetes	Lecideales	Lecideaceae	Lecidea	NA
OTU162	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Stagonospora	NA
OTU163	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU164	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria infectoria
OTU165	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
OTU166	Fungi	Basidiomycota	Cystobasidiomycetes	Erythrobasidiales	Erythrobasidiaceae	Erythrobasidium	Erythrobasidium yunnanense
OTU167	Fungi	NA	NA	NA	NA	NA	NA
OTU168	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	NA	NA	NA
OTU170	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU171	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
OTU172	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU173	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria chartarum
OTU174	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
OTU175	Fungi	NA	NA	NA	NA	NA	NA
OTU176	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
OTU177	Fungi	NA	NA	NA	NA	NA	NA
OTU178	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Ramularia	NA
OTU179	Fungi	Ascomycota	NA	NA	NA	NA	NA
OTU180	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Ilyonectria liriodendri
OTU181	Fungi	Ascomycota	Sordariomycetes	Conioscyphales	Conioscyphaceae	Conioscypha	NA
OTU182	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Nectriopsis	NA
OTU183	Fungi	NA	NA	NA	NA	NA	NA
OTU184	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
OTU185	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	NA	NA
OTU186	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae	Pseudotremella	Pseudotremella moriformis
OTU188	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodosporidiobolus	NA
OTU189	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium velox
OTU190	Fungi	NA	NA	NA	NA	NA	NA
OTU191	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Clarireedia	Clarireedia bennettii
OTU192	Fungi	Ascomycota	Sordariomycetes	Pleurotheciales	Pleurotheciaceae	Phaeoisaria	Phaeoisaria clematidis
OTU193	NA	NA	NA	NA	NA	NA	NA
OTU194	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera	Cyberlindnera jadinii
OTU196	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Neocucurbitaria	Neocucurbitaria unguis-hominis
OTU197	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
OTU198	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Thyrostroma	Thyrostroma cornicola
OTU199	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
OTU200	Fungi	NA	NA	NA	NA	NA	NA
OTU201	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Toxicocladosporium	Toxicocladosporium glendoranum
OTU203	Fungi	Ascomycota	Eurotiomycetes	NA	NA	NA	NA
OTU204	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
