	reads per sample	original OTUs	final OTUs
SL1642	10065	239	197
SL1643	22354	370	272
SL1644	3	3	3
SL1645	40128	457	308
SL1646	25474	276	181
SL1647	2	2	2
SL1648	7639	170	118
SL1649	20640	317	238
SL1650	19572	257	185
SL1651	26940	260	180
SL1652	40043	316	172
SL1653	55906	370	241
SL1654	38692	404	284
SL1655	1	1	1
SL1656	33285	206	100
SL1657	40425	297	154
SL1658	19168	172	105
SL1659	29949	312	212
SL1660	16840	333	246
SL1661	36240	307	184
SL1662	30765	284	179
SL1663	34434	283	164
SL1664	8787	331	250
SL1665	24468	244	145
SL1666	19392	261	191
SL1667	14930	326	268
SL1668	12307	218	154
SL1669	45496	357	245
SL1670	22977	243	165
SL1671	20373	253	158
SL1672	18878	241	165
SL1673	18992	261	173
SL1674	38690	300	195
SL1675	45877	233	120
SL1676	16738	209	123
SL1677	13589	410	275
SL1678	24735	284	165
SL1679	23372	230	151
SL1680	28994	261	178
SL1681	23759	250	158
SL1682	34994	221	126
SL1683	403	139	133
SL1684	15083	165	102
SL1685	20132	309	209
SL1686	64527	257	115
SL1687	47101	323	185
SL1688	10677	267	207
SL1689	21133	355	254
SL1690	31238	209	118
SL1691	24345	260	173
SL1692	64514	323	204
SL1693	49393	347	246
SL1694	24242	339	235
SL1695	20564	269	185
SL1696	11040	323	233
SL1697	34389	359	207
SL1698	15194	309	236
SL1699	36599	390	269
SL1700	14272	332	270
SL1701	39317	485	357
SL1702	52787	393	273
SL1703	26120	416	297
SL1704	68400	357	242
SL1705	30741	337	215
SL1706	32871	237	157
SL1707	18676	374	273
SL1708	50770	359	210
SL1709	30066	288	201
SL1710	16056	257	193
SL1711	13391	341	253
SL1712	72750	419	232
SL1713	46023	342	210
SL1714	27679	256	181
SL1715	37476	366	255
SL1716	25591	466	335
SL1717	83186	397	281
SL1718	43967	346	213
SL1719	86901	453	281
SL1720	51343	308	202
SL1721	82	54	54
SL1722	47836	347	186
SL1723	34333	365	259
SL1724	24360	368	258
SL1725	62473	315	197
SL1726	2455	135	105
SL1727	26510	396	295
SL1728	17234	335	243
SL1729	28402	306	216
SL1730	24353	331	242
SL1731	42298	342	233
SL1732	21684	300	208
SL1733	18862	337	262
SL1734	18073	692	577
SL1735	22650	347	232
SL1736	32943	263	180
SL1737	42518	431	324
SL1738	34573	343	232
SL1739	39603	422	281
SL1740	23710	415	320
SL1741	33306	380	261
SL1742	46933	411	284
SL1743	86	54	54
SL1744	46770	339	217
SL1745	30616	271	163
SL1746	20560	212	143
SL1747	36686	421	286
SL1748	35757	305	192
SL1749	37621	341	213
SL1750	5493	166	128
SL1751	41	31	31
SL1752	71745	355	225
SL1753	43548	319	227
SL1754	36931	379	247
SL1755	24161	325	222
SL1756	27331	356	250
SL1757	47776	334	230
SL1758	35877	368	269
SL1759	18468	415	257
SL1760	25411	344	243
SL1761	15423	302	240
SL1762	49935	356	239
SL1763	27736	374	276
SL1764	12484	326	239
SL1765	29814	372	287
SL1766	29983	362	243
SL1767	38612	338	235
SL1768	35364	295	211
SL1769	33176	354	247
SL1770	31570	311	207
SL1771	16909	340	243
SL1772	22741	409	324
SL1773	28914	486	272
SL1774	31419	362	247
SL1775	19160	268	196
SL1776	33037	310	199
SL1777	22502	247	138
SL1778	43314	362	217
SL1779	23239	351	266
SL1780	32126	335	204
SL1781	27341	291	211
SL1782	18061	252	180
SL1783	29736	287	216
SL1784	70020	305	189
SL1785	28491	341	237
SL1786	26010	309	247
SL1787	26276	334	244
SL1788	32479	348	225
SL1789	79795	345	206
SL1790	11315	282	210
SL1791	14127	286	200
SL1792	12595	387	278
SL1793	56209	455	305
SL1794	50390	396	264
SL1795	45907	390	276
SL1796	5986	314	235
SL1797	19207	333	234
SL1798	36608	361	256
SL1799	32751	339	229
SL1800	6606	221	182
SL1801	17799	335	247
SL1802	30821	322	222
SL1803	15908	254	191
SL1804	28412	467	315
SL1805	18058	232	146
SL1806	78516	342	212
SL1807	15455	312	202
SL1808	35018	251	151
SL1809	36905	403	283
SL1810	20263	288	216
SL1811	39401	323	217
SL1812	10859	392	300
SL1813	16259	288	199
SL1814	6583	235	175
SL1815	15974	255	182
SL1816	36303	309	204
SL1817	23519	363	250
SL1818	32470	296	195
SL1819	23888	262	179
SL1820	23046	396	268
SL1821	16679	226	153
SL1822	9277	224	164
SL1823	20105	306	216
SL1824	22819	236	172
SL1825	19472	301	207
SL1826	28846	323	223
SL1827	14814	259	192
SL1828	3713	265	204
SL1829	37806	335	240
SL1830	10553	299	242
SL1831	12614	270	214
SL1832	23520	410	306
SL1833	13935	383	313
SL1834	11182	226	180
SL1835	44145	395	261
SL1836	4109	260	210
SL1837	24396	418	316
SL1838	29203	311	227
SL1839	23387	262	169
SL1840	27212	297	219
SL1841	50856	336	220
SL1842	12696	330	240
SL1843	58646	335	202
SL1844	22329	400	275
SL1845	35253	410	261
SL1846	12560	244	196
SL1847	17078	315	235
SL1848	21336	211	143
SL1849	15747	452	369
SL1850	24406	339	234
SL1851	23005	311	214
SL1852	17183	481	293
SL1853	36660	364	248
SL1854	15313	270	202
SL1855	12305	224	150
SL1856	55	40	40
SL1857	4724	277	204
SL1858	9801	297	223
SL1859	8467	266	221
SL1860	10785	376	236
SL1861	16433	258	180
SL1862	889	180	166
SL1863	59642	277	162
SL1864	15692	330	240
SL1865	27137	322	247
SL1866	22385	267	185
SL1867	34115	308	201
SL1868	21950	343	245
SL1869	20572	262	174
SL1870	12092	222	174
SL1871	51567	361	226
SL1872	20	18	18
SL1873	12590	290	229
SL1874	10356	271	213
SL1875	30053	271	179
SL1876	9519	387	266
SL1877	22071	357	263
SL1878	14307	299	218
SL1879	21952	268	176
SL1880	60931	308	179
SL1881	30047	332	221
SL1882	14418	222	143
SL1883	27389	287	185
SL1884	43919	355	222
SL1885	57568	435	297
SL1886	90894	437	266
SL1887	83179	398	262
SL1888	76731	360	205
SL1889	51648	376	251
SL1890	59416	311	177
SL1891	38771	320	195
SL1892	30756	458	328
SL1893	61761	366	229
SL1894	40165	329	204
SL1895	37969	420	291
SL1896	50584	391	273
SL1897	60111	381	255
SL1898	38763	384	270
SL1899	35881	318	230
SL1900	68384	456	272
SL1901	30011	324	242
SL1902	32654	746	611
SL1903	65095	464	308
SL1904	41741	339	241
SL1905	49970	365	250
SL1906	81744	428	271
SL1907	49797	273	172
SL1908	50354	315	203
SL1909	51101	454	327
SL1910	63588	393	261
SL1911	42384	323	214
SL1912	43428	375	232
SL1913	59889	481	341
SL1914	37361	426	307
SL1915	12	10	10
SL1916	3	3	3
SL1917	25647	375	259
SL1918	47076	313	203
SL1919	37467	337	241
SL1920	40745	410	281
SL1921	42482	402	299
SL1922	36874	411	251
SL1923	57894	409	263
SL1924	22263	394	228
SL1925	44353	383	263
SL1926	40159	299	191
SL1927	55181	301	189
SL1928	46086	294	178
SL1929	10347	371	248
SL1930	46583	298	191
SL1931	47793	363	228
SL1932	16703	289	208
SL1933	67835	347	205
SL1934	37925	366	240
SL1935	75630	450	294
SL1936	6	6	6
SL1937	48115	333	209
SL1938	192	89	89
SL1939	30827	348	254
SL1940	23812	262	188
SL1941	70982	437	300
SL1942	45969	291	182
SL1943	13134	188	137
SL1944	36675	471	296
SL1945	39597	348	247
SL1946	55049	314	201
SL1947	68297	403	250
SL1948	36156	373	259
SL1949	35833	357	246
SL1950	22153	318	216
SL1951	35092	352	256
SL1952	15048	299	220
SL1953	46123	313	194
SL1954	21582	219	150
SL1955	36368	333	195
SL1956	58075	311	194
SL1957	50875	353	225
SL1958	53509	415	292
SL1959	97775	332	188
SL1960	33089	284	198
SL1961	62973	518	341
SL1962	2137	217	175
SL1963	72216	372	210
SL1964	33835	426	298
SL1965	9571	349	235
SL1966	18282	300	195
SL1967	42715	376	270
SL1968	48520	273	180
SL1969	32146	270	180
SL1970	25952	315	207
SL1971	20925	345	240
SL1972	17697	289	205
SL1973	56240	317	201
SL1974	64014	319	187
SL1975	29144	341	251
SL1976	3159	250	192
SL1977	72269	481	323
SL1978	64057	411	271
SL1979	31372	287	185
SL1980	48552	353	238
SL1981	49660	342	243
SL1982	38363	417	270
SL1983	10540	204	139
SL1984	28316	315	184
SL1985	11721	215	161
SL1986	33153	301	208
SL1987	38358	339	203
SL1988	8498	280	219
SL1989	23200	357	267
SL1990	25889	307	221
SL1991	42681	360	231
SL1992	22862	301	225
SL1993	70	46	46
SL1994	73748	314	183
SL1995	15214	396	261
SL1996	17156	360	264
SL1997	24112	469	370
SL1998	31591	348	240
SL1999	5273	215	179
SL2000	16937	287	204
SL2001	19251	284	201
SL2002	38306	342	219
SL2003	12348	269	204
SL2004	4570	208	175
SL2005	59075	493	327
SL2006	59847	448	305
SL2007	25	22	22
SL2008	22597	208	140
SL2009	3121	250	202
SL2010	74	48	48
SL2011	1259	163	144
SL2012	18904	302	205
SL2013	15424	247	179
SL2014	37360	308	192
SL2015	33335	353	256
SL2016	52741	349	239
SL2017	56182	317	200
SL2018	27730	368	261
SL2019	33005	228	149
SL2020	9239	278	206
SL2021	8638	274	210
SL2022	515	88	85
SL2023	9432	321	226
SL2024	27660	445	310
SL2025	14693	247	196
SLP2W	12301	338	246
SLPW1B	15100	421	277
SLPW3A	18867	472	288
SLPW4A	15893	397	260
SLPW5X	26009	497	310
SLPW6A	1660	201	169
SLPW7	721	153	146
SLPW8	83	51	51
