	reads per sample	original OTUs	final OTUs
SL1501	44488	270	176
SL1502	37530	252	163
SL1503	19028	421	246
SL1504	23040	283	205
SL1505	25860	360	252
SL1506	17170	312	244
SL1507	8834	258	214
SL1508	26478	435	319
SL1509	31086	405	292
SL1510	14695	253	168
SL1511	16890	296	227
SL1512	44206	344	230
SL1513	38992	352	243
SL1514	29373	318	215
SL1515	25157	388	306
SL1516	26011	599	429
SL1517	23302	398	279
SL1518	39849	310	211
SL1519	33712	257	172
SL1520	34663	248	151
SL1521	33222	378	258
SL1522	50371	306	193
SL1523	65859	450	331
SL1524	29226	541	396
SL1525	45210	330	217
SL1526	24063	314	231
SL1527	49088	223	103
SL1528	5532	193	156
SL1529	25911	385	273
SL1530	39106	270	166
SL1531	24478	263	194
SL1532	36740	494	327
SL1533	37855	286	192
SL1534	41885	333	206
SL1535	34672	285	177
SL1536	3081	183	149
SL1537	44899	350	243
SL1538	21199	271	206
SL1539	35680	319	219
SL1540	257	119	118
SL1541	49940	238	126
SL1542	31281	295	203
SL1543	48263	258	162
SL1544	38683	230	143
SL1545	40979	437	325
SL1546	29142	298	214
SL1547	46338	347	229
SL1548	7392	371	268
SL1549	39661	299	195
SL1550	38533	313	211
SL1551	30327	213	139
SL1552	72	24	24
SL1553	3344	164	128
SL1554	12347	257	213
SL1555	30201	277	187
SL1556	14354	397	278
SL1557	19878	274	204
SL1558	75589	304	182
SL1559	34643	292	194
SL1560	13681	203	126
SL1561	25860	505	410
SL1562	16093	340	242
SL1563	17241	366	287
SL1564	10667	278	208
SL1565	38503	320	214
SL1566	27131	279	182
SL1567	34760	352	257
SL1568	58325	352	214
SL1569	41482	430	322
SL1570	49155	368	245
SL1571	39160	412	281
SL1572	27987	405	229
SL1573	53909	299	186
SL1574	1834	197	166
SL1575	43044	230	132
SL1576	42539	291	197
SL1577	34603	346	240
SL1578	24192	323	236
SL1579	36562	323	216
SL1580	39333	362	239
SL1581	41747	284	181
SL1582	23233	259	189
SL1583	21805	285	204
SL1584	22555	341	224
SL1585	12396	317	251
SL1586	19023	408	308
SL1587	25549	331	223
SL1588	7256	333	236
SL1589	33069	331	227
SL1590	36850	246	154
SL1591	26482	252	170
SL1592	25040	260	184
SL1593	25699	303	223
SL1594	34593	304	189
SL1595	50961	278	180
SL1596	27966	520	375
SL1597	50983	387	242
SL1598	30057	267	163
SL1599	52399	427	279
SL1600	21025	252	168
SL1601	30837	294	200
SL1602	36597	280	167
SL1603	33142	317	197
SL1604	76	43	43
SL1605	36569	359	241
SL1606	53093	416	261
SL1607	36110	323	217
SL1608	57725	269	143
SL1609	32274	255	151
SL1610	83520	192	45
SL1611	26940	218	125
SL1612	51876	356	220
SL1613	48374	357	210
SL1614	22762	226	124
SL1615	76292	467	310
SL1616	49838	438	285
SL1617	15669	243	174
SL1618	40408	278	157
SL1619	38166	276	179
SL1620	10893	355	273
SL1621	38031	286	196
SL1622	47877	366	214
SL1623	40224	305	179
SL1624	36868	266	160
SL1625	3	3	3
SL1626	30133	363	241
SL1627	42699	315	209
SL1628	2394	195	165
SL1629	47576	338	228
SL1630	25073	307	209
SL1631	30014	310	211
SL1632	7011	194	149
SL1633	15661	254	185
SL1634	5909	209	158
SL1635	14367	259	203
SL1636	34804	322	218
SL1637	12763	305	243
SL1638	22440	761	657
SL1639	43549	409	228
SL1640	22089	250	164
SL1641	8196	217	167
