,Unclassified,Sordariomycetes,Dothideomycetes,Monocotyledonae,Eurotiomycetes,Tremellomycetes,Saccharomycetes,Lecanoromycetes,Eudicotyledonae,Pezizomycetes,Cystobasidiomycetes,Microbotryomycetes,Basidiobolomycetes,Agaricomycetes,Lichinomycetes,Atractiellomycetes,Leotiomycetes,Orbiliomycetes,Taphrinomycetes,Wallemiomycetes,Arthoniomycetes,Mortierellomycetes,Archaeorhizomycetes,Agaricostilbomycetes,Sareomycetes,Blastocladiomycetes,Mucoromycetes,Schizosaccharomycetes,Candelariomycetes,Calcarisporiellomycetes,Glomeromycetes,Xylonomycetes,Myxogastrea,Archaeosporomycetes,Tritirachiomycetes,Spiculogloeomycetes,Polypodiopsida,Pucciniomycetes,Geoglossomycetes,Endogonomycetes,Olpidiomycetes,Rhizophlyctidomycetes,Bryopsida
SL1511,66.84890357464704,6.392310003003905,4.35566236106939,2.012616401321718,14.484830279363171,1.5019525382997898,0.006007810153199159,0.0,0.0,0.006007810153199159,0.22829678582156804,0.1622108741363773,0.0,4.00120156203064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1512,77.42320858317825,0.05054334091483447,1.484136283226503,3.3174811036827716,0.2550141291612103,0.22974245870379303,0.018379396696303445,0.3492085372297654,0.0,0.0,1.123440623061548,0.0,9.54809658372964,2.4582443081305856,0.22744503411675512,0.0,3.3588347462494546,0.0,0.0,0.0,0.0,0.15622487191857928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1513,83.88344976238086,0.7479159633313424,12.519801594515283,0.8959409977406705,0.05713246942114421,1.791881995481341,0.01038772171293531,0.0,0.0,0.0,0.015581582569402966,0.007790791284701483,0.0,0.07011712156231334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1514,15.025781222964321,8.848669412049693,62.64664151988096,5.810291725784683,0.5744540955808561,4.806727341938609,0.006921133681697062,1.3080942658407446,0.0,0.0,0.013842267363394124,0.006921133681697062,0.0,0.6644288334429179,0.2837664809495795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003460566840848531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1515,45.72841908932409,1.0339374771925556,36.633823946802906,1.3948019300166241,5.644082228439363,5.502169241373718,0.01621862709321656,0.6325264566354458,0.0,0.0,1.447512468069578,0.0,0.0,1.8691967724932084,0.09731176255929935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1516,54.98004788507582,7.649640861931365,11.412609736632083,9.736632083000798,0.7661612130885874,13.363926576217079,0.3192338387869114,0.1636073423782921,0.0,0.011971268954509178,0.08379888268156424,0.0,0.0,0.47086991221069435,0.09577015163607343,0.0,0.2154828411811652,0.11971268954509177,0.0,0.023942537909018357,0.027932960893854747,0.13966480446927373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39106145251396646,0.0,0.0,0.0,0.0,0.0,0.023942537909018357,0.0,0.0,0.0039904229848363925
SL1517,56.65059494846729,5.2240456495775645,30.021674702525765,0.41137700712168795,3.33967355243951,4.140310523289247,0.0,0.0,0.0,0.0,0.10173839961074004,0.0,0.0,0.07519794753837307,0.0,0.0,0.0,0.0,0.0,0.0,0.030963860751094793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004423408678727828,0.0,0.0,0.0,0.0,0.0
SL1518,64.82438937422,0.6596541272954181,13.8043450576879,5.743320683595242,0.09678323103176018,9.456740442655935,0.010187708529658966,2.297328273438097,0.0,0.0,2.7353997402134325,0.0,0.0,0.37185136133255225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1519,3.9099632319971303,0.0,0.0,0.0,0.0,58.64346994290497,37.440588288045916,0.0,0.0,0.0,0.0029892685259916897,0.0,0.0,0.0029892685259916897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1520,81.61020420104148,0.011702065414545668,13.220408402082967,4.894388859633725,0.0,0.21356269381545842,0.005851032707272834,0.0,0.0,0.002925516353636417,0.0,0.0,0.0,0.035106196243637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002925516353636417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002925516353636417
SL1521,78.53494418106744,3.297140235510017,16.962838354488454,0.0,0.0,0.5291328949380639,0.009175714941122496,0.0,0.0,0.003058571647040832,0.0,0.0,0.0,0.5688943263495947,0.0,0.0,0.003058571647040832,0.0,0.0,0.0,0.09175714941122495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1522,62.32207928167341,0.0,28.799500714702745,4.417064282982022,0.0,2.796400314066558,0.00603974149906384,0.0,0.0,0.0,1.3549153429566547,0.0,0.0,0.30400032211954664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1523,56.763729049200585,12.078473777709123,12.164980304317602,1.450529080095775,2.4839731211863754,13.09955974356994,0.009268556422337221,0.0,0.0,0.0,0.13748358693133544,0.0,0.30122808372595966,0.738394994979532,0.0,0.2981385649185139,0.1807368502355758,0.0,0.29195952730362246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015447594037228702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1524,67.35535733173501,2.739484539717237,12.667912421112012,1.7804886648097873,6.272256108310122,8.440573987236894,0.010577160385008638,0.03878292141169834,0.0,0.059937242181715616,0.2573775693685435,0.010577160385008638,0.0,0.1692345661601382,0.0,0.08109156295173289,0.059937242181715616,0.0,0.0,0.0,0.0,0.010577160385008638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035257201283362127,0.0,0.0,0.04230864154003455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1525,10.37115445250214,0.8918517183910635,16.976712760686457,0.27025809648214044,70.19728841043197,0.12386829422098104,0.004504301608035674,0.0,0.0,0.0,0.20945002477365884,0.0,0.16891131030133777,0.5134903833160669,0.0,0.0,0.16665915949731994,0.10585108778883834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1526,9.810969679029052,10.225398570643211,53.21182391000973,14.746056582230304,11.253013067196685,0.14378145219266714,0.004228866240960799,0.41442889161415825,0.0,0.0,0.012686598722882395,0.0,0.0,0.004228866240960799,0.0,0.0,0.05074639489152958,0.12263712098786315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1527,98.86445901503713,0.0,0.5067532628704987,0.6081039154445984,0.002068380664777546,0.002068380664777546,0.006205141994332637,0.0,0.0,0.0,0.0,0.0,0.0,0.010341903323887729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1528,59.317681584739546,2.512839325018342,8.63903154805576,0.0,2.127659574468085,1.3206162876008805,0.055025678650036686,0.0,0.5319148936170213,5.759354365370506,0.0,0.0,9.482758620689655,10.253118121790168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1529,63.91246267483891,3.41034103410341,22.26151186547226,0.4871915763004872,0.11786892975011787,8.781235266383781,0.05500550055005501,0.03928964325003929,0.0,0.0,0.13751375137513752,0.0,0.0,0.5736287914505737,0.0,0.0,0.07465032217507465,0.0,0.10608203677510608,0.0,0.011786892975011787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027502750275027504,0.0,0.0,0.003928964325003929,0.0,0.0,0.0,0.0,0.0,0.0
SL1530,6.022087934986455,88.38039174828089,1.3414252969368619,0.0,0.763179829131069,3.294957282767243,0.148468430923109,0.0,0.0,0.04428005834548864,0.0,0.0,0.0,0.005209418628881017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1531,72.84179325676176,3.0134617759664075,20.810176608620477,0.0,0.9674364991148985,0.004116751060063398,1.4820303816228233,0.0,0.45695936766703715,0.0,0.0,0.0,0.0,0.42402535918653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1532,72.98452427509916,0.7039499413375049,10.494999720654786,1.6369629588245154,5.458405497513827,8.28258561930834,0.019554165037152915,0.0,0.0,0.0,0.18716129392703504,0.011173808592658808,0.0,0.07821666014861166,0.0,0.10335772948209397,0.0,0.03910833007430583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1533,47.31813072105348,10.72480059953964,30.53905037203576,1.1027246935388897,8.784326320860767,0.5540388630158986,0.016059097478721696,0.0,0.0,0.0,0.002676516246453616,0.0,0.0,0.9581928162303945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1534,11.522584071651016,80.37322260579872,0.9970306351543828,0.0,0.5383482606281534,1.699538903507713,0.00965647104265746,1.6971247857470488,0.0,0.0,0.016898824324650556,0.0,0.0,3.1431813243850035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002414117760664365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1535,9.203862913673301,3.521375574137322,6.04757979036627,0.3739253327052173,27.35249087268873,0.026498645624779178,0.029442939583087975,0.0,0.0,0.0,0.05005299729124956,0.0,0.0,52.585090095395124,0.0,0.0,0.5329172064538924,0.0,0.0,0.0,0.0,0.0,0.27676363208102694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1536,15.878266622560371,11.4455838570956,11.147866357922593,7.8068144227588485,0.13231888852133641,50.28117763810784,0.09923916639100232,0.0,0.0,0.0,0.0,0.39695666556400927,0.0,2.811776381078399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1537,65.16772929010746,13.677428075787956,9.951111812017032,0.0,0.682632302250659,8.443913758532904,0.0067587356658481085,0.0,0.0,0.0,0.3289251357379413,0.3807421091761101,0.0,0.3965124923964224,0.0,0.0,0.680379390362043,0.0,0.0,0.0,0.2838668979656206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1538,41.602215220089754,10.522295426334384,42.2037620548076,0.0,1.9765110283586365,2.6353480378115153,0.01909672491167765,0.0,0.0,0.0,0.5729017473503294,0.0,0.0,0.46786976033610234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1539,16.154636820465967,0.5938784833257195,65.59502055733212,0.0,8.808245774326176,1.5532206486980356,0.005710370031978072,0.0,0.0,0.0,3.6974645957058017,0.13704888076747374,0.0,3.4490634993147555,0.0,0.0,0.0,0.0,0.0,0.0,0.005710370031978072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1540,93.75,0.390625,1.5625,0.0,1.171875,0.0,0.0,0.78125,0.0,0.0,0.0,1.5625,0.0,0.78125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1541,12.331916105539394,0.0,1.1412413288036292,2.0932929186077263,0.004068596537624347,0.6062208841060276,0.010171491344060866,0.0,0.0,0.0,0.0,83.81105437679273,0.0,0.0020342982688121734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1542,71.46844069446698,0.0064903456109037805,24.098653253285736,1.6680188220022716,0.012980691221807561,1.8075612526367029,0.00973551841635567,0.0,0.0,0.0,0.32127210773973713,0.0064903456109037805,0.0,0.5971117962031478,0.0,0.0,0.0,0.0,0.0,0.0032451728054518902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1543,2.808366592139081,0.0,0.002089558476293959,0.0,0.002089558476293959,66.9327371126481,30.24844850283135,0.0,0.0,0.0,0.0,0.0,0.0,0.0062686754288818775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1544,6.03547209181012,32.196139801773604,59.0245174752217,0.0,0.0,0.6077203964527909,0.036515388628064686,0.0,0.49295774647887325,0.0,0.0,0.0,1.1189358372456963,0.2686489306207616,0.2190923317683881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1545,60.5707035525923,5.848840680664742,24.263608319235743,0.0,1.2762463926758882,5.433376455368693,0.05224400437854513,0.04478057518161011,0.0,0.0,0.33336650412976415,0.08956115036322022,0.4950741367300229,1.5150761269778088,0.0,0.0,0.03234152652005175,0.0,0.0,0.0,0.037317145984675094,0.0,0.0,0.007463429196935018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1546,22.272711505775433,27.323181518609733,22.924832633806236,0.0,4.897845919039856,0.4023726109126227,0.09365569391931736,0.3676853168684311,0.0,0.0,0.5168406812584551,0.0,0.0,17.95067466786916,1.141211974053904,0.0,0.0,0.0,0.0,2.10898747788685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1547,83.06768558951966,3.8056768558951966,9.52183406113537,0.0,0.0,2.5458515283842793,0.1091703056768559,0.5458515283842795,0.0,0.0,0.034934497816593885,0.0,0.0,0.36899563318777295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1548,86.99129946674151,2.427729441481897,1.5717092337917484,0.9823182711198428,7.114790906539433,0.25259612685938815,0.280662363177098,0.028066236317709794,0.0,0.0,0.05613247263541959,0.0,0.0,0.0701655907942745,0.15436429974740387,0.0,0.042099354476564696,0.0,0.0,0.014033118158854897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014033118158854897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1549,39.83057354183195,27.300181711156043,21.285798377396155,7.803342461546336,0.9315895887185525,0.8215391702710312,0.0025593120569191003,0.0,0.0,0.0,0.0,0.0,1.9885854682261408,0.0358303687968674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1550,14.473753349797699,31.845410120329987,5.031264778519258,0.0,5.601387210341023,0.0,0.13924649256476276,0.0,0.0,0.0,0.018391046187798854,0.7881876937628081,21.157584992906312,12.253691345699123,0.0,0.0,5.362303609899637,0.0,0.0,0.0,0.0,0.0,3.3287793599915925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1551,4.952609798424777,85.95314377252703,2.653183820584702,0.0,0.0,0.5740221599252436,0.0033373381391002535,0.1735415832332132,0.0,0.0,0.010012014417300761,0.0,4.809104258443465,0.5406487785342411,0.0,0.0,0.0,0.0,0.0,0.0,0.21025230276331597,0.12014417300760913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1552,18.055555555555557,41.666666666666664,9.722222222222221,0.0,0.0,25.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,0.0,1.3888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1553,17.915010700091717,37.908896361968814,16.630999694283094,0.0,0.09171507184347294,13.787832467135432,0.0,0.03057169061449098,0.0,0.0,0.0,13.634974014062978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1554,22.521782015452903,30.042742068058523,11.252671379253657,1.652145323031399,21.16554331744205,0.8877198750616472,8.885418379089264,0.0,0.0,0.0,0.0,0.0,0.46029919447640966,0.3123458819661351,2.186421173762946,0.6329113924050633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1555,56.697704124508384,1.20340179501832,37.053346330969106,0.0,0.49077279908568355,3.6303741302228647,0.0,0.0,0.0,0.0,0.28236243235066727,0.010084372583952401,0.0,0.6319540152610171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1556,88.11667266834714,5.6823910694994595,4.465250270075622,0.0,0.20165646380986677,0.10082823190493338,0.05761613251710479,0.007202016564638099,0.0,0.24486856319769534,0.2664746128916097,0.06481814908174288,0.0,0.22326251350378107,0.5617572920417717,0.0,0.007202016564638099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1557,21.88788758209867,36.79547884527264,25.156560256606078,0.0,0.0763708568810142,1.5172343567028155,12.70301919454203,0.00509139045873428,0.00509139045873428,0.0,0.25456952293671403,0.0,0.18838144697316836,0.3513059416526653,0.0,0.0,0.0,0.0,0.0,0.0,1.0590092154167303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1558,9.912168957425411,81.92155548105934,4.842105263157895,1.9778746228628896,0.23600402279584312,0.018773047267851155,0.009386523633925578,0.41032517599731816,0.0,0.0,0.0,0.0,0.40093865236339254,0.01609118337244385,0.1756620851491787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07911498491451559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
