,Unclassified,Sordariomycetes,Dothideomycetes,Monocotyledonae,Eurotiomycetes,Tremellomycetes,Saccharomycetes,Lecanoromycetes,Eudicotyledonae,Pezizomycetes,Cystobasidiomycetes,Microbotryomycetes,Basidiobolomycetes,Agaricomycetes,Lichinomycetes,Atractiellomycetes,Leotiomycetes,Orbiliomycetes,Taphrinomycetes,Wallemiomycetes,Arthoniomycetes,Mortierellomycetes,Archaeorhizomycetes,Agaricostilbomycetes,Sareomycetes,Blastocladiomycetes,Mucoromycetes,Schizosaccharomycetes,Candelariomycetes,Calcarisporiellomycetes,Glomeromycetes,Xylonomycetes,Myxogastrea,Archaeosporomycetes,Tritirachiomycetes,Spiculogloeomycetes,Polypodiopsida,Pucciniomycetes,Geoglossomycetes,Endogonomycetes,Olpidiomycetes,Rhizophlyctidomycetes,Bryopsida
SL1501,39.477503628447025,20.441763425253992,36.254989114658926,0.0,3.8098693759071116,0.0045355587808417995,0.0022677793904208998,0.0,0.0,0.0,0.0,0.0,0.0,0.006803338171262699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022677793904208998
SL1502,15.523925715060322,0.9190727938186255,8.626813067642674,14.263250643893182,60.10844516741223,0.040666937779585195,0.0027111291853056797,0.0,0.0,0.0,0.2684017893452623,0.0,0.0,0.0027111291853056797,0.0,0.0,0.24400162667751119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1503,71.46841673502871,11.353568498769484,4.123598578069456,0.0,0.06562756357670221,0.0,0.07109652720809406,1.613344271260596,0.0,0.005468963631391851,0.016406890894175553,1.1648892534864643,0.0,7.536231884057971,0.0,0.0,0.0,0.0,0.0,0.0,0.005468963631391851,2.575881870385562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1504,80.22421127259837,1.2362637362637363,7.129563984402694,0.4829847571783056,0.2880184331797235,4.829847571783056,0.27029422190712515,0.0,0.0,0.0,0.7089684509039348,0.10634526763559021,1.697093229351294,0.7621410847217299,0.0,0.0,0.026586316908897553,0.0,0.0,0.04874158099964552,2.1889400921658986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1505,70.13782542113323,0.24737896100836376,26.807240742922215,0.0,0.04711980209683119,2.395256606588919,0.03533985157262339,0.0,0.0,0.0,0.0,0.0,0.0,0.32983861467781833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1506,49.791044776119406,5.558208955223881,8.638805970149253,5.588059701492537,23.301492537313433,3.37910447761194,3.2776119402985073,0.05373134328358209,0.0,0.005970149253731343,0.0,0.0,0.0,0.029850746268656716,0.2507462686567164,0.11940298507462686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005970149253731343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1507,18.47440155766808,13.068377047302715,31.23353567747108,1.8325506814797847,30.088191501546216,2.8748138815714124,2.3135952353682283,0.0,0.0,0.0,0.03436032527774596,0.0,0.0,0.05726720879624327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022906883518497307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1508,51.072610473038736,1.152423593537084,13.704496788008566,3.8466030757251315,7.747712672766206,8.160404905586919,0.07007981312049835,0.0,0.0,0.0,0.054506521315943156,0.0,0.0,14.08214911426903,0.0,0.10122639672960872,0.0,0.0,0.007786645902277594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1509,53.93696881510632,4.71576441019875,27.01147524719733,0.5059691127352095,10.754323886371903,2.9002281821488807,0.0330698766493601,0.042990839644168125,0.0,0.056218790303912164,0.01984192598961606,0.0,0.0,0.01653493832468005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00661397532987202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1510,8.159010355132393,69.84502050177218,5.184515949683786,3.22468552366391,0.7227743415108764,9.305719646952534,0.06949753283758427,0.0,0.0,0.013899506567516854,0.027799013135033707,0.06949753283758427,0.0,3.370630342622837,0.0,0.0,0.0,0.0,0.0,0.006949753283758427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
