,Unclassified,Hypocreales,Dothideales,Capnodiales,Poales,Pleosporales,Chaetothyriales,Tremellales,Saccharomycetales,Lecanorales,Proteales,Pezizales,Xylariales,Sordariales,Mycosphaerellales,Basidiobolales,Sporidiobolales,Filobasidiales,Botryosphaeriales,Agaricales,Lichinales,Togniniales,Myriangiales,Auriculariales,Diaporthales,Eurotiales,Atractiellales,Microascales,Lecideales,Erythrobasidiales,Conioscyphales,Helotiales,Pleurotheciales,Cystobasidiales,Cystofilobasidiales,Bezerromycetales,Orbiliales,Verrucariales,Thelebolales,Taphrinales,Russulales,Wallemiales,Corticiales,Acarosporales,Lichenostigmatales,Calosphaeriales,Neocelosporiales,Glomerellales,Coniochaetales,Caliciales,Venturiales,Mortierellales,Savoryellales,Trechisporales,Archaeorhizomycetales,Tubeufiales,Leucosporidiales,Agaricostilbales,Sareales,Boletales,Mycocaliciales,Cantharellales,Mytilinidales,Blastocladiales,Hymenochaetales,Peltigerales,Ostropales,Polyporales,Mucorales,Schizosaccharomycetales,Choanoflagellida,Candelariales,Trapeliales,Erysiphales,Atheliales,Phacidiales,Calcarisporiellales,Phaeomoniellales,Thelephorales,Teloschistales,Diversisporales,Glomerales,Trichosphaeriales,Symbiotaphrinales,Sebacinales,Physarida,Archaeosporales,Magnaporthales,Chaetosphaeriales,Myrmecridiales,Amphisphaeriales,Trichosporonales,Tritirachiales,Spiculogloeales,Neophaeothecales,Phallales,Patellariales,Abrothallales,Naohideales,Polypodiales,Ophiostomatales,Pertusariales,Delonicicolales,Umbilicariales,Septobasidiales,Sclerococcales,Geoglossales,Geastrales,Thyridiales,Onygenales,Caryophyllales,Phaeothecales,Gloeophyllales,Monoblastiales,Rhytismatales,Valsariales,Hysteriales,Tremellodendropsidales,Olpidiales,Rhizophlyctidales,Hypnales,Gigasporales
SL1511,67.65995794532893,0.33042955842595373,1.1595073595674377,0.678882547311505,2.012616401321718,1.7062180835085612,14.364674076299188,1.1054370681886452,0.006007810153199159,0.0,0.0,0.006007810153199159,2.156803844998498,0.15620306398317813,0.0,0.0,0.1622108741363773,0.39651547011114446,0.7629918894562931,0.0,0.0,2.487233403424452,0.0,3.893060979273055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6908981676179032,0.018023430459597478,0.0,0.0,0.0,0.12015620306398318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06007810153199159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06608591168519075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1512,77.42550600776529,0.0022974245870379306,0.0,0.1883888161371103,3.3174811036827716,0.8178831529855033,0.0,0.22974245870379303,0.018379396696303445,0.3469111126427275,0.0,0.0,0.0,0.04824591632779654,0.4755668895168516,9.54809658372964,0.0,0.0,0.0,2.047005307050796,0.22744503411675512,0.0,0.0,0.0,0.0,0.25271670457417234,0.0,0.0,0.0,1.123440623061548,0.0,3.3588347462494546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15622487191857928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022974245870379306,0.0,0.0,0.0,0.0,0.0022974245870379306,0.0,0.41123900107978956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1513,84.55605474329343,0.018178512997636793,2.4385176721115642,8.974991559976107,0.8959409977406705,0.46485054665385517,0.0,1.2802867011192771,0.01038772171293531,0.0,0.0,0.0,0.0025969304282338276,0.25709611239514896,0.012984652141169138,0.0,0.0,0.47523826836679045,0.0,0.049341678136442725,0.0,0.0,0.0,0.005193860856467655,0.46225361622562133,0.05713246942114421,0.0,0.007790791284701483,0.0,0.0,0.0,0.0,0.0,0.015581582569402966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01038772171293531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005193860856467655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1514,15.164203896598263,6.308613350866872,11.478700211094578,5.294667266498252,5.810291725784683,45.873274042288124,0.5744540955808561,3.104128456241132,0.006921133681697062,1.3080942658407446,0.0,0.0,0.0,1.2458040627054712,0.0,0.0,0.0,1.7025988856974772,0.0,0.6644288334429179,0.2837664809495795,1.1627504585251065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013842267363394124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003460566840848531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1515,46.961034748408544,0.00405465677330414,8.879698333536066,2.258443822730406,1.3948019300166241,24.91586587195394,5.490005271053805,3.799213396585979,0.01621862709321656,0.6325264566354458,0.0,0.0,0.16624092770546972,0.8636418927137818,0.1419129870656449,0.0,0.0,1.6015894254551353,0.4297936179702388,1.739447755747476,0.09731176255929935,0.0,0.0,0.0,0.0,0.15002230061225316,0.0,0.0,0.0,0.2230061225317277,0.0,0.0,0.0,0.09731176255929935,0.0,0.0,0.0,0.0,0.0,0.0,0.12974901674573247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00405465677330414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00405465677330414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1516,65.67837190742219,0.9696727853152434,2.0231444533120513,0.5267358339984038,9.736632083000798,7.5219473264166,0.6304868316041501,2.777334397446129,0.3192338387869114,0.0,0.0,0.011971268954509178,0.0,6.500399042298484,0.7980845969672785,0.0,0.0,0.2553870710295291,0.027932960893854747,0.34317637669592976,0.09577015163607343,0.0,0.0,0.0,0.0,0.05187549880287311,0.0,0.0,0.0,0.0,0.0,0.19154030327214686,0.0,0.03990422984836393,0.3272146847565842,0.03192338387869114,0.11971268954509177,0.07182761372705507,0.0,0.0,0.0,0.023942537909018357,0.0,0.07581803671189145,0.027932960893854747,0.0,0.0,0.027932960893854747,0.007980845969672785,0.0,0.0,0.13966480446927373,0.0,0.007980845969672785,0.0,0.0,0.0,0.0,0.0,0.0,0.011971268954509178,0.1077414205905826,0.0,0.0,0.0,0.055865921787709494,0.0,0.011971268954509178,0.0,0.0,0.0,0.0,0.0,0.023942537909018357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39106145251396646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03192338387869114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039904229848363925,0.0
SL1517,60.919184323439644,0.12385544300437917,18.843720971380545,0.7210156146326359,0.41137700712168795,6.993409121068695,2.344406599725749,1.875525279780599,0.0,0.0,0.0,0.0,0.38925996372804883,0.0,0.01769363471491131,0.0,0.0,1.0262308134648561,1.5304994028398284,0.06635113018091741,0.0,0.48657495466006107,0.2875215641173088,0.0,0.5617729021984341,0.796213562171009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.074888308930862,0.0,0.0,0.008846817357455655,0.0,0.0,0.008846817357455655,0.0,0.0,0.0,0.030963860751094793,0.3361790595833149,1.1323926217543239,0.0,0.004423408678727828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004423408678727828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004423408678727828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1518,67.67949468965693,0.47882230089397143,2.7277589588161884,9.37269184728625,5.743320683595242,1.566360186435066,0.0,9.398161118610396,0.010187708529658966,2.297328273438097,0.0,0.0,0.0,0.12479942948832234,0.0,0.0,0.0,0.0,0.0,0.37185136133255225,0.0,0.0,0.10187708529658966,0.0,0.05603239691312432,0.0,0.0,0.0,0.0,0.022922344191732676,0.0,0.0,0.0,0.012734635662073708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035656979853806385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1519,3.9099632319971303,0.0,0.0,0.0,0.0,0.0,0.0,58.64346994290497,37.440588288045916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029892685259916897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029892685259916897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1520,81.61020420104148,0.011702065414545668,7.635597682991048,5.435609385056463,4.894388859633725,0.14920133403545727,0.0,0.16675443215727576,0.005851032707272834,0.0,0.0,0.002925516353636417,0.0,0.0,0.0,0.0,0.0,0.04680826165818267,0.0,0.005851032707272834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02925516353636417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002925516353636417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002925516353636417,0.0
