,Fungi,Viridiplantae,Unclassified,Rhizaria,Choanoflagellozoa,Amoebozoa,Ichthyosporia,Stramenopila
SL1501,95.36239114658926,0.0022677793904208998,4.635341074020319,0.0,0.0,0.0,0.0,0.0
SL1502,82.88735258235054,14.263250643893182,2.8493967737562693,0.0,0.0,0.0,0.0,0.0
SL1503,32.93409898824173,0.0,67.06590101175827,0.0,0.0,0.0,0.0,0.0
SL1504,94.84668557249202,0.4829847571783056,4.670329670329671,0.0,0.0,0.0,0.0,0.0
SL1505,91.25142341068835,0.0,8.740723288962187,0.007853300349471865,0.0,0.0,0.0,0.0
SL1506,81.18805970149253,5.588059701492537,13.223880597014926,0.0,0.0,0.0,0.0,0.0
SL1507,86.3245905394571,1.8325506814797847,11.842858779063109,0.0,0.0,0.0,0.0,0.0
SL1508,81.60794237882033,3.8466030757251315,14.545454545454545,0.0,0.0,0.0,0.0,0.0
SL1509,94.39134892026853,0.5059691127352095,5.102681966996263,0.0,0.0,0.0,0.0,0.0
SL1510,89.32517895614706,3.22468552366391,7.450135520189034,0.0,0.0,0.0,0.0,0.0
SL1511,88.21868428957644,2.012616401321718,9.768699309101832,0.0,0.0,0.0,0.0,0.0
SL1512,88.25097066188802,3.3174811036827716,8.431548234429204,0.0,0.0,0.0,0.0,0.0
SL1513,91.41195107383074,0.8959409977406705,7.660944763289791,0.03116316513880593,0.0,0.0,0.0,0.0
SL1514,81.23334602207842,5.810291725784683,12.9563622521369,0.0,0.0,0.0,0.0,0.0
SL1515,85.86141183148847,1.3948019300166241,12.739731581721607,0.00405465677330414,0.0,0.0,0.0,0.0
SL1516,58.67517956903432,9.740622505985634,31.57222665602554,0.011971268954509178,0.0,0.0,0.0,0.0
SL1517,95.02808864510992,0.41137700712168795,4.560534347768391,0.0,0.0,0.0,0.0,0.0
SL1518,87.96067544507552,5.743320683595242,6.296003871329241,0.0,0.0,0.0,0.0,0.0
SL1519,96.09302603652885,0.0,3.9069739634711387,0.0,0.0,0.0,0.0,0.0
SL1520,92.33222163711895,4.897314375987362,2.7704639868936867,0.0,0.0,0.0,0.0,0.0
SL1521,94.73619819544273,0.0,5.1353417953815566,0.12846000917571493,0.0,0.0,0.0,0.0
SL1522,91.14775220953877,4.417064282982022,4.435183507479214,0.0,0.0,0.0,0.0,0.0
SL1523,91.71391055843053,1.450529080095775,6.835560361473701,0.0,0.0,0.0,0.0,0.0
SL1524,86.54585199026901,1.7804886648097873,11.6736593449212,0.0,0.0,0.0,0.0,0.0
SL1525,96.0609882437728,0.27025809648214044,3.6687536597450565,0.0,0.0,0.0,0.0,0.0
SL1526,80.75442973738741,14.750285448471265,4.495284814141328,0.0,0.0,0.0,0.0,0.0
SL1527,97.30696837445963,0.6081039154445984,2.084927710095766,0.0,0.0,0.0,0.0,0.0
SL1528,90.2971386647102,0.5319148936170213,9.17094644167278,0.0,0.0,0.0,0.0,0.0
SL1529,90.71978626434073,0.4911205406254911,8.671224265283671,0.11786892975011787,0.0,0.0,0.0,0.0
SL1530,94.00916857678683,0.0,5.990831423213169,0.0,0.0,0.0,0.0,0.0
