,Unclassified,Ascomycota,Anthophyta,Basidiomycota,Basidiobolomycota,Cercozoa,Rozellomycota,Mortierellomycota,Haplosporidia,Blastocladiomycota,Glomeromycota,Mucoromycota,Choanoflagellata,Calcarisporiellomycota,Eumycetozoa,Monilophyta,Streptophycophyta,Olpidiomycota,Chytridiomycota,Bryophyta
SL1501,39.477503628447025,60.50888969521045,0.0,0.011338896952104499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022677793904208998
SL1502,15.523925715060322,69.90104378473634,14.263250643893182,0.3117798563101532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1503,67.787804211102,20.91878589007383,0.0,8.717528028438611,0.0,0.0,0.0,2.575881870385562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1504,78.53154909606522,12.832328961361219,0.4829847571783056,6.456043956043956,1.697093229351294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1505,68.33549299092944,28.931558487454353,0.0,2.7250952212667374,0.0,0.0,0.0,0.0,0.007853300349471865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1506,48.34626865671642,42.53731343283582,5.588059701492537,3.5283582089552237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1507,18.291146489520102,76.79532699576222,1.8325506814797847,3.0580689497193907,0.0,0.0,0.0,0.022906883518497307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1508,50.23165271559276,23.52345727078061,3.8466030757251315,22.3982869379015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1509,52.316544859287674,44.20450411719964,0.5059691127352095,2.972981910777473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1510,8.159010355132393,75.83570783237195,3.22468552366391,12.780596288831747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1511,65.92370081105437,26.170021027335537,2.012616401321718,5.893661760288375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1512,76.8327704643095,6.333999586463574,3.3174811036827716,3.8114273898959268,9.54809658372964,0.0,0.0,0.15622487191857928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1513,81.88900719349729,15.17126756174202,0.8959409977406705,2.0126210818812162,0.0,0.0025969304282338276,0.0,0.0,0.028566234710572104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1514,14.849292314081046,73.8450358168668,5.810291725784683,5.491919576426619,0.0,0.0,0.0,0.0,0.0,0.003460566840848531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1515,44.94181567530308,44.84044925597048,1.3948019300166241,8.818878481936505,0.0,0.00405465677330414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1516,53.51556264964086,21.819632881085393,9.736632083000798,14.189944134078212,0.0,0.0,0.16759776536312848,0.13966480446927373,0.011971268954509178,0.0,0.39106145251396646,0.023942537909018357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039904229848363925
SL1517,56.54885654885655,38.71367275622595,0.41137700712168795,4.321670279117088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004423408678727828,0.0,0.0
SL1518,64.81420166569035,16.878486106512494,5.743320683595242,12.56399154420192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1519,3.9069739634711387,37.44357755657191,0.0,58.64944847995695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
