,Ascomycota,Unclassified,Anthophyta,Basidiomycota,Basidiobolomycota,Cercozoa,Mortierellomycota,Glomeromycota,Haplosporidia,Rozellomycota,Blastocladiomycota,Mucoromycota,Calcarisporiellomycota,Choanoflagellata,Arthropoda,Eumycetozoa,Monilophyta,Streptophycophyta
SL1624,135,685,8,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1625,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1626,198,1282,3,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1627,172,810,14,44,0,5,0,0,0,0,0,0,0,0,0,0,0,0
SL1628,75,317,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1629,138,1314,6,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1630,207,485,8,69,0,2,0,0,0,0,0,0,0,0,0,0,0,0
SL1631,315,831,9,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SL1632,90,469,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1633,120,1001,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1634,92,531,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1635,140,834,5,23,5,4,0,0,0,0,0,0,0,0,0,0,0,0
SL1636,148,1248,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1637,243,1016,1,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1638,595,1931,2,169,0,27,0,0,6,0,7,0,0,0,0,2,0,1
SL1639,196,699,8,86,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SL1640,153,626,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1641,63,702,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1642,111,618,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1643,189,1088,8,76,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SL1644,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1645,321,1000,7,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1646,126,897,5,25,0,1,1,0,1,0,0,0,0,0,0,0,0,0
SL1647,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1648,78,262,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1649,167,652,5,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1650,146,613,8,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SL1651,178,771,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0
SL1652,118,983,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1653,167,1352,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1654,225,1044,3,73,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SL1655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1656,87,632,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1657,135,697,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1658,87,365,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1659,168,946,10,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0
SL1660,164,1645,0,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SL1661,276,804,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1662,172,504,11,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1663,146,784,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1664,156,2305,4,30,4,0,0,0,0,0,1,0,0,0,0,0,0,0
SL1665,124,508,4,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1666,108,486,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1667,162,784,2,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1668,121,489,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1669,311,951,7,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1670,160,682,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1671,201,404,3,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SL1672,125,537,13,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SL1673,151,408,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1674,153,1004,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1675,131,808,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1676,75,440,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1677,293,2976,0,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SL1678,121,823,4,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1679,102,473,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1680,123,1079,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1681,134,468,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1682,22,460,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1683,46,347,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1684,92,291,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1685,155,1101,7,57,1,1,1,0,0,0,0,0,0,0,0,0,0,0
SL1686,120,694,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1687,192,1050,2,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0
SL1688,154,457,6,50,0,0,0,0,0,0,0,0,0,0,0,0,2,0
SL1689,164,764,5,57,1,0,0,0,0,0,0,0,0,0,0,0,1,0
SL1690,53,803,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1691,120,680,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1692,135,2117,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1693,206,2269,8,38,19,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1694,176,2831,11,22,3,0,0,0,1,0,0,0,0,0,0,0,0,0
SL1695,85,1481,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1696,120,2270,4,55,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SL1697,94,3911,0,12,0,0,0,1,0,0,0,1,0,0,0,0,0,0
SL1698,131,1656,6,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1699,147,2131,6,38,0,1,0,0,0,0,0,1,0,0,0,0,0,0
SL1700,132,1681,4,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SL1701,244,3462,3,72,0,6,0,0,0,0,1,0,0,0,0,0,0,0
SL1702,296,2766,13,49,0,1,0,0,0,0,0,1,0,0,0,0,0,0
SL1703,220,1502,5,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SL1704,190,2690,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1705,167,2235,5,7,0,2,1,0,0,0,1,0,0,0,0,0,0,0
SL1706,74,1313,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SL1707,133,1889,3,57,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SL1708,88,2884,1,15,0,1,0,0,0,0,0,0,0,0,1,0,0,0
SL1709,107,1590,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1710,180,675,5,17,0,0,1,0,0,0,0,0,0,0,0,1,0,0
SL1711,137,2297,5,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SL1712,120,3835,10,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SL1713,121,2366,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SL1714,142,1202,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
SL1715,141,1627,4,42,0,1,1,0,0,0,0,0,0,0,0,0,1,0
SL1716,257,3883,8,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SL1717,288,2376,5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1718,127,2641,0,10,1,0,0,0,1,0,0,1,0,0,0,0,0,0
SL1719,157,3521,11,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SL1720,104,2029,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1721,9,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1722,78,2907,2,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SL1723,189,1371,2,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0
SL1724,124,3058,2,47,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SL1725,116,2162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1726,33,233,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1727,298,2106,6,45,1,0,0,0,0,0,0,1,0,0,0,0,0,0
SL1728,163,1053,1,16,0,1,0,0,0,0,1,0,0,0,0,0,0,0
SL1729,108,1783,3,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SL1730,127,1507,0,22,0,2,1,0,0,0,0,0,0,0,0,0,0,0
SL1731,155,2343,3,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1732,101,1863,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1733,204,1412,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1734,465,3015,0,133,1,23,0,0,8,0,10,0,0,0,0,2,0,0
SL1735,137,1761,4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1736,77,1724,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1737,252,2874,1,44,0,3,0,0,0,0,0,0,0,0,0,0,0,0
SL1738,114,1674,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1739,226,2857,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1740,285,1240,2,32,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SL1741,198,3285,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1742,263,2889,6,60,1,0,1,0,0,0,0,0,0,0,0,0,0,0
SL1743,8,74,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1744,142,1825,3,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SL1745,43,2143,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1746,46,931,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1747,227,1950,6,24,0,0,0,0,0,0,2,0,0,0,0,0,0,0
SL1748,118,2147,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1749,141,2090,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1750,37,354,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1751,6,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1752,144,2322,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1753,184,1853,4,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1754,124,2628,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1755,122,1745,1,21,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SL1756,150,2277,2,21,3,2,0,0,0,0,0,0,0,0,0,0,0,0
SL1757,272,1949,1,61,1,0,0,0,0,0,0,0,0,1,0,0,0,0
SL1758,184,1798,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1759,158,4938,2,25,0,3,1,0,0,0,0,1,0,0,0,0,0,0
SL1760,108,2857,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1761,148,1507,5,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SL1762,127,2624,5,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SL1763,177,2488,6,25,1,0,0,0,0,0,0,0,0,0,0,0,1,0
SL1764,131,2535,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1765,244,1590,1,19,1,2,2,0,0,0,0,0,0,1,0,0,0,0
SL1766,100,2626,5,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SL1767,219,1079,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1768,121,2213,7,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1769,206,2524,6,44,0,6,0,0,2,0,1,0,0,0,0,0,0,0
SL1770,145,1863,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1771,98,1512,8,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1772,247,1787,5,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SL1773,217,5440,1,29,1,0,0,0,1,0,0,1,0,0,0,0,0,0
SL1774,112,3469,0,34,12,1,0,0,0,0,0,0,0,0,0,0,0,0
SL1775,96,993,9,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SL1776,89,2124,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1777,100,526,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1778,106,2886,6,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0
SL1779,187,2054,1,75,0,3,0,1,6,0,2,0,0,0,0,0,0,0
SL1780,133,1561,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1781,173,1460,1,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SL1782,80,1570,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1783,103,1521,3,34,2,0,2,0,0,0,0,0,0,0,0,0,0,0
SL1784,20,1499,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1785,111,1917,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1786,183,1283,4,31,0,2,0,0,0,0,0,0,0,0,0,0,0,0
SL1787,118,1913,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1788,107,2512,2,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SL1789,115,2896,1,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0
SL1790,114,2349,1,17,3,0,0,0,0,1,0,0,0,0,0,0,0,0
SL1791,95,2238,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SL1792,168,3771,1,21,4,0,1,0,0,0,1,0,0,0,0,0,0,0
SL1793,388,2689,0,82,7,0,0,0,1,0,0,0,0,0,0,0,0,0
SL1794,181,2805,5,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SL1795,172,2741,2,46,5,0,4,1,0,0,0,0,0,0,0,0,0,0
SL1796,115,3160,0,15,0,0,0,0,0,0,1,0,0,1,0,0,0,0
SL1797,162,1020,3,34,0,1,0,0,0,0,0,0,0,0,0,1,0,0
SL1798,263,1066,2,16,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SL1799,145,2013,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1800,98,722,1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1801,110,1611,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1802,172,1902,4,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SL1803,101,1188,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1804,224,3169,1,16,1,0,2,1,0,1,0,0,0,0,0,0,0,0
SL1805,46,1209,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1806,140,2577,4,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1807,122,1656,2,26,0,0,0,0,1,0,1,0,0,0,0,0,0,0
SL1808,98,718,1,24,8,0,1,0,0,0,0,0,0,0,0,0,0,0
SL1809,351,1775,0,42,0,4,0,0,2,0,0,0,0,0,0,0,0,0
SL1810,118,1415,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1811,82,1980,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1812,184,3616,0,28,0,1,0,1,1,1,1,0,0,0,0,0,0,0
SL1813,97,1241,4,37,0,1,1,0,1,0,0,0,0,0,0,0,0,0
SL1814,63,1112,2,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1815,93,1308,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1816,107,2371,3,13,10,0,2,0,0,0,0,0,0,0,0,0,0,0
SL1817,188,1672,1,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SL1818,114,2012,9,13,0,0,1,0,0,0,0,0,0,1,0,0,0,0
SL1819,118,949,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1820,166,3685,1,9,0,1,1,0,0,1,0,0,0,0,0,0,0,0
SL1821,83,875,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SL1822,109,639,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1823,161,1052,2,21,1,0,0,0,0,1,0,0,0,0,0,0,0,0
SL1824,151,1255,3,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SL1825,140,1264,6,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SL1826,109,1526,3,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1827,137,999,4,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SL1828,100,2393,0,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
