,Ascomycota,Unclassified,Anthophyta,Basidiomycota,Basidiobolomycota,Cercozoa,Mortierellomycota,Glomeromycota,Haplosporidia,Rozellomycota,Blastocladiomycota,Mucoromycota,Calcarisporiellomycota,Choanoflagellata,Arthropoda,Eumycetozoa,Monilophyta,Streptophycophyta
SL1501,107,1644,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1502,130,1001,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1503,244,4383,0,39,2,0,5,0,0,0,0,0,0,0,0,0,0,0
SL1504,156,1076,1,38,7,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1505,205,1793,1,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SL1506,209,1750,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1507,122,985,1,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SL1508,249,2517,3,48,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SL1509,261,1424,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1510,87,1006,2,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1511,138,1388,1,24,0,1,0,0,0,1,0,0,0,0,0,0,0,0
SL1512,148,2382,5,25,28,1,1,0,0,0,0,0,0,0,0,0,0,0
SL1513,180,2060,2,41,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SL1514,117,2362,5,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SL1515,221,2200,2,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SL1516,338,3704,6,60,0,0,5,1,1,1,0,1,0,0,0,0,0,0
SL1517,240,1061,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1518,138,1915,4,39,3,0,0,0,0,1,0,0,0,0,0,0,0,0
SL1519,23,1172,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1520,84,1058,4,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0
SL1521,344,1427,1,49,0,5,0,0,2,0,0,0,0,0,0,0,0,0
SL1522,115,1802,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1523,200,2587,2,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1524,337,2345,2,48,0,0,1,0,0,1,0,0,0,0,0,0,0,0
SL1525,242,1398,1,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1526,160,1001,6,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1527,26,1133,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1528,98,568,2,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1529,308,1756,3,72,2,1,0,0,2,0,0,0,0,0,0,0,1,0
SL1530,54,1700,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1531,110,1036,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1532,255,2443,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1533,243,1519,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1534,267,2251,0,11,1,0,1,1,0,0,0,0,0,0,0,0,0,0
SL1535,157,1040,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1536,58,516,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1537,433,2067,0,60,2,3,1,0,2,0,0,0,0,0,0,0,0,0
SL1538,260,1802,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1539,100,1284,0,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1540,18,235,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1541,51,1209,3,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SL1542,115,1399,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1543,26,1212,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1544,216,1239,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1545,435,1751,0,99,7,1,0,0,3,0,0,1,0,0,0,0,0,0
SL1546,346,1516,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SL1547,247,2519,1,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SL1548,197,3265,2,32,3,2,0,1,0,0,0,0,0,0,0,0,0,0
SL1549,155,1406,6,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1550,294,1880,2,36,32,0,0,0,0,1,0,0,0,0,0,0,0,0
SL1551,224,1135,1,12,9,0,2,0,0,0,0,0,0,0,0,0,0,0
SL1552,12,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1553,48,403,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1554,267,693,1,17,2,0,0,1,1,0,0,0,0,0,0,0,0,0
SL1555,109,1374,0,35,2,0,0,0,1,0,0,0,0,0,0,0,0,0
SL1556,218,3606,0,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SL1557,227,1246,3,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0
SL1558,271,2188,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1559,258,1288,4,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1560,60,416,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SL1561,480,1561,1,88,24,10,2,1,5,0,0,1,1,0,0,0,0,0
SL1562,176,1618,5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1563,307,908,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1564,91,1373,1,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SL1565,156,1775,0,13,1,1,0,0,0,1,0,0,0,0,0,0,0,0
SL1566,247,901,2,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SL1567,344,1480,1,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1568,209,2366,3,18,1,0,1,1,0,0,0,0,0,0,0,0,0,0
SL1569,497,2032,0,85,1,3,1,0,6,0,0,1,0,0,0,0,0,0
SL1570,348,2821,0,22,4,0,2,0,0,0,0,0,0,0,0,0,0,0
SL1571,209,1659,2,56,0,2,0,0,0,0,0,0,0,0,0,0,0,0
SL1572,166,3719,1,24,0,0,0,1,0,0,1,0,0,0,0,0,0,0
SL1573,277,1743,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1574,52,1474,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1575,254,951,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1576,286,1447,1,24,4,0,2,0,1,0,0,0,0,0,0,0,0,0
SL1577,428,1391,2,56,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SL1578,256,1295,2,49,9,1,1,0,0,1,0,0,0,0,0,0,0,0
SL1579,193,1365,3,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SL1580,165,2377,1,21,0,1,1,0,0,0,0,0,0,0,0,0,0,0
SL1581,279,1658,1,14,7,0,3,0,0,1,0,0,0,0,0,0,0,0
SL1582,210,1000,5,18,0,1,0,0,0,0,1,0,0,0,0,0,0,0
SL1583,182,1563,4,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1584,162,1483,2,39,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SL1585,338,674,0,71,1,4,0,0,1,0,0,0,0,0,0,0,0,0
SL1586,236,1273,3,78,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SL1587,267,2738,0,23,6,0,2,0,0,0,0,0,0,0,0,0,0,0
SL1588,162,3490,1,19,1,1,1,0,1,0,0,0,0,0,0,0,0,0
SL1589,286,956,3,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SL1590,219,1359,0,11,3,0,5,0,0,0,0,0,0,0,0,0,0,0
SL1591,172,1041,9,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0
SL1592,303,1319,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1593,446,1647,0,40,3,2,0,0,3,0,0,0,0,0,0,0,0,0
SL1594,265,2626,0,34,1,0,1,0,0,0,0,0,0,0,0,0,0,0
SL1595,279,1339,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1596,402,3897,4,37,1,6,0,0,0,1,0,0,0,0,0,0,0,0
SL1597,270,1299,8,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1598,137,729,16,28,0,0,2,0,0,0,0,0,0,0,0,0,0,0
SL1599,190,1668,5,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1600,153,567,8,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SL1601,159,813,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1602,114,729,11,38,1,1,1,0,0,0,0,0,0,0,0,0,0,0
SL1603,237,755,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1604,12,39,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SL1605,233,1082,6,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1606,246,1005,13,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1607,231,800,18,32,5,0,3,0,0,0,0,0,0,0,0,0,0,0
SL1608,124,1109,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1609,229,707,22,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SL1610,19,584,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1611,105,590,22,18,1,5,0,0,0,0,0,0,0,0,0,0,0,0
SL1612,176,1071,2,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1613,163,977,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1614,76,425,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1615,279,1629,10,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SL1616,206,1428,9,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1617,203,367,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1618,109,608,16,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1619,123,860,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1620,168,1618,0,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SL1621,322,772,0,16,2,0,0,0,0,0,1,0,0,0,0,0,0,0
SL1622,228,1135,7,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SL1623,174,992,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
