,Fungi,Viridiplantae,Unclassified,Rhizaria,Choanoflagellozoa,Metazoa,Amoebozoa,Ichthyosporia,Stramenopila
SL1501,96.21404109589041,0.0,3.785958904109589,0.0,0.0,0.0,0.0,0.0,0.0
SL1502,84.34395177622645,12.839817969550404,2.816230254223154,0.0,0.0,0.0,0.0,0.0,0.0
SL1503,43.44840050605458,0.0,56.55159949394542,0.0,0.0,0.0,0.0,0.0,0.0
SL1504,94.29996728819104,0.4497873732417403,5.250245338567223,0.0,0.0,0.0,0.0,0.0,0.0
SL1505,91.22368890474492,0.05708169818052087,8.708526578665715,0.010702818408847663,0.0,0.0,0.0,0.0,0.0
SL1506,82.87657119307644,4.960848959406553,12.162579847517,0.0,0.0,0.0,0.0,0.0,0.0
SL1507,88.92485943090816,1.4227295961833362,9.652410972908502,0.0,0.0,0.0,0.0,0.0,0.0
SL1508,82.16018564095351,3.5721819843892835,14.264116447507208,0.003515927149989452,0.0,0.0,0.0,0.0,0.0
SL1509,93.04264548476142,0.45912906315137175,6.4982254520872065,0.0,0.0,0.0,0.0,0.0,0.0
SL1510,89.02207375384818,3.0654352525054036,7.9124909936464265,0.0,0.0,0.0,0.0,0.0,0.0
SL1511,88.61093178394663,1.877555412093824,9.506132989025177,0.005379814934366258,0.0,0.0,0.0,0.0,0.0
SL1512,91.44002565747275,2.4278383579217446,6.130532392559333,0.001603592046183451,0.0,0.0,0.0,0.0,0.0
SL1513,91.36771022120708,0.891283298989548,7.7012835472578764,0.03972293254549517,0.0,0.0,0.0,0.0,0.0
SL1514,87.26648875333588,4.175730528582001,8.557780718082125,0.0,0.0,0.0,0.0,0.0,0.0
SL1515,87.46689303904924,1.2258064516129032,11.30390492359932,0.003395585738539898,0.0,0.0,0.0,0.0,0.0
SL1516,62.12235909435001,8.722730713646687,29.141146514348634,0.013763677654669328,0.0,0.0,0.0,0.0,0.0
SL1517,94.72341064324851,0.36403212489679504,4.912557231854687,0.0,0.0,0.0,0.0,0.0,0.0
SL1518,87.7498482088646,5.605343047965999,6.644808743169399,0.0,0.0,0.0,0.0,0.0,0.0
SL1519,96.31434347623244,0.0,3.68565652376756,0.0,0.0,0.0,0.0,0.0,0.0
SL1520,91.63824433883143,4.794520547945205,3.5672351132233717,0.0,0.0,0.0,0.0,0.0,0.0
SL1521,94.80077066986848,0.005584564264373273,5.048446094993438,0.14519867087370508,0.0,0.0,0.0,0.0,0.0
SL1522,91.24794411694047,4.185685509951398,4.566370373108126,0.0,0.0,0.0,0.0,0.0,0.0
SL1523,90.61466431854302,1.3773749695746174,8.007960711882365,0.0,0.0,0.0,0.0,0.0,0.0
SL1524,86.24794877570064,1.6409794394929051,12.11107178480646,0.0,0.0,0.0,0.0,0.0,0.0
SL1525,96.12561320585813,0.22200737637411824,3.6523794177677518,0.0,0.0,0.0,0.0,0.0,0.0
SL1526,84.5200838844975,11.61155025004033,3.8683658654621715,0.0,0.0,0.0,0.0,0.0,0.0
SL1527,96.7727124901957,0.581562183153827,2.6457253266504694,0.0,0.0,0.0,0.0,0.0,0.0
SL1528,88.46977433701203,0.72475704167353,10.805468621314446,0.0,0.0,0.0,0.0,0.0,0.0
SL1529,90.94370218916346,0.45475376317552085,8.464060351817253,0.1374836958437621,0.0,0.0,0.0,0.0,0.0
SL1530,94.16245496094601,0.0,5.837545039053999,0.0,0.0,0.0,0.0,0.0,0.0
SL1531,87.50403732280638,0.5777857527364076,11.918176924457205,0.0,0.0,0.0,0.0,0.0,0.0
SL1532,87.95468097793679,1.5866842964921832,10.458634725571025,0.0,0.0,0.0,0.0,0.0,0.0
SL1533,94.43199058035006,0.9895161107714603,4.578493308878473,0.0,0.0,0.0,0.0,0.0,0.0
SL1534,92.20364539447425,0.0,7.796354605525744,0.0,0.0,0.0,0.0,0.0,0.0
SL1535,96.50653884228625,0.3412702547803887,3.1443755535872455,0.0,0.0,0.0,0.0,0.0,0.00781534934611577
SL1536,75.46366676801459,7.418668288233506,17.1176649437519,0.0,0.0,0.0,0.0,0.0,0.0
SL1537,93.61887614896239,0.0,5.865630626362172,0.5154932246754478,0.0,0.0,0.0,0.0,0.0
SL1538,89.62202936166761,0.0,10.377970638332387,0.0,0.0,0.0,0.0,0.0,0.0
SL1539,95.81413015953406,0.0,4.185869840465941,0.0,0.0,0.0,0.0,0.0,0.0
SL1540,11.785714285714286,0.0,88.21428571428571,0.0,0.0,0.0,0.0,0.0,0.0
SL1541,95.06464111712127,2.044730885794299,2.890627997084436,0.0,0.0,0.0,0.0,0.0,0.0
SL1542,92.96511451078196,1.6150126220383831,5.4198728671796585,0.0,0.0,0.0,0.0,0.0,0.0
SL1543,97.16450969265408,0.0,2.835490307345915,0.0,0.0,0.0,0.0,0.0,0.0
SL1544,95.9211943974142,0.5958794168737219,3.482926185712087,0.0,0.0,0.0,0.0,0.0,0.0
SL1545,94.24768494104246,0.0,5.564579070601388,0.18773598835614994,0.0,0.0,0.0,0.0,0.0
SL1546,93.91347940196397,0.0,5.939075816106868,0.14744478192916752,0.0,0.0,0.0,0.0,0.0
SL1547,91.48798052540826,0.00202860330662339,8.50999087128512,0.0,0.0,0.0,0.0,0.0,0.0
SL1548,23.320987654320987,1.0123456790123457,75.64197530864197,0.024691358024691357,0.0,0.0,0.0,0.0,0.0
SL1549,87.90887138083275,7.627387369807547,4.4637412493597095,0.0,0.0,0.0,0.0,0.0,0.0
SL1550,93.2181880753678,0.09463993805385873,6.687171986578336,0.0,0.0,0.0,0.0,0.0,0.0
