,Ascomycota,Unclassified,Anthophyta,Basidiomycota,Basidiobolomycota,Cercozoa,Mortierellomycota,Glomeromycota,Haplosporidia,Rozellomycota,Blastocladiomycota,Mucoromycota,Calcarisporiellomycota,Choanoflagellata,Arthropoda,Eumycetozoa,Monilophyta,Streptophycophyta
SL1501,94.57705479452055,5.412671232876712,0.0,0.010273972602739725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1502,83.87458006718926,2.878177789426032,12.839817969550404,0.4074241738343142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1503,29.16591360925357,56.68714982830291,0.0,11.752213988794505,0.018073377914332188,0.0,2.3766491957346827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1504,79.28933595027804,11.60042525351652,0.4497873732417403,7.057572783774943,1.602878639188747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1505,74.39172315376382,22.76846236175526,0.05708169818052087,2.772029967891545,0.0,0.0,0.0,0.0,0.010702818408847663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1506,77.15845868534927,14.48588501957552,4.960848959406553,3.3948073356686588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1507,87.3913784290339,10.376554779349123,1.4227295961833362,0.7837791787357301,0.0,0.0,0.025558016697904244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1508,57.37641516067787,17.442514591097673,3.5721819843892835,21.605372336685186,0.0,0.0,0.0,0.0,0.003515927149989452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1509,55.39124556363022,41.566672300152106,0.45912906315137175,2.582953073066306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1510,76.35422807362285,7.938691294949892,3.0654352525054036,12.628545228270125,0.013100150651732496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1511,69.87841618248332,22.55756401979772,1.877555412093824,5.670324940822035,0.0,0.005379814934366258,0.0,0.0,0.0,0.010759629868732516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1512,78.76523412443875,9.002565747273893,2.4278383579217446,2.6539448364336113,7.031751122514432,0.001603592046183451,0.11706221937139191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1513,85.43409717222374,11.479927505648105,0.891283298989548,2.154969090593113,0.0,0.0024826832840934483,0.0,0.0,0.03724024926140172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1514,82.23408311094167,10.002018344508981,4.175730528582001,3.585925410957368,0.0,0.0,0.0,0.0,0.0,0.0,0.002242605009979592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1515,71.97962648556876,18.122241086587437,1.2258064516129032,8.66893039049236,0.0,0.003395585738539898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1516,46.88940885004473,30.751496799944945,8.722730713646687,13.237216984378225,0.0,0.0,0.12387309889202396,0.10322758241001996,0.013763677654669328,0.1376367765466933,0.0,0.02064551648200399,0.0,0.0,0.0,0.0,0.0,0.0
SL1517,87.02619530135856,8.646701193424905,0.36403212489679504,3.963071380319748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1518,75.20825743776564,6.907103825136612,5.605343047965999,12.194292653309047,0.08257437765634487,0.0,0.0,0.0,0.0,0.0024286581663630845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
