	reads per sample	original OTUs	final OTUs
SL1883	28188	1175	973
SL1884	45572	2777	2315
SL1885	62771	3881	3220
SL1886	98694	3755	2847
SL1887	103325	3129	2325
SL1888	83059	3046	2275
SL1889	64180	2728	2233
SL1890	70866	2008	1448
SL1891	42891	2242	1827
SL1892	35992	2872	2502
SL1893	74546	2969	2256
SL1894	45775	2648	2181
SL1895	46011	3125	2591
SL1896	59015	3010	2486
SL1897	70950	2589	1969
SL1898	43277	3155	2649
SL1899	38950	1937	1617
SL1900	73361	3761	2928
SL1901	34544	1895	1629
SL1902	42167	5024	4419
SL1903	75874	4675	3746
SL1904	48478	2398	1949
SL1905	52886	2517	2086
SL1906	88286	3837	2983
SL1907	53621	1920	1560
SL1908	53881	2480	2032
SL1909	60831	3805	3222
SL1910	80415	3658	2816
SL1911	50715	2391	1952
SL1912	48248	3273	2729
SL1913	75503	3746	2984
SL1914	45634	1761	1434
SL1915	12	10	10
SL1916	3	3	3
SL1917	27086	2612	2265
SL1918	56131	2202	1796
SL1919	40850	2012	1656
SL1920	43933	2921	2422
SL1921	53131	2660	2197
SL1922	41021	4995	4410
SL1923	62962	3880	3276
SL1924	25200	5009	4623
SL1925	48126	2204	1785
SL1926	44454	1751	1387
SL1927	64070	2496	2052
SL1928	49622	2180	1775
SL1929	11797	4468	4248
SL1930	51832	2197	1782
SL1931	50299	3333	2796
SL1932	17792	1111	971
SL1933	72819	2928	2196
SL1934	42173	2532	2075
SL1935	84635	4044	3110
SL1936	7	7	7
SL1937	51555	2527	2072
SL1938	211	203	203
SL1939	33151	2144	1836
SL1940	25527	1393	1207
SL1941	81616	2336	1729
SL1942	50990	2354	1922
SL1943	15606	752	666
SL1944	43061	4681	4076
SL1945	43691	2232	1859
SL1946	73961	2197	1603
SL1947	73760	2887	2201
SL1948	35474	2445	2079
SL1949	44380	2433	1984
SL1950	23319	1307	1081
SL1951	40139	2359	1969
SL1952	16460	1583	1427
SL1953	49025	2510	2050
SL1954	26318	1076	895
SL1955	41905	3264	2746
SL1956	60974	2981	2458
SL1957	57048	3052	2494
SL1958	60624	2691	2229
SL1959	118350	2780	2086
SL1960	36770	1767	1499
SL1961	73831	5208	4390
SL1962	2360	1734	1687
SL1963	81058	3042	2274
SL1964	42485	2369	1939
SL1965	10679	4344	4133
SL1966	30493	1131	919
SL1967	56817	3277	2747
SL1968	56698	2150	1779
SL1969	33769	1740	1462
SL1970	32703	1785	1496
SL1971	22727	3072	2742
SL1972	19586	1996	1738
SL1973	60515	2769	2275
SL1974	75950	2047	1480
SL1975	33690	2156	1869
SL1976	3461	1912	1851
SL1977	80951	4371	3493
SL1978	76831	3557	2787
SL1979	32979	1623	1359
SL1980	52448	2808	2309
SL1981	52986	2817	2341
SL1982	40049	3238	2676
SL1983	12225	494	436
SL1984	30689	3352	2941
SL1985	12213	959	872
SL1986	38378	1809	1545
SL1987	40349	3001	2479
SL1988	9507	779	708
SL1989	29363	3658	3307
SL1990	29891	2357	2050
SL1991	45543	2335	1908
SL1992	24444	1443	1246
SL1993	71	69	69
SL1994	77974	3112	2423
SL1995	18552	4422	4091
SL1996	18443	1786	1562
SL1997	27337	1952	1704
SL1998	33234	2637	2298
SL1999	5942	955	919
SL2000	17918	2197	1981
SL2001	20330	1554	1350
SL2002	40542	2656	2191
SL2003	12992	1209	1109
SL2004	5137	801	763
SL2005	62611	4668	3996
SL2006	61992	3827	3243
SL2007	26	25	25
SL2008	24936	1003	863
SL2009	3434	1927	1873
SL2010	80	71	71
SL2011	1330	554	541
SL2012	19582	2054	1780
SL2013	18009	1001	896
SL2014	39760	2296	1955
SL2015	35494	1853	1595
SL2016	55039	2202	1796
SL2017	62626	3204	2669
SL2018	30333	3795	3440
SL2019	37290	1221	1020
SL2020	10563	1183	1085
SL2021	9776	1900	1803
SL2022	600	133	132
SL2023	10193	3354	3196
SL2024	29884	2653	2269
SL2025	15981	1288	1172
SLP2W	18475	2335	2062
SLPW1B	16822	5047	4745
SLPW3A	25570	5446	5057
SLPW4A	16972	5157	4860
SLPW5X	50758	5195	4518
SLPW6A	1817	1281	1248
SLPW7	780	622	611
SLPW8	98	79	79
