	reads per sample	original OTUs	final OTUs
SL1501	58990	2146	1756
SL1502	42735	1437	1147
SL1503	23161	5083	4673
SL1504	24930	1480	1278
SL1505	28818	2377	2052
SL1506	20015	2230	1979
SL1507	11851	1212	1128
SL1508	29497	3221	2818
SL1509	36453	2016	1710
SL1510	15656	1286	1126
SL1511	18944	1777	1553
SL1512	63665	3150	2590
SL1513	41156	2782	2285
SL1514	45448	2970	2503
SL1515	30212	2773	2458
SL1516	30354	4574	4117
SL1517	27313	1597	1334
SL1518	42116	2567	2100
SL1519	38905	1447	1208
SL1520	36212	1386	1155
SL1521	36398	2123	1828
SL1522	55041	2377	1937
SL1523	71730	3552	2827
SL1524	32090	3134	2734
SL1525	56892	2043	1668
SL1526	31479	1411	1183
SL1527	52852	1451	1167
SL1528	6142	740	697
SL1529	28974	2466	2145
SL1530	42302	2165	1762
SL1531	28089	1325	1159
SL1532	40080	3328	2748
SL1533	44909	2189	1777
SL1534	45849	3000	2532
SL1535	39076	1445	1218
SL1536	3332	633	602
SL1537	53501	3046	2568
SL1538	25088	2364	2093
SL1539	40182	1752	1434
SL1540	281	257	256
SL1541	52900	1631	1281
SL1542	33403	1804	1537
SL1543	55065	1572	1252
SL1544	45918	1785	1471
SL1545	48525	2740	2297
SL1546	34354	2175	1891
SL1547	50384	3379	2791
SL1548	8401	3660	3502
SL1549	41741	1992	1601
SL1550	47293	2678	2245
SL1551	32209	1596	1383
SL1552	79	30	30
SL1553	3719	502	465
SL1554	15746	1072	982
SL1555	34534	1787	1521
SL1556	15895	4134	3852
SL1557	22323	1713	1495
SL1558	80729	3209	2467
SL1559	36838	1823	1564
SL1560	13989	554	494
SL1561	30895	2477	2174
SL1562	17386	2048	1857
SL1563	21606	1439	1246
SL1564	11832	1630	1497
SL1565	43015	2402	1947
SL1566	32673	1354	1163
SL1567	41888	2218	1847
SL1568	60561	3163	2599
SL1569	48572	3105	2626
SL1570	54126	3727	3197
SL1571	46306	2379	1928
SL1572	33612	4428	3912
SL1573	58904	2468	2034
SL1574	1997	1570	1538
SL1575	46678	1486	1223
SL1576	50410	2141	1765
SL1577	41922	2253	1878
SL1578	28765	1851	1614
SL1579	39751	1891	1590
SL1580	44012	3044	2566
SL1581	47855	2368	1963
SL1582	24849	1418	1235
SL1583	23151	2059	1773
SL1584	24435	1974	1688
SL1585	14458	1185	1089
SL1586	21835	1824	1591
SL1587	27944	3364	3036
SL1588	8135	3830	3676
SL1589	35973	1504	1268
SL1590	41600	1922	1597
SL1591	28189	1457	1231
SL1592	30072	1886	1637
SL1593	30464	2426	2141
SL1594	37516	3344	2927
SL1595	55001	1977	1630
SL1596	33995	4825	4348
SL1597	54320	1970	1608
SL1598	32080	1093	912
SL1599	54321	2372	1913
SL1600	22096	861	742
SL1601	31997	1173	1004
SL1602	38476	1058	895
SL1603	39741	1226	1016
SL1604	79	59	59
SL1605	38374	1608	1365
SL1606	56326	1643	1318
SL1607	41575	1354	1089
SL1608	61871	1548	1244
SL1609	40702	1219	978
SL1610	87068	913	606
SL1611	34992	884	741
SL1612	55469	1625	1287
SL1613	55992	1459	1160
SL1614	24120	633	524
SL1615	84922	2579	1949
SL1616	52656	2123	1707
SL1617	18038	658	584
SL1618	45532	949	760
SL1619	38936	1202	1004
SL1620	12711	1953	1816
SL1621	43193	1358	1113
SL1622	49959	1771	1415
SL1623	42775	1497	1189
SL1624	41211	1046	853
SL1625	3	3	3
SL1626	32201	1837	1524
SL1627	45429	1289	1045
SL1628	2531	433	410
SL1629	49414	1888	1511
SL1630	26853	904	771
SL1631	34443	1402	1185
SL1632	12908	631	567
SL1633	16681	1269	1137
SL1634	6196	721	650
SL1635	15053	1117	1011
SL1636	30632	1681	1421
SL1637	14665	1382	1274
SL1638	27063	3073	2740
SL1639	44977	1280	990
SL1640	24619	937	788
SL1641	8797	841	777
SL1642	11310	798	740
SL1643	23944	1613	1362
SL1644	3	3	3
SL1645	43496	1710	1361
SL1646	26275	1236	1056
SL1647	2	2	2
SL1648	10066	393	347
SL1649	22548	1036	885
SL1650	20635	916	796
SL1651	37554	1140	965
SL1652	41113	1439	1122
SL1653	79761	2115	1538
SL1654	39943	1638	1346
SL1655	1	1	1
SL1656	34960	882	729
SL1657	41373	1107	857
SL1658	20972	528	464
SL1659	34672	1365	1148
SL1660	19005	2095	1826
SL1661	41410	1423	1143
SL1662	34130	896	747
SL1663	36772	1165	956
SL1664	8931	2629	2500
SL1665	28663	791	648
SL1666	27358	751	630
SL1667	16035	1157	1037
SL1668	13660	709	632
SL1669	50928	1670	1359
SL1670	25199	1012	868
SL1671	21564	742	639
SL1672	20795	833	709
SL1673	21703	704	599
SL1674	40335	1462	1183
SL1675	50773	1200	955
SL1676	17578	628	528
SL1677	15530	3602	3308
SL1678	25511	1179	983
SL1679	24093	704	589
SL1680	30150	1419	1215
SL1681	24360	723	625
SL1682	39125	606	492
SL1683	449	402	400
SL1684	16926	461	401
SL1685	21335	1539	1323
SL1686	79420	1151	818
SL1687	49878	1547	1258
SL1688	12152	753	669
SL1689	28076	1184	992
SL1690	32883	1044	863
SL1691	25545	970	826
SL1692	71814	2935	2261
SL1693	56707	3036	2540
SL1694	25704	3340	3044
SL1695	23759	1818	1578
SL1696	11899	2599	2450
SL1697	40633	4564	4019
SL1698	16062	2013	1818
SL1699	39529	2724	2324
SL1700	15725	2021	1846
SL1701	41976	4304	3788
SL1702	57903	3699	3126
SL1703	30184	2055	1745
SL1704	72555	3620	2911
SL1705	33055	2775	2418
SL1706	36523	1638	1391
SL1707	19544	2366	2084
SL1708	53165	3550	2990
SL1709	30934	1982	1711
SL1710	18649	1024	879
SL1711	15116	2687	2492
SL1712	76363	4843	3976
SL1713	48515	3028	2495
SL1714	29919	1568	1352
SL1715	40763	2211	1817
SL1716	29981	4574	4174
SL1717	97440	3526	2731
SL1718	45072	3298	2781
SL1719	94900	4638	3732
SL1720	53664	2573	2151
SL1721	87	80	80
SL1722	50480	3604	3009
SL1723	37961	1877	1578
SL1724	26339	3563	3232
SL1725	69863	2940	2278
SL1726	2604	304	280
SL1727	29328	2784	2457
SL1728	18063	1409	1235
SL1729	30016	2214	1913
SL1730	33451	1969	1659
SL1731	46196	2974	2521
SL1732	24104	2292	1990
SL1733	22710	1868	1657
SL1734	22155	3997	3657
SL1735	23596	2245	1940
SL1736	34582	2075	1810
SL1737	48615	3703	3174
SL1738	34513	2137	1821
SL1739	42227	3648	3103
SL1740	25921	1809	1561
SL1741	36776	3971	3514
SL1742	51153	3794	3220
SL1743	89	84	84
SL1744	50908	2414	1986
SL1745	32738	2520	2194
SL1746	25289	1168	992
SL1747	39460	2563	2209
SL1748	37757	2654	2285
SL1749	41409	2749	2258
SL1750	6389	434	404
SL1751	46	42	42
SL1752	75736	3193	2481
SL1753	47607	2512	2087
SL1754	38692	3195	2767
SL1755	27796	2193	1891
SL1756	30421	2787	2455
SL1757	53385	2724	2285
SL1758	38239	2366	2013
SL1759	19769	5433	5128
SL1760	30413	3332	2998
SL1761	16443	1827	1674
SL1762	52960	3305	2783
SL1763	29639	3039	2698
SL1764	13582	2867	2675
SL1765	34131	2154	1860
SL1766	31037	3140	2762
SL1767	43419	1597	1322
SL1768	36861	2725	2355
SL1769	39671	3202	2789
SL1770	33858	2375	2030
SL1771	17865	1862	1675
SL1772	25137	2368	2085
SL1773	30826	6158	5690
SL1774	40808	4140	3628
SL1775	22272	1314	1112
SL1776	36154	2585	2225
SL1777	25255	767	640
SL1778	45927	3584	3018
SL1779	24925	2624	2329
SL1780	36203	1997	1706
SL1781	32651	1932	1673
SL1782	19447	1901	1672
SL1783	33023	1939	1665
SL1784	75849	2036	1530
SL1785	30287	2399	2053
SL1786	30468	1713	1503
SL1787	28000	2364	2073
SL1788	35041	3057	2655
SL1789	86429	3899	3026
SL1790	12637	2623	2485
SL1791	15016	2534	2354
SL1792	13903	4178	3967
SL1793	66340	3733	3167
SL1794	53797	3596	3020
SL1795	49256	3512	2971
SL1796	6371	3411	3292
SL1797	20414	1445	1221
SL1798	42043	1658	1349
SL1799	34824	2553	2181
SL1800	7283	880	836
SL1801	30134	2059	1748
SL1802	32916	2400	2090
SL1803	17004	1466	1310
SL1804	30865	3846	3415
SL1805	18853	1456	1266
SL1806	82690	3581	2756
SL1807	16219	2032	1808
SL1808	41364	1053	850
SL1809	40405	2593	2174
SL1810	21492	1804	1568
SL1811	42775	2516	2081
SL1812	12739	4020	3833
SL1813	16609	1550	1382
SL1814	6947	1280	1211
SL1815	17136	1579	1419
SL1816	38042	2883	2506
SL1817	24191	2212	1899
SL1818	33586	2467	2150
SL1819	26037	1275	1079
SL1820	24453	4230	3864
SL1821	17955	1097	967
SL1822	10455	836	768
SL1823	22208	1435	1238
SL1824	25370	1611	1420
SL1825	20536	1663	1438
SL1826	30212	1914	1667
SL1827	17998	1287	1161
SL1828	3980	2588	2500
SL1829	40885	2910	2476
SL1830	11744	1285	1209
SL1831	14130	1213	1114
SL1832	25580	2150	1889
SL1833	15501	1681	1532
SL1834	12218	1361	1281
SL1835	49401	4104	3549
SL1836	4462	2046	1975
SL1837	27410	2049	1779
SL1838	33860	2449	2144
SL1839	24960	1501	1274
SL1840	30196	1836	1611
SL1841	58505	3306	2803
SL1842	30564	2421	2103
SL1843	61624	3465	2920
SL1844	23337	3711	3374
SL1845	37476	2875	2445
SL1846	15083	1423	1306
SL1847	18558	1475	1284
SL1848	22191	1073	954
SL1849	17334	2299	2116
SL1850	25125	2157	1893
SL1851	23597	2612	2298
SL1852	18466	5500	5141
SL1853	38901	2913	2518
SL1854	15738	1424	1270
SL1855	12907	1207	1099
SL1856	56	49	49
SL1857	4924	2940	2854
SL1858	28780	2038	1753
SL1859	11163	1384	1300
SL1860	11392	4610	4391
SL1861	17056	1550	1401
SL1862	935	710	701
SL1863	63761	2045	1693
SL1864	16429	1511	1335
SL1865	30207	2099	1852
SL1866	23739	1862	1618
SL1867	35519	1952	1660
SL1868	23837	2282	2013
SL1869	21849	1634	1408
SL1870	13138	743	677
SL1871	54542	3708	3162
SL1872	20	20	20
SL1873	14019	1208	1115
SL1874	11520	1322	1229
SL1875	34044	1883	1605
SL1876	10223	4291	4100
SL1877	23486	1510	1293
SL1878	16013	1104	973
SL1879	23233	1422	1212
SL1880	64319	3526	2978
SL1881	31458	2375	2024
SL1882	15043	1341	1208
