,Fungi,Viridiplantae,Unclassified,Rhizaria,Choanoflagellozoa,Metazoa,Amoebozoa,Ichthyosporia,Stramenopila
SL1567,396,1,1450,0,0,0,0,0,0
SL1568,250,3,2346,0,0,0,0,0,0
SL1569,613,0,2004,9,0,0,0,0,0
SL1570,414,0,2783,0,0,0,0,0,0
SL1571,285,2,1639,2,0,0,0,0,0
SL1572,203,1,3708,0,0,0,0,0,0
SL1573,296,0,1738,0,0,0,0,0,0
SL1574,70,0,1468,0,0,0,0,0,0
SL1575,276,0,947,0,0,0,0,0,0
SL1576,326,1,1437,1,0,0,0,0,0
SL1577,511,2,1364,1,0,0,0,0,0
SL1578,328,2,1283,1,0,0,0,0,0
SL1579,235,3,1351,1,0,0,0,0,0
SL1580,203,1,2361,1,0,0,0,0,0
SL1581,309,1,1653,0,0,0,0,0,0
SL1582,247,5,982,1,0,0,0,0,0
SL1583,220,4,1549,0,0,0,0,0,0
SL1584,215,2,1470,0,0,0,1,0,0
SL1585,430,0,654,5,0,0,0,0,0
SL1586,332,3,1255,1,0,0,0,0,0
SL1587,306,0,2730,0,0,0,0,0,0
SL1588,196,1,3477,2,0,0,0,0,0
SL1589,325,3,939,1,0,0,0,0,0
SL1590,240,0,1357,0,0,0,0,0,0
SL1591,187,9,1035,0,0,0,0,0,0
SL1592,334,0,1303,0,0,0,0,0,0
SL1593,506,0,1630,5,0,0,0,0,0
SL1594,303,0,2624,0,0,0,0,0,0
SL1595,298,1,1331,0,0,0,0,0,0
SL1596,471,4,3867,6,0,0,0,0,0
SL1597,312,8,1288,0,0,0,0,0,0
SL1598,174,16,722,0,0,0,0,0,0
SL1599,256,5,1652,0,0,0,0,0,0
SL1600,183,8,551,0,0,0,0,0,0
SL1601,195,13,796,0,0,0,0,0,0
SL1602,166,11,717,1,0,0,0,0,0
SL1603,259,10,747,0,0,0,0,0,0
SL1604,19,1,38,1,0,0,0,0,0
SL1605,316,6,1043,0,0,0,0,0,0
SL1606,332,13,973,0,0,0,0,0,0
SL1607,276,18,795,0,0,0,0,0,0
SL1608,143,4,1097,0,0,0,0,0,0
SL1609,257,22,698,1,0,0,0,0,0
SL1610,22,0,584,0,0,0,0,0,0
SL1611,127,22,587,5,0,0,0,0,0
SL1612,249,2,1036,0,0,0,0,0,0
SL1613,206,6,948,0,0,0,0,0,0
SL1614,101,2,421,0,0,0,0,0,0
SL1615,347,10,1592,0,0,0,0,0,0
SL1616,297,9,1401,0,0,0,0,0,0
SL1617,231,0,353,0,0,0,0,0,0
SL1618,141,16,603,0,0,0,0,0,0
SL1619,146,8,850,0,0,0,0,0,0
SL1620,222,0,1594,0,0,0,0,0,0
SL1621,351,0,762,0,0,0,0,0,0
SL1622,296,7,1112,0,0,0,0,0,0
SL1623,214,0,975,0,0,0,0,0,0
SL1624,175,8,670,0,0,0,0,0,0
SL1625,1,0,2,0,0,0,0,0,0
SL1626,260,3,1261,0,0,0,0,0,0
SL1627,232,14,794,5,0,0,0,0,0
SL1628,92,2,316,0,0,0,0,0,0
SL1629,206,6,1299,0,0,0,0,0,0
SL1630,289,8,472,2,0,0,0,0,0
SL1631,350,9,825,1,0,0,0,0,0
SL1632,102,1,464,0,0,0,0,0,0
SL1633,137,6,994,0,0,0,0,0,0
SL1634,117,5,528,0,0,0,0,0,0
SL1635,171,5,831,4,0,0,0,0,0
SL1636,191,5,1225,0,0,0,0,0,0
SL1637,267,1,1006,0,0,0,0,0,0
SL1638,850,3,1852,33,0,0,2,0,0
SL1639,304,9,677,0,0,0,0,0,0
SL1640,167,0,621,0,0,0,0,0,0
SL1641,83,0,694,0,0,0,0,0,0
SL1642,124,2,614,0,0,0,0,0,0
SL1643,282,8,1072,0,0,0,0,0,0
SL1644,0,0,3,0,0,0,0,0,0
SL1645,395,7,959,0,0,0,0,0,0
SL1646,162,5,887,2,0,0,0,0,0
SL1647,1,0,1,0,0,0,0,0,0
SL1648,86,2,259,0,0,0,0,0,0
SL1649,256,5,624,0,0,0,0,0,0
SL1650,194,8,593,1,0,0,0,0,0
SL1651,201,0,761,3,0,0,0,0,0
SL1652,156,1,965,0,0,0,0,0,0
SL1653,204,4,1330,0,0,0,0,0,0
SL1654,315,3,1027,0,1,0,0,0,0
SL1655,1,0,0,0,0,0,0,0,0
SL1656,102,1,626,0,0,0,0,0,0
SL1657,173,5,679,0,0,0,0,0,0
SL1658,109,0,355,0,0,0,0,0,0
SL1659,201,10,933,4,0,0,0,0,0
SL1660,186,0,1638,2,0,0,0,0,0
SL1661,351,1,791,0,0,0,0,0,0
SL1662,244,11,492,0,0,0,0,0,0
SL1663,182,4,770,0,0,0,0,0,0
SL1664,199,4,2297,0,0,0,0,0,0
SL1665,143,4,501,0,0,0,0,0,0
SL1666,168,1,461,0,0,0,0,0,0
SL1667,269,2,766,0,0,0,0,0,0
SL1668,142,6,484,0,0,0,0,0,0
SL1669,428,7,924,0,0,0,0,0,0
SL1670,182,13,673,0,0,0,0,0,0
SL1671,245,3,390,0,0,1,0,0,0
SL1672,174,13,522,0,0,0,0,0,0
SL1673,196,10,393,0,0,0,0,0,0
SL1674,194,2,987,0,0,0,0,0,0
SL1675,153,2,800,0,0,0,0,0,0
SL1676,83,8,437,0,0,0,0,0,0
SL1677,340,0,2968,0,0,0,0,0,0
SL1678,166,4,813,0,0,0,0,0,0
SL1679,124,6,459,0,0,0,0,0,0
SL1680,152,3,1060,0,0,0,0,0,0
SL1681,160,3,462,0,0,0,0,0,0
SL1682,33,0,459,0,0,0,0,0,0
SL1683,54,2,344,0,0,0,0,0,0
SL1684,112,2,287,0,0,0,0,0,0
SL1685,221,7,1094,1,0,0,0,0,0
SL1686,131,0,687,0,0,0,0,0,0
SL1687,227,2,1029,0,0,0,0,0,0
SL1688,221,8,440,0,0,0,0,0,0
SL1689,239,6,747,0,0,0,0,0,0
SL1690,62,1,800,0,0,0,0,0,0
SL1691,153,8,665,0,0,0,0,0,0
SL1692,155,3,2103,0,0,0,0,0,0
SL1693,266,8,2266,0,0,0,0,0,0
SL1694,212,11,2820,1,0,0,0,0,0
SL1695,98,2,1478,0,0,0,0,0,0
SL1696,187,4,2258,1,0,0,0,0,0
SL1697,112,0,3907,0,0,0,0,0,0
SL1698,167,6,1645,0,0,0,0,0,0
SL1699,202,6,2115,1,0,0,0,0,0
SL1700,172,4,1670,0,0,0,0,0,0
SL1701,372,3,3407,6,0,0,0,0,0
SL1702,365,13,2747,1,0,0,0,0,0
SL1703,274,5,1465,1,0,0,0,0,0
SL1704,228,5,2678,0,0,0,0,0,0
SL1705,185,5,2226,2,0,0,0,0,0
SL1706,80,1,1309,1,0,0,0,0,0
SL1707,202,3,1878,1,0,0,0,0,0
SL1708,108,1,2879,1,0,1,0,0,0
SL1709,129,2,1580,0,0,0,0,0,0
SL1710,207,5,666,0,0,0,1,0,0
SL1711,204,5,2283,0,0,0,0,0,0
SL1712,140,10,3826,0,0,0,0,0,0
SL1713,137,0,2358,0,0,0,0,0,0
SL1714,149,3,1198,2,0,0,0,0,0
SL1715,194,5,1617,1,0,0,0,0,0
SL1716,305,8,3860,1,0,0,0,0,0
SL1717,358,5,2368,0,0,0,0,0,0
SL1718,147,0,2633,1,0,0,0,0,0
SL1719,211,11,3510,0,0,0,0,0,0
SL1720,142,0,2009,0,0,0,0,0,0
SL1721,10,1,69,0,0,0,0,0,0
SL1722,108,2,2898,1,0,0,0,0,0
SL1723,241,2,1333,2,0,0,0,0,0
SL1724,183,2,3046,1,0,0,0,0,0
SL1725,126,0,2152,0,0,0,0,0,0
SL1726,51,2,227,0,0,0,0,0,0
SL1727,353,6,2098,0,0,0,0,0,0
SL1728,208,1,1025,1,0,0,0,0,0
SL1729,135,3,1775,0,0,0,0,0,0
SL1730,171,0,1486,2,0,0,0,0,0
SL1731,182,3,2336,0,0,0,0,0,0
SL1732,134,3,1853,0,0,0,0,0,0
SL1733,271,0,1386,0,0,0,0,0,0
SL1734,666,0,2958,31,0,0,2,0,0
SL1735,188,4,1748,0,0,0,0,0,0
SL1736,100,0,1710,0,0,0,0,0,0
SL1737,312,1,2858,3,0,0,0,0,0
SL1738,155,3,1663,0,0,0,0,0,0
SL1739,259,5,2839,0,0,0,0,0,0
SL1740,357,2,1200,2,0,0,0,0,0
SL1741,246,2,3266,0,0,0,0,0,0
SL1742,336,6,2878,0,0,0,0,0,0
SL1743,9,1,74,0,0,0,0,0,0
SL1744,163,3,1819,1,0,0,0,0,0
SL1745,53,1,2140,0,0,0,0,0,0
SL1746,59,3,930,0,0,0,0,0,0
SL1747,285,6,1918,0,0,0,0,0,0
SL1748,143,2,2140,0,0,0,0,0,0
SL1749,192,1,2065,0,0,0,0,0,0
SL1750,52,0,352,0,0,0,0,0,0
SL1751,7,1,34,0,0,0,0,0,0
SL1752,171,8,2302,0,0,0,0,0,0
SL1753,236,4,1847,0,0,0,0,0,0
SL1754,156,1,2610,0,0,0,0,0,0
SL1755,152,1,1736,2,0,0,0,0,0
SL1756,192,2,2259,2,0,0,0,0,0
SL1757,342,1,1941,0,1,0,0,0,0
SL1758,232,1,1780,0,0,0,0,0,0
SL1759,194,2,4929,3,0,0,0,0,0
SL1760,165,0,2833,0,0,0,0,0,0
SL1761,185,5,1483,1,0,0,0,0,0
SL1762,161,5,2616,1,0,0,0,0,0
SL1763,224,7,2467,0,0,0,0,0,0
SL1764,151,1,2523,0,0,0,0,0,0
SL1765,302,1,1553,2,1,0,0,1,0
SL1766,148,5,2608,1,0,0,0,0,0
SL1767,257,1,1064,0,0,0,0,0,0
SL1768,144,7,2204,0,0,0,0,0,0
SL1769,268,6,2507,8,0,0,0,0,0
SL1770,167,7,1856,0,0,0,0,0,0
SL1771,173,8,1494,0,0,0,0,0,0
SL1772,318,5,1761,1,0,0,0,0,0
SL1773,259,1,5429,1,0,0,0,0,0
SL1774,162,0,3465,1,0,0,0,0,0
SL1775,114,9,989,0,0,0,0,0,0
SL1776,105,0,2120,0,0,0,0,0,0
SL1777,121,1,518,0,0,0,0,0,0
SL1778,137,6,2874,1,0,0,0,0,0
SL1779,277,1,2042,9,0,0,0,0,0
SL1780,155,3,1548,0,0,0,0,0,0
SL1781,221,1,1451,0,0,0,0,0,0
SL1782,95,10,1567,0,0,0,0,0,0
SL1783,151,3,1511,0,0,0,0,0,0
SL1784,31,0,1499,0,0,0,0,0,0
SL1785,148,5,1900,0,0,0,0,0,0
SL1786,225,4,1272,2,0,0,0,0,0
SL1787,168,6,1899,0,0,0,0,0,0
SL1788,158,2,2494,1,0,0,0,0,0
SL1789,139,1,2884,2,0,0,0,0,0
SL1790,140,1,2344,0,0,0,0,0,0
SL1791,120,0,2233,1,0,0,0,0,0
SL1792,212,1,3754,0,0,0,0,0,0
SL1793,504,0,2662,1,0,0,0,0,0
SL1794,225,5,2790,0,0,0,0,0,0
SL1795,246,2,2723,0,0,0,0,0,0
SL1796,145,0,3146,0,1,0,0,0,0
SL1797,214,3,1002,1,0,0,1,0,0
SL1798,298,2,1047,2,0,0,0,0,0
SL1799,175,3,2003,0,0,0,0,0,0
SL1800,122,1,713,0,0,0,0,0,0
SL1801,159,2,1587,0,0,0,0,0,0
SL1802,188,4,1897,1,0,0,0,0,0
SL1803,126,4,1180,0,0,0,0,0,0
SL1804,270,1,3144,0,0,0,0,0,0
SL1805,60,0,1206,0,0,0,0,0,0
SL1806,184,4,2568,0,0,0,0,0,0
SL1807,165,2,1640,1,0,0,0,0,0
SL1808,147,1,702,0,0,0,0,0,0
SL1809,422,0,1746,6,0,0,0,0,0
SL1810,164,2,1402,0,0,0,0,0,0
SL1811,121,0,1960,0,0,0,0,0,0
SL1812,230,0,3601,2,0,0,0,0,0
SL1813,149,4,1227,2,0,0,0,0,0
SL1814,98,2,1111,0,0,0,0,0,0
SL1815,115,8,1296,0,0,0,0,0,0
SL1816,139,3,2364,0,0,0,0,0,0
SL1817,249,1,1648,1,0,0,0,0,0
SL1818,134,9,2006,0,1,0,0,0,0
SL1819,135,1,943,0,0,0,0,0,0
SL1820,188,1,3674,1,0,0,0,0,0
SL1821,106,0,861,0,0,0,0,0,0
SL1822,135,3,630,0,0,0,0,0,0
SL1823,198,2,1038,0,0,0,0,0,0
SL1824,163,3,1253,1,0,0,0,0,0
SL1825,179,6,1253,0,0,0,0,0,0
SL1826,149,3,1515,0,0,0,0,0,0
SL1827,172,4,984,1,0,0,0,0,0
SL1828,118,0,2382,0,0,0,0,0,0
SL1829,326,4,2146,0,0,0,0,0,0
SL1830,258,4,946,1,0,0,0,0,0
SL1831,218,2,892,1,0,1,0,0,0
SL1832,296,1,1590,2,0,0,0,0,0
SL1833,458,7,1062,5,0,0,0,0,0
SL1834,275,4,1002,0,0,0,0,0,0
SL1835,398,3,3148,0,0,0,0,0,0
SL1836,99,0,1876,0,0,0,0,0,0
SL1837,387,3,1388,1,0,0,0,0,0
SL1838,334,0,1810,0,0,0,0,0,0
SL1839,75,0,1198,1,0,0,0,0,0
SL1840,350,3,1258,0,0,0,0,0,0
SL1841,490,3,2306,4,0,0,0,0,0
SL1842,130,2,1970,1,0,0,0,0,0
SL1843,294,9,2617,0,0,0,0,0,0
SL1844,231,2,3140,1,0,0,0,0,0
SL1845,234,2,2208,1,0,0,0,0,0
SL1846,216,3,1087,0,0,0,0,0,0
SL1847,301,8,975,0,0,0,0,0,0
SL1848,196,0,757,1,0,0,0,0,0
SL1849,562,0,1544,10,0,0,0,0,0
SL1850,176,7,1710,0,0,0,0,0,0
SL1851,199,3,2096,0,0,0,0,0,0
SL1852,237,1,4901,2,0,0,0,0,0
SL1853,345,5,2167,0,1,0,0,0,0
SL1854,128,4,1138,0,0,0,0,0,0
SL1855,55,0,1044,0,0,0,0,0,0
SL1856,12,1,36,0,0,0,0,0,0
SL1857,119,0,2735,0,0,0,0,0,0
SL1858,106,0,1647,0,0,0,0,0,0
SL1859,216,3,1081,0,0,0,0,0,0
SL1860,175,0,4215,1,0,0,0,0,0
SL1861,106,3,1292,0,0,0,0,0,0
SL1862,69,1,631,0,0,0,0,0,0
SL1863,299,2,1392,0,0,0,0,0,0
SL1864,221,3,1111,0,0,0,0,0,0
SL1865,443,5,1398,6,0,0,0,0,0
SL1866,159,1,1458,0,0,0,0,0,0
SL1867,168,4,1488,0,0,0,0,0,0
SL1868,206,1,1803,3,0,0,0,0,0
SL1869,144,5,1258,0,1,0,0,0,0
SL1870,168,1,508,0,0,0,0,0,0
SL1871,313,6,2843,0,0,0,0,0,0
SL1872,1,0,19,0,0,0,0,0,0
SL1873,398,1,711,5,0,0,0,0,0
SL1874,157,3,1069,0,0,0,0,0,0
SL1875,114,0,1491,0,0,0,0,0,0
SL1876,169,0,3926,3,1,1,0,0,0
SL1877,298,3,991,0,0,1,0,0,0
SL1878,238,1,734,0,0,0,0,0,0
SL1879,133,0,1079,0,0,0,0,0,0
SL1880,267,0,2708,0,3,0,0,0,0
SL1881,154,3,1867,0,0,0,0,0,0
SL1882,56,0,1152,0,0,0,0,0,0
SL1883,155,4,814,0,0,0,0,0,0
SL1884,185,4,2125,1,0,0,0,0,0
SL1885,303,3,2914,0,0,0,0,0,0
SL1886,220,0,2627,0,0,0,0,0,0
SL1887,375,1,1949,0,0,0,0,0,0
SL1888,160,2,2113,0,0,0,0,0,0
SL1889,248,8,1977,0,0,0,0,0,0
SL1890,46,0,1402,0,0,0,0,0,0
SL1891,157,1,1669,0,0,0,0,0,0
SL1892,340,2,2156,4,0,0,0,0,0
SL1893,326,0,1930,0,0,0,0,0,0
SL1894,154,1,2026,0,0,0,0,0,0
SL1895,287,1,2303,0,0,0,0,0,0
SL1896,389,1,2096,0,0,0,0,0,0
SL1897,232,3,1734,0,0,0,0,0,0
SL1898,293,8,2348,0,0,0,0,0,0
SL1899,268,1,1348,0,0,0,0,0,0
SL1900,252,5,2668,3,0,0,0,0,0
SL1901,359,3,1266,1,0,0,0,0,0
SL1902,847,1,3533,37,0,0,1,0,0
SL1903,392,2,3349,3,0,0,0,0,0
SL1904,367,9,1571,2,0,0,0,0,0
SL1905,274,5,1806,1,0,0,0,0,0
SL1906,254,5,2724,0,0,0,0,0,0
SL1907,97,4,1459,0,0,0,0,0,0
SL1908,140,8,1884,0,0,0,0,0,0
SL1909,407,2,2812,1,0,0,0,0,0
SL1910,268,2,2546,0,0,0,0,0,0
SL1911,207,0,1744,1,0,0,0,0,0
SL1912,187,3,2539,0,0,0,0,0,0
SL1913,461,1,2521,1,0,0,0,0,0
SL1914,403,4,1027,0,0,0,0,0,0
SL1915,4,0,6,0,0,0,0,0,0
SL1916,1,0,2,0,0,0,0,0,0
SL1917,218,4,2043,0,0,0,0,0,0
SL1918,294,5,1497,0,0,0,0,0,0
SL1919,220,8,1428,0,0,0,0,0,0
SL1920,294,5,2121,2,0,0,0,0,0
SL1921,307,4,1886,0,0,0,0,0,0
SL1922,288,0,4122,0,0,0,0,0,0
SL1923,247,5,3024,0,0,0,0,0,0
SL1924,163,0,4459,1,0,0,0,0,0
SL1925,233,3,1549,0,0,0,0,0,0
SL1926,149,3,1234,1,0,0,0,0,0
SL1927,144,0,1908,0,0,0,0,0,0
SL1928,170,4,1601,0,0,0,0,0,0
SL1929,220,0,4028,0,0,0,0,0,0
SL1930,138,1,1643,0,0,0,0,0,0
SL1931,145,5,2646,0,0,0,0,0,0
SL1932,156,3,812,0,0,0,0,0,0
SL1933,173,1,2022,0,0,0,0,0,0
SL1934,213,3,1858,1,0,0,0,0,0
SL1935,271,6,2833,0,0,0,0,0,0
SL1936,1,0,6,0,0,0,0,0,0
SL1937,182,2,1887,1,0,0,0,0,0
SL1938,17,0,186,0,0,0,0,0,0
SL1939,197,2,1637,0,0,0,0,0,0
SL1940,163,2,1042,0,0,0,0,0,0
SL1941,360,3,1362,2,0,0,2,0,0
SL1942,139,1,1780,2,0,0,0,0,0
SL1943,115,0,543,8,0,0,0,0,0
SL1944,283,7,3778,8,0,0,0,0,0
SL1945,186,6,1666,1,0,0,0,0,0
SL1946,167,3,1432,1,0,0,0,0,0
SL1947,190,1,2010,0,0,0,0,0,0
SL1948,226,4,1849,0,0,0,0,0,0
SL1949,228,5,1751,0,0,0,0,0,0
SL1950,181,2,898,0,0,0,0,0,0
SL1951,251,3,1714,1,0,0,0,0,0
SL1952,178,4,1245,0,0,0,0,0,0
SL1953,130,3,1917,0,0,0,0,0,0
SL1954,96,0,798,1,0,0,0,0,0
SL1955,160,2,2584,0,0,0,0,0,0
SL1956,143,3,2312,0,0,0,0,0,0
SL1957,168,8,2318,0,0,0,0,0,0
SL1958,333,3,1892,1,0,0,0,0,0
SL1959,107,2,1977,0,0,0,0,0,0
SL1960,168,4,1324,3,0,0,0,0,0
SL1961,269,1,4117,3,0,0,0,0,0
SL1962,86,1,1600,0,0,0,0,0,0
SL1963,170,4,2100,0,0,0,0,0,0
SL1964,254,2,1683,0,0,0,0,0,0
SL1965,196,0,3936,1,0,0,0,0,0
SL1966,129,0,790,0,0,0,0,0,0
SL1967,392,5,2348,2,0,0,0,0,0
SL1968,105,10,1664,0,0,0,0,0,0
SL1969,150,1,1311,0,0,0,0,0,0
SL1970,163,6,1326,1,0,0,0,0,0
SL1971,160,2,2580,0,0,0,0,0,0
SL1972,126,7,1605,0,0,0,0,0,0
SL1973,161,2,2112,0,0,0,0,0,0
SL1974,154,1,1323,1,0,1,0,0,0
SL1975,271,1,1595,2,0,0,0,0,0
SL1976,109,2,1740,0,0,0,0,0,0
SL1977,325,5,3161,2,0,0,0,0,0
SL1978,211,8,2567,1,0,0,0,0,0
SL1979,166,2,1191,0,0,0,0,0,0
SL1980,231,2,2076,0,0,0,0,0,0
SL1981,251,4,2086,0,0,0,0,0,0
SL1982,235,3,2438,0,0,0,0,0,0
SL1983,102,0,334,0,0,0,0,0,0
SL1984,64,2,2874,1,0,0,0,0,0
SL1985,111,1,760,0,0,0,0,0,0
SL1986,144,4,1396,1,0,0,0,0,0
SL1987,122,4,2352,1,0,0,0,0,0
SL1988,253,0,455,0,0,0,0,0,0
SL1989,298,3,3006,0,0,0,0,0,0
SL1990,154,11,1885,0,0,0,0,0,0
SL1991,189,4,1715,0,0,0,0,0,0
SL1992,178,4,1063,1,0,0,0,0,0
