OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV99	Viridiplantae	Anthophyta	Eudicotyledonae	Proteales	Platanaceae	Platanus	Platanus gentryi
ASV100	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	NA
ASV101	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Sclerostagonospora	Sclerostagonospora cycadis
ASV102	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium floriforme
ASV103	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV104	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium wieringae
ASV105	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV106	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Pseudocercospora	NA
ASV108	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	Acremonium	Acremonium citrinum
ASV109	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	NA
ASV110	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Gnomoniaceae	Apiognomonia	NA
ASV111	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Neocucurbitaria	Neocucurbitaria salicis-albae
ASV112	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
ASV113	Fungi	NA	NA	NA	NA	NA	NA
ASV114	Fungi	Basidiobolomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	Basidiobolus ranarum
ASV115	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae	Bacidina	Bacidina ramea
ASV116	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium pulvericola
ASV117	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium aphidis
ASV118	Fungi	Ascomycota	Sordariomycetes	Microascales	Graphiaceae	Graphium	Graphium jumulu
ASV119	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Pyriculariaceae	Pyricularia	Pyricularia caricis
ASV120	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV121	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	NA
ASV122	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothideaceae	Endoconidioma	Endoconidioma populi
ASV123	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium cladosporioides
ASV124	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	NA
ASV125	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV126	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	NA	NA	NA
ASV127	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
ASV128	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
ASV129	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	NA
ASV130	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV131	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV132	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
ASV133	Fungi	Ascomycota	Lichinomycetes	Lichinales	Peltulaceae	Peltula	Peltula radicata
ASV134	Fungi	Ascomycota	Lichinomycetes	Lichinales	Lichinaceae	Peccania	Peccania terricola
ASV135	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV136	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV137	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV138	Fungi	Ascomycota	Sordariomycetes	Togniniales	Togniniaceae	Phaeoacremonium	NA
ASV139	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae	Bacidina	Bacidina ramea
ASV140	Fungi	Basidiomycota	Atractiellomycetes	Atractiellales	NA	NA	NA
ASV141	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV142	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae	Bacidina	Bacidina ramea
ASV143	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	NA	NA	NA
ASV144	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV145	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV146	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
ASV148	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV149	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV150	Fungi	Ascomycota	Sordariomycetes	Hypocreales	NA	NA	NA
ASV151	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria chlamydosporigena
ASV152	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV153	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria eureka
ASV154	Fungi	NA	NA	NA	NA	NA	NA
ASV155	Fungi	Basidiomycota	Microbotryomycetes	NA	NA	Curvibasidium	Curvibasidium nothofagi
ASV156	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Ramularia	NA
ASV157	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Ilyonectria liriodendri
ASV158	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV159	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV160	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV161	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV162	Fungi	Ascomycota	Sordariomycetes	Conioscyphales	Conioscyphaceae	Conioscypha	NA
ASV163	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Nectriopsis	NA
ASV164	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV165	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Zygosporium	Zygosporium masonii
ASV166	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	NA	NA
ASV167	Fungi	Ascomycota	Lecanoromycetes	Lecideales	Lecideaceae	Lecidea	NA
ASV168	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV169	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV170	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV171	Fungi	Ascomycota	Sordariomycetes	Pleurotheciales	Pleurotheciaceae	Phaeoisaria	Phaeoisaria clematidis
ASV172	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleraceae	Pseudotremella	Pseudotremella moriformis
ASV173	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	NA	NA
ASV174	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Diaporthe brasiliensis
ASV175	Fungi	Ascomycota	Dothideomycetes	Capnodiales	NA	NA	NA
ASV176	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium velox
ASV177	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV178	Fungi	NA	NA	NA	NA	NA	NA
ASV179	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Toxicocladosporium	Toxicocladosporium glendoranum
ASV180	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera	Cyberlindnera jadinii
ASV181	Fungi	Ascomycota	Sordariomycetes	Togniniales	Togniniaceae	Phaeoacremonium	NA
ASV182	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV183	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV184	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV185	Fungi	Ascomycota	Sordariomycetes	NA	NA	NA	NA
ASV186	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Neodevriesiaceae	Neodevriesia	NA
ASV187	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV188	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Libertasomycetaceae	Libertasomyces	Libertasomyces platani
ASV189	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV190	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV191	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Eucasphaeria	Eucasphaeria capensis
ASV192	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV193	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV194	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV196	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Pseudocamarosporium	Pseudocamarosporium africanum
ASV197	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	NA	NA
ASV198	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
ASV199	Fungi	Ascomycota	Sordariomycetes	Xylariales	Apiosporaceae	NA	NA
ASV200	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	NA	NA
ASV202	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
ASV203	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV204	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Neosetophoma	Neosetophoma italica
ASV205	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium mali
ASV206	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
ASV207	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
ASV208	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV209	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	NA
ASV210	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	NA
ASV211	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Clarireedia	Clarireedia bennettii
ASV212	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Leptosphaerulina	Leptosphaerulina australis
ASV213	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	NA
ASV214	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV215	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	NA	NA
ASV216	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Stagonospora	NA
ASV217	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV218	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phomatodes	NA
ASV219	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV220	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Neocucurbitaria	Neocucurbitaria salicis-albae
ASV221	Fungi	NA	NA	NA	NA	NA	NA
ASV222	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV223	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV224	Fungi	Ascomycota	Sordariomycetes	Togniniales	Togniniaceae	Phaeoacremonium	Phaeoacremonium viticola
ASV225	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV226	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium pulvericola
ASV227	Fungi	Ascomycota	Sordariomycetes	Pleurotheciales	Pleurotheciaceae	Phaeoisaria	NA
ASV228	Fungi	NA	NA	NA	NA	NA	NA
ASV229	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Thyrostroma	Thyrostroma cornicola
ASV230	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	NA	Candida	Candida tropicalis
ASV231	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Stemphylium	Stemphylium vesicarium
ASV232	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	NA	NA
ASV233	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	Neofusicoccum parvum
ASV234	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV235	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV236	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Tausonia	Tausonia pullulans
ASV237	Fungi	NA	NA	NA	NA	NA	NA
ASV238	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Lapidomyces	Lapidomyces stipagrostidicola
ASV239	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV241	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Neodidymelliopsis	Neodidymelliopsis ranunculi
ASV242	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium brevicompactum
ASV243	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	NA
ASV244	Fungi	NA	NA	NA	NA	NA	NA
ASV245	Fungi	Basidiomycota	Tremellomycetes	Tremellales	NA	Cuniculitrema	Cuniculitrema polymorpha
ASV246	Fungi	NA	NA	NA	NA	NA	NA
ASV247	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula araucariae
ASV248	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
ASV249	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita exitialis
ASV250	Fungi	Ascomycota	Dothideomycetes	Dothideales	Dothioraceae	Hormonema	Hormonema viticola
ASV251	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	NA
ASV252	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV253	Fungi	Ascomycota	Dothideomycetes	Bezerromycetales	Bezerromycetaceae	Bezerromyces	NA
ASV254	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
ASV255	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Elasticomyces	Elasticomyces elasticus
ASV256	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	NA	NA	NA
ASV257	NA	NA	NA	NA	NA	NA	NA
ASV258	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Thermoascaceae	Byssochlamys	NA
ASV259	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Populocrescentia	Populocrescentia forlicesenensis
ASV260	Fungi	NA	NA	NA	NA	NA	NA
ASV261	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV262	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia fleischhakii
ASV263	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Thelebolaceae	NA	NA
ASV264	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	NA
ASV265	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Dothiorella	Dothiorella iberica
ASV266	Fungi	Ascomycota	NA	NA	NA	NA	NA
ASV267	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	NA
ASV268	NA	NA	NA	NA	NA	NA	NA
ASV269	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Piskurozyma	Piskurozyma capsuligena
