OTU	ASVs
*	ASV13007, ASV14018
OTU1	ASV18, ASV213, ASV1048, ASV1328, ASV2321, ASV5570, ASV9959, ASV10937, ASV12112, ASV12783, ASV13286, ASV13669, ASV14242, ASV15140, ASV18553, ASV20295
OTU2	ASV1, ASV4, ASV123, ASV109, ASV529, ASV545, ASV557, ASV555, ASV665, ASV702, ASV1035, ASV1157, ASV1413, ASV1717, ASV2724, ASV2778, ASV2984, ASV3086, ASV3236, ASV3291, ASV3408, ASV3404, ASV3460, ASV3472, ASV4049, ASV4661, ASV5285, ASV5473, ASV5754, ASV5813, ASV5815, ASV6444, ASV6453, ASV6614, ASV6958, ASV7137, ASV7418, ASV7522, ASV7688, ASV8820, ASV8967, ASV9001, ASV9428, ASV9436, ASV9484, ASV9996, ASV10083, ASV10115, ASV10202, ASV10501, ASV10672, ASV11078, ASV11430, ASV11877, ASV11928, ASV12005, ASV12139, ASV12462, ASV12591, ASV13391, ASV13511, ASV13626, ASV13656, ASV14629, ASV15289
OTU3	ASV20, ASV15, ASV93, ASV97, ASV333, ASV4442, ASV6809, ASV7677, ASV9434, ASV10505, ASV11762, ASV11953, ASV12104, ASV12645, ASV13015, ASV15043, ASV16409, ASV17662
OTU4	ASV12, ASV441, ASV480, ASV1436, ASV10044, ASV17520, ASV19739
OTU5	ASV11, ASV509, ASV705, ASV692, ASV730, ASV757, ASV814, ASV895, ASV938, ASV966, ASV987, ASV1003, ASV1001, ASV1098, ASV1094, ASV1190, ASV1202, ASV1220, ASV1291, ASV1333, ASV1365, ASV1439, ASV1619, ASV1666, ASV2109, ASV2295, ASV2297, ASV2320, ASV2317, ASV2366, ASV2381, ASV2395, ASV2400, ASV2442, ASV2486, ASV2487, ASV2527, ASV2540, ASV2591, ASV2750, ASV2728, ASV2804, ASV2787, ASV2913, ASV2999, ASV3045, ASV3077, ASV3107, ASV3367, ASV3497, ASV3515, ASV3572, ASV3603, ASV3688, ASV3729, ASV3767, ASV3776, ASV3751, ASV3864, ASV3901, ASV3961, ASV4023, ASV4084, ASV4159, ASV4176, ASV4153, ASV4227, ASV4268, ASV4229, ASV4296, ASV4295, ASV4366, ASV4336, ASV4399, ASV4443, ASV4521, ASV4588, ASV4680, ASV4702, ASV4809, ASV4869, ASV4928, ASV5001, ASV5168, ASV5193, ASV5445, ASV5484, ASV5531, ASV5568, ASV5659, ASV5675, ASV5649, ASV5713, ASV5691, ASV5761, ASV5782, ASV5888, ASV5947, ASV6058, ASV6116, ASV6139, ASV6323, ASV6324, ASV6327, ASV6364, ASV6427, ASV6448, ASV6463, ASV6442, ASV6609, ASV6649, ASV6689, ASV6682, ASV6847, ASV6897, ASV7033, ASV7131, ASV7157, ASV7206, ASV7309, ASV7276, ASV7335, ASV7573, ASV7582, ASV7574, ASV7600, ASV7668, ASV7756, ASV7761, ASV7854, ASV7867, ASV7896, ASV7848, ASV7899, ASV7891, ASV7926, ASV7966, ASV8007, ASV8084, ASV8144, ASV8214, ASV8265, ASV8270, ASV8290, ASV8384, ASV8369, ASV8445, ASV8553, ASV8554, ASV8552, ASV8752, ASV8889, ASV9041, ASV9083, ASV9085, ASV9250, ASV9256, ASV9381, ASV9383, ASV9382, ASV9454, ASV9644, ASV9659, ASV9797, ASV9794, ASV9846, ASV10070, ASV10084, ASV10183, ASV10225, ASV10324, ASV10367, ASV10637, ASV10714, ASV10836, ASV10903, ASV10938, ASV11023, ASV11028, ASV11063, ASV11044, ASV11295, ASV11296, ASV11383, ASV11435, ASV11485, ASV11490, ASV11580, ASV11677, ASV11706, ASV11755, ASV12082, ASV12161, ASV12358, ASV12345, ASV12351, ASV12405, ASV12406, ASV12476, ASV12465, ASV12486, ASV12551, ASV12994, ASV13062, ASV13055, ASV13203, ASV13215, ASV13349, ASV13502, ASV13509, ASV13570, ASV13584, ASV13620, ASV13625, ASV13604, ASV13621, ASV13717, ASV13788, ASV13963, ASV13924, ASV14005, ASV14215, ASV14313, ASV14374, ASV14383, ASV14372, ASV14373, ASV14706, ASV14700, ASV14714, ASV14805, ASV14830, ASV14822, ASV15064, ASV15069, ASV15196, ASV15197, ASV15266, ASV15277, ASV15411, ASV15405, ASV15416, ASV15480, ASV15487, ASV15601, ASV15600, ASV15673, ASV16055, ASV16121, ASV16144, ASV16153, ASV16146, ASV16157, ASV16141, ASV16145, ASV16158, ASV16293, ASV16303, ASV16382, ASV16388, ASV16449, ASV16424, ASV16533, ASV16542, ASV16568, ASV16799, ASV16891, ASV17120, ASV17166, ASV17184, ASV17149, ASV17209, ASV17353, ASV17682, ASV17727, ASV18063, ASV18225, ASV18301, ASV18560, ASV18973, ASV19220, ASV19645, ASV19791, ASV20072
OTU6	ASV3, ASV103, ASV169, ASV293, ASV633, ASV767, ASV942, ASV1063, ASV1734, ASV2683, ASV3494, ASV3502, ASV3949, ASV4544, ASV5198, ASV5676, ASV5943, ASV5968, ASV6131, ASV6490, ASV6753, ASV6926, ASV7502, ASV7916, ASV8476, ASV8751, ASV9146, ASV9217, ASV9207, ASV9283, ASV9701, ASV9871, ASV9987, ASV10137, ASV10288, ASV10399, ASV10503, ASV10686, ASV11599, ASV11673, ASV11817, ASV11985, ASV12208, ASV12344, ASV12747, ASV12815, ASV13061, ASV13051, ASV13515, ASV13642, ASV13681, ASV13671, ASV14630, ASV14662, ASV14804, ASV15181, ASV15932, ASV16657, ASV18668
OTU7	ASV32, ASV82, ASV329, ASV406, ASV449, ASV1353, ASV1428, ASV2346, ASV2377, ASV3760, ASV9998, ASV10004, ASV12252, ASV13338, ASV13887, ASV14664, ASV15562, ASV15974, ASV16177, ASV19447
OTU8	ASV22, ASV116, ASV226, ASV770, ASV1130, ASV6534, ASV6867, ASV7876, ASV8342, ASV9697, ASV10766, ASV13889, ASV14003, ASV14330, ASV15748, ASV19571, ASV20246
OTU9	ASV9, ASV70, ASV419, ASV4235, ASV4899, ASV6208, ASV7287, ASV7961, ASV11073, ASV18474
