OTU	ASVs
OTU10	ASV16, ASV1065, ASV2196, ASV18941
OTU11	ASV24, ASV7, ASV534, ASV2284, ASV3279, ASV4933, ASV8913, ASV12758, ASV13678, ASV14291, ASV15375, ASV15413, ASV17203
OTU12	ASV17, ASV6996, ASV19856, ASV20201
OTU13	ASV33, ASV637, ASV1072, ASV1100, ASV1186, ASV1516, ASV1501, ASV1513, ASV1638, ASV1664, ASV1705, ASV1689, ASV1731, ASV1716, ASV1741, ASV1761, ASV1784, ASV1806, ASV1850, ASV1857, ASV1863, ASV1872, ASV1902, ASV1952, ASV2126, ASV2190, ASV2274, ASV2335, ASV2363, ASV2458, ASV2469, ASV2490, ASV2664, ASV2730, ASV2777, ASV2985, ASV3103, ASV3214, ASV3258, ASV3377, ASV3421, ASV3652, ASV3943, ASV3924, ASV4025, ASV4818, ASV4939, ASV4992, ASV5471, ASV5915, ASV6101, ASV6433, ASV6475, ASV7059, ASV7182, ASV7481, ASV7675, ASV7743, ASV8019, ASV8018, ASV8461, ASV8562, ASV8613, ASV9054, ASV9053, ASV9140, ASV9310, ASV9491, ASV9759, ASV9858, ASV10075, ASV10491, ASV10585, ASV10866, ASV11066, ASV11094, ASV11859, ASV12099, ASV12442, ASV12456, ASV12776, ASV12847, ASV13078, ASV13296, ASV13852, ASV13967, ASV14082, ASV14235, ASV14657, ASV14788, ASV14947, ASV14963, ASV15018, ASV15311, ASV15734, ASV17082, ASV18208, ASV19234, ASV20196, ASV20252, ASV20385
OTU14	ASV28, ASV6998, ASV8990, ASV9317, ASV19177
OTU15	ASV36, ASV398, ASV9698, ASV15193, ASV19135
OTU16	ASV14, ASV13, ASV52, ASV289, ASV362, ASV375, ASV461, ASV467, ASV676, ASV720, ASV708, ASV970, ASV1812, ASV2198, ASV3944, ASV4499, ASV5431, ASV6602, ASV6813, ASV8411, ASV9521, ASV10592, ASV10974, ASV16921, ASV17945, ASV18887, ASV19254
OTU17	ASV35, ASV31, ASV1343, ASV1954, ASV2060, ASV3415, ASV3496, ASV6973, ASV8786, ASV8871, ASV12716, ASV14133, ASV18889
OTU18	ASV34, ASV366, ASV1151, ASV2652, ASV3740, ASV5272, ASV10052, ASV11217, ASV11814, ASV19282, ASV20820
OTU19	ASV23, ASV42, ASV7912, ASV15676, ASV16772, ASV17802, ASV18367, ASV18736, ASV20450, ASV20592, ASV21149
OTU20	ASV21, ASV182, ASV1348, ASV7971, ASV13021, ASV20279, ASV21291
OTU21	ASV40, ASV599, ASV2071, ASV3667, ASV5238, ASV6119, ASV10193, ASV10249, ASV12328, ASV17723, ASV17862
OTU22	ASV10, ASV515, ASV775, ASV919, ASV1251, ASV5867, ASV8850, ASV11135, ASV12635, ASV15941, ASV16188, ASV18972
OTU23	ASV37, ASV83, ASV99, ASV1103, ASV1631, ASV4202, ASV6967, ASV8240, ASV8463, ASV9483, ASV9574, ASV10353, ASV11465, ASV11967, ASV12424, ASV13840, ASV13964, ASV15086, ASV17216, ASV17655, ASV18956, ASV19786, ASV20021, ASV20312, ASV20683, ASV21085, ASV21455
OTU24	ASV26, ASV421, ASV878, ASV1369, ASV1559, ASV1572, ASV1597, ASV1742, ASV1783, ASV1878, ASV2152, ASV2236, ASV2351, ASV2443, ASV2525, ASV2572, ASV2586, ASV2605, ASV2618, ASV2682, ASV2842, ASV2991, ASV3007, ASV3145, ASV3200, ASV3239, ASV3441, ASV3627, ASV3814, ASV3815, ASV3849, ASV3927, ASV4158, ASV4234, ASV4186, ASV4260, ASV4293, ASV4354, ASV4417, ASV4416, ASV4456, ASV4480, ASV4553, ASV4609, ASV4659, ASV4785, ASV4866, ASV5114, ASV5171, ASV5334, ASV5325, ASV5407, ASV5454, ASV5715, ASV5717, ASV5697, ASV5744, ASV5860, ASV6013, ASV6319, ASV6382, ASV6440, ASV6548, ASV6601, ASV6679, ASV6730, ASV6854, ASV6808, ASV6864, ASV6981, ASV7056, ASV7125, ASV7303, ASV7480, ASV7640, ASV7959, ASV8483, ASV8493, ASV8719, ASV8765, ASV8973, ASV9692, ASV10156, ASV10405, ASV10718, ASV10888, ASV11081, ASV11168, ASV11254, ASV11531, ASV11527, ASV11640, ASV11883, ASV11888, ASV11938, ASV12074, ASV12096, ASV12219, ASV12837, ASV12971, ASV13292, ASV13738, ASV14488, ASV16716, ASV16918, ASV17599, ASV18365, ASV18313, ASV18925, ASV20491
OTU25	ASV39, ASV126, ASV256, ASV944, ASV981, ASV1232, ASV1199, ASV1655, ASV1855, ASV1886, ASV2248, ASV2312, ASV2311, ASV2359, ASV2507, ASV2510, ASV2549, ASV2681, ASV2843, ASV2875, ASV3009, ASV3176, ASV3199, ASV3424, ASV3716, ASV3876, ASV3991, ASV4139, ASV4157, ASV4164, ASV4380, ASV4422, ASV4522, ASV4479, ASV4688, ASV4724, ASV4796, ASV4831, ASV4832, ASV4898, ASV4944, ASV5256, ASV5645, ASV5716, ASV5909, ASV6045, ASV6149, ASV6246, ASV6537, ASV6751, ASV6811, ASV6865, ASV6863, ASV7283, ASV7425, ASV7624, ASV7888, ASV8020, ASV8053, ASV8261, ASV8482, ASV8540, ASV8539, ASV8884, ASV9495, ASV9786, ASV9802, ASV9883, ASV10077, ASV10100, ASV10174, ASV10271, ASV10362, ASV10472, ASV10671, ASV10772, ASV11355, ASV11402, ASV11767, ASV11952, ASV12067, ASV12119, ASV12507, ASV12849, ASV13235, ASV13255, ASV13553, ASV13744, ASV14029, ASV14320, ASV14559, ASV14582, ASV14556, ASV14644, ASV14758, ASV15841, ASV15950, ASV15957, ASV16162, ASV16431, ASV17133, ASV17504, ASV18438, ASV19103, ASV19246, ASV19529, ASV20509
OTU26	ASV38, ASV1171, ASV4704, ASV8093, ASV19266
OTU27	ASV30, ASV617, ASV1324, ASV8895, ASV8886, ASV9135, ASV10195, ASV13094, ASV14398, ASV14494, ASV14874, ASV20472
OTU28	ASV5, ASV483, ASV519, ASV536, ASV551, ASV621, ASV618, ASV653, ASV650, ASV758, ASV746, ASV820, ASV834, ASV849, ASV851, ASV836, ASV848, ASV892, ASV862, ASV884, ASV941, ASV958, ASV916, ASV1013, ASV1029, ASV1027, ASV1039, ASV1050, ASV1038, ASV1044, ASV1089, ASV1115, ASV1120, ASV1117, ASV1093, ASV1142, ASV1223, ASV1222, ASV1240, ASV1270, ASV1303, ASV1285, ASV1374, ASV1430, ASV1418, ASV1419, ASV1485, ASV1487, ASV1507, ASV1528, ASV1558, ASV1556, ASV1653, ASV1703, ASV1706, ASV1684, ASV1757, ASV1791, ASV1780, ASV1728, ASV1831, ASV1971, ASV2036, ASV2064, ASV2096, ASV2134, ASV2158, ASV2167, ASV2218, ASV2217, ASV2219, ASV2208, ASV2330, ASV2319, ASV2369, ASV2406, ASV2464, ASV2465, ASV2489, ASV2538, ASV2547, ASV2604, ASV2611, ASV2613, ASV2704, ASV2729, ASV2841, ASV2894, ASV2982, ASV3014, ASV3016, ASV3018, ASV3038, ASV3037, ASV3120, ASV3182, ASV3209, ASV3256, ASV3458, ASV3457, ASV3439, ASV3526, ASV3541, ASV3518, ASV3552, ASV3631, ASV3663, ASV3681, ASV3741, ASV3783, ASV3889, ASV4015, ASV4072, ASV4105, ASV4085, ASV4104, ASV4180, ASV4258, ASV4311, ASV4323, ASV4378, ASV4462, ASV4467, ASV4757, ASV5106, ASV5105, ASV5190, ASV5235, ASV5253, ASV5274, ASV5293, ASV5439, ASV5497, ASV5536, ASV5600, ASV5624, ASV5859, ASV5938, ASV5980, ASV5967, ASV6012, ASV6080, ASV6256, ASV6241, ASV6326, ASV6301, ASV6325, ASV6468, ASV6501, ASV6447, ASV6553, ASV6552, ASV6556, ASV6651, ASV6709, ASV6786, ASV6816, ASV7063, ASV7061, ASV7085, ASV7272, ASV7248, ASV7246, ASV7387, ASV7386, ASV7398, ASV7464, ASV7538, ASV7547, ASV7607, ASV7739, ASV7826, ASV7803, ASV7924, ASV8223, ASV8267, ASV8379, ASV8344, ASV8517, ASV8605, ASV8818, ASV9043, ASV9122, ASV9172, ASV9218, ASV9248, ASV9429, ASV9458, ASV9515, ASV9477, ASV9561, ASV9661, ASV9835, ASV10451, ASV10556, ASV10805, ASV10956, ASV11119, ASV11169, ASV11173, ASV11194, ASV11195, ASV11238, ASV11304, ASV11386, ASV11511, ASV11570, ASV11830, ASV12039, ASV12053, ASV12045, ASV12212, ASV12276, ASV12237, ASV12418, ASV12686, ASV12826, ASV12929, ASV13074, ASV13077, ASV13209, ASV13290, ASV13346, ASV13429, ASV13437, ASV13580, ASV13645, ASV13783, ASV13790, ASV13784, ASV13803, ASV13802, ASV13921, ASV13930, ASV13925, ASV13937, ASV14063, ASV14147, ASV14905, ASV14978, ASV15070, ASV15074, ASV15199, ASV15368, ASV15712, ASV15726, ASV15822, ASV15916, ASV16161, ASV16389, ASV16558, ASV16659, ASV16792, ASV16997, ASV17460, ASV17722, ASV17877
OTU29	ASV6, ASV19, ASV58, ASV277, ASV257, ASV342, ASV577, ASV682, ASV655, ASV986, ASV1214, ASV1979, ASV2858, ASV4142, ASV4448, ASV4447, ASV5082, ASV5205, ASV5687, ASV6611, ASV6747, ASV7054, ASV7344, ASV7475, ASV7967, ASV9437, ASV9550, ASV9895, ASV9927, ASV10365, ASV10890, ASV10975, ASV11353, ASV11370, ASV12079, ASV12368, ASV12889, ASV13488, ASV13870, ASV17167, ASV17441, ASV17929, ASV18025, ASV18033, ASV18373, ASV18582, ASV20774, ASV20933
OTU30	ASV57, ASV100, ASV314, ASV573, ASV611, ASV663, ASV711, ASV755, ASV760, ASV859, ASV888, ASV1589, ASV1884, ASV2914, ASV2961, ASV3321, ASV3492, ASV3703, ASV3788, ASV3795, ASV3846, ASV3855, ASV4231, ASV4628, ASV5121, ASV5594, ASV6242, ASV6564, ASV6733, ASV6841, ASV6929, ASV7508, ASV7733, ASV7872, ASV8048, ASV8996, ASV9230, ASV9431, ASV9872, ASV9986, ASV10145, ASV10268, ASV10305, ASV10368, ASV10595, ASV10777, ASV10965, ASV11380, ASV11823, ASV11974, ASV12346, ASV13022, ASV13103, ASV13873, ASV14479, ASV14574, ASV14875, ASV15543, ASV16102, ASV16300, ASV16630, ASV17180, ASV17487, ASV18333, ASV18933, ASV20369, ASV20406, ASV20457, ASV20586, ASV20944
OTU31	ASV41, ASV204, ASV326, ASV2005, ASV9569, ASV13745, ASV19425, ASV20657, ASV20883
OTU32	ASV48, ASV155, ASV354, ASV568, ASV1350, ASV8322, ASV16125, ASV17971, ASV20590, ASV20899
OTU33	ASV44, ASV2598, ASV16395, ASV20964
OTU34	ASV45, ASV527, ASV661, ASV871, ASV955, ASV1319, ASV3761, ASV4178, ASV9228, ASV9992, ASV11264, ASV16160, ASV17468, ASV19411
OTU35	ASV54, ASV231, ASV1033, ASV4536, ASV9181, ASV10406, ASV16320, ASV19151, ASV20012, ASV20071
OTU36	ASV53, ASV1219, ASV7271, ASV18273
OTU37	ASV46, ASV7005, ASV13781, ASV13912, ASV17221, ASV18471, ASV19703
OTU38	ASV43, ASV2281, ASV9227, ASV10235, ASV12258, ASV14267
OTU39	ASV25, ASV60, ASV105, ASV120, ASV183, ASV208, ASV177, ASV184, ASV267, ASV327, ASV328, ASV344, ASV396, ASV391, ASV471, ASV511, ASV562, ASV608, ASV684, ASV686, ASV752, ASV772, ASV790, ASV783, ASV865, ASV1004, ASV1101, ASV1067, ASV1180, ASV1147, ASV1226, ASV1339, ASV1422, ASV1524, ASV1546, ASV1598, ASV1644, ASV1698, ASV1725, ASV1950, ASV2255, ASV2459, ASV2606, ASV2649, ASV2629, ASV2701, ASV2812, ASV2839, ASV2970, ASV3500, ASV3812, ASV4047, ASV4109, ASV4383, ASV4426, ASV4455, ASV4606, ASV4759, ASV5086, ASV5115, ASV5417, ASV5660, ASV5705, ASV5902, ASV6155, ASV6332, ASV6628, ASV6771, ASV6817, ASV6972, ASV7064, ASV7103, ASV7476, ASV7579, ASV7565, ASV7823, ASV7947, ASV8232, ASV8407, ASV8730, ASV9075, ASV9094, ASV9088, ASV9350, ASV9481, ASV9505, ASV9669, ASV9711, ASV9670, ASV9800, ASV9789, ASV9863, ASV10023, ASV10294, ASV10336, ASV10379, ASV10484, ASV10561, ASV11112, ASV11270, ASV11404, ASV11473, ASV12310, ASV12309, ASV12618, ASV12647, ASV12653, ASV12709, ASV12842, ASV13458, ASV13736, ASV13984, ASV13996, ASV14064, ASV14176, ASV14234, ASV14332, ASV14333, ASV14517, ASV14598, ASV14691, ASV14824, ASV14910, ASV15030, ASV15031, ASV15051, ASV15523, ASV15687, ASV15894, ASV15923, ASV15997, ASV16454, ASV16606, ASV17266, ASV17506, ASV18005, ASV18116, ASV18562, ASV20742
OTU40	ASV27, ASV361, ASV418, ASV572, ASV8386, ASV14732, ASV15684, ASV20815, ASV20874
OTU41	ASV50, ASV122, ASV492, ASV646, ASV2478, ASV6041, ASV12913, ASV14399, ASV14879, ASV15273, ASV15452, ASV16142, ASV17212, ASV17302, ASV18617, ASV19300, ASV19589, ASV20669
OTU42	ASV47, ASV238, ASV425, ASV669, ASV672, ASV671, ASV5861, ASV6536, ASV8143, ASV11783
OTU43	ASV63, ASV6496, ASV9252, ASV15333, ASV15514, ASV18907, ASV19543, ASV20378
OTU44	ASV51, ASV19698, ASV20554
OTU45	ASV76, ASV104, ASV468, ASV7617, ASV11223, ASV11266, ASV16357, ASV16699, ASV20251
OTU46	ASV73, ASV197, ASV761, ASV13602, ASV16062, ASV19733, ASV20052, ASV21036
OTU47	ASV56, ASV16384, ASV18032
OTU48	ASV71, ASV5244, ASV10220, ASV16586, ASV17865, ASV20792
OTU49	ASV85, ASV272, ASV1969, ASV7405, ASV12700, ASV14025, ASV14525, ASV17476, ASV17868, ASV19247
OTU50	ASV78, ASV735, ASV776, ASV774, ASV839, ASV932, ASV1156, ASV1481, ASV1496, ASV2212, ASV2275, ASV2290, ASV2310, ASV3121, ASV3848, ASV4381, ASV4764, ASV5551, ASV6209, ASV6359, ASV7427, ASV7762, ASV7862, ASV8408, ASV9405, ASV10057, ASV10402, ASV10499, ASV10677, ASV10994, ASV11522, ASV11507, ASV12904, ASV12969, ASV13126, ASV13297, ASV13446, ASV13445, ASV13536, ASV13759, ASV14230, ASV14270, ASV14354, ASV14440, ASV14645, ASV14810, ASV15428, ASV16312, ASV16308, ASV16624, ASV17325, ASV18043, ASV18523, ASV18938, ASV18937, ASV19599, ASV20896, ASV21334, ASV21417
OTU51	ASV65, ASV997, ASV2424, ASV2910, ASV3968, ASV10685, ASV13868, ASV14886, ASV19993, ASV21027
OTU52	ASV75, ASV15335, ASV15504, ASV19699
OTU53	ASV72, ASV12504
OTU54	ASV79, ASV114, ASV1537, ASV2358, ASV2956, ASV3266, ASV3468, ASV3474, ASV3461, ASV3834, ASV3937, ASV4042, ASV4149, ASV4239, ASV4451, ASV4478, ASV4603, ASV5354, ASV5528, ASV6240, ASV6214, ASV6586, ASV7716, ASV7850, ASV8148, ASV8202, ASV8288, ASV8842, ASV8958, ASV9649, ASV10206, ASV10302, ASV10545, ASV10749, ASV10901, ASV11049, ASV11118, ASV11302, ASV11405, ASV11834, ASV12286, ASV12383, ASV12579, ASV12936, ASV13328, ASV13765, ASV14139, ASV14152, ASV14375, ASV14713, ASV16702, ASV17525, ASV18393, ASV19108, ASV19794, ASV20033, ASV20284, ASV20343, ASV21287
OTU55	ASV62
OTU56	ASV64, ASV341, ASV857, ASV2751, ASV20051
OTU57	ASV55, ASV125, ASV304, ASV3978, ASV19520, ASV20809
OTU58	ASV84, ASV148, ASV283, ASV387, ASV407, ASV437, ASV652, ASV828, ASV943, ASV945, ASV2267, ASV6971, ASV8643, ASV8686, ASV9008, ASV9261, ASV9260, ASV9525, ASV9635, ASV9974, ASV10811, ASV11410, ASV12434, ASV12588, ASV13595, ASV14014, ASV14402, ASV15000, ASV15024, ASV15156, ASV16865, ASV17853, ASV18514, ASV21061
OTU59	ASV61, ASV190, ASV275, ASV747, ASV1483, ASV8556, ASV21028, ASV21369
OTU60	ASV88, ASV6247, ASV18303, ASV19239
OTU61	ASV74, ASV1133, ASV12789, ASV19691, ASV20584
OTU62	ASV94, ASV589, ASV1014, ASV5736, ASV6295, ASV7023, ASV9585, ASV11467, ASV11756, ASV12569, ASV13177, ASV13816, ASV15073, ASV17107, ASV17193, ASV18288, ASV20603
OTU63	ASV49, ASV1137, ASV1342, ASV1356, ASV1362, ASV1489, ASV1579, ASV1614, ASV1922, ASV1977, ASV2070, ASV2375, ASV2421, ASV2455, ASV2505, ASV2568, ASV2710, ASV3008, ASV3023, ASV3573, ASV3683, ASV4591, ASV4932, ASV5164, ASV5642, ASV7181, ASV7280, ASV8182, ASV8193, ASV8258, ASV8325, ASV8366, ASV8496, ASV8536, ASV8629, ASV8733, ASV8821, ASV8987, ASV8998, ASV9432, ASV9616, ASV10917, ASV11067, ASV11121, ASV11356, ASV11639, ASV11777, ASV11897, ASV12221, ASV12257, ASV13259, ASV13540, ASV13726, ASV14231, ASV14255, ASV15221, ASV15462, ASV15535, ASV17362, ASV17903, ASV18865, ASV19502, ASV20230, ASV20546, ASV20766
OTU64	ASV89, ASV159, ASV187, ASV324, ASV473, ASV584, ASV1023, ASV1099, ASV2347, ASV2641, ASV4629, ASV5142, ASV5337, ASV5452, ASV6269, ASV6687, ASV7422, ASV8273, ASV8241, ASV9361, ASV9572, ASV9783, ASV9957, ASV10377, ASV10725, ASV10922, ASV11011, ASV11331, ASV11505, ASV11533, ASV11577, ASV11614, ASV11588, ASV11758, ASV12055, ASV12340, ASV12469, ASV12606, ASV12957, ASV13562, ASV13603, ASV14009, ASV14206, ASV14606, ASV14765, ASV15435, ASV15459, ASV15906, ASV15936, ASV16167, ASV16201, ASV16318, ASV16882, ASV17280, ASV18831, ASV19423
OTU65	ASV67, ASV385, ASV740, ASV781, ASV6212, ASV8324, ASV13941, ASV20961, ASV21124
OTU66	ASV59, ASV265, ASV4617, ASV18414
OTU67	ASV68, ASV164, ASV833, ASV1477, ASV1696, ASV1764, ASV2544, ASV3917, ASV5336, ASV5510, ASV7093, ASV8152, ASV9850, ASV9982, ASV10222, ASV10245, ASV10646, ASV10896, ASV11586, ASV11732, ASV11746, ASV12043, ASV12348, ASV12363, ASV14453, ASV14504, ASV14588, ASV14620, ASV14803, ASV14798, ASV15837, ASV16509, ASV17389, ASV18919, ASV18964, ASV19180, ASV19267, ASV19762
OTU68	ASV80, ASV869, ASV1041, ASV4676, ASV13641, ASV15159, ASV20490, ASV21110
OTU69	ASV92, ASV173, ASV323, ASV423, ASV593, ASV648, ASV666, ASV699, ASV745, ASV766, ASV800, ASV926, ASV953, ASV962, ASV918, ASV961, ASV1021, ASV1068, ASV1040, ASV1111, ASV1323, ASV1459, ASV1446, ASV1640, ASV1648, ASV1760, ASV1782, ASV2251, ASV2519, ASV2509, ASV2826, ASV3686, ASV3874, ASV4155, ASV4579, ASV5596, ASV5718, ASV5796, ASV5814, ASV6305, ASV7356, ASV7488, ASV7634, ASV8111, ASV9161, ASV9247, ASV9803, ASV9854, ASV10096, ASV10297, ASV10401, ASV11002, ASV11498, ASV11744, ASV11991, ASV12583, ASV12832, ASV12781, ASV12848, ASV13202, ASV13308, ASV13537, ASV13892, ASV14028, ASV14097, ASV14164, ASV14340, ASV15012, ASV15093, ASV15236, ASV15611, ASV15743, ASV16313, ASV16578, ASV16577, ASV16583, ASV16609, ASV17069, ASV17073, ASV17407, ASV17416, ASV17642, ASV17643, ASV17920, ASV18204, ASV18439, ASV18534, ASV18749, ASV19192, ASV19505, ASV19472, ASV19508, ASV19624, ASV19897, ASV20487, ASV20569, ASV20903, ASV20995, ASV21317
OTU70	ASV90, ASV4689, ASV6990, ASV19911, ASV20504
OTU71	ASV106, ASV20647, ASV20870
OTU72	ASV98, ASV559
OTU73	ASV108
OTU74	ASV101, ASV136, ASV409, ASV6350, ASV7837, ASV8530, ASV16463, ASV20087, ASV20798
OTU75	ASV111, ASV220
OTU76	ASV95, ASV11524, ASV20483, ASV20864, ASV20849
OTU77	ASV69, ASV444, ASV719, ASV3205, ASV6986, ASV10812, ASV15900, ASV18968, ASV19682, ASV20486, ASV20635, ASV21000
OTU78	ASV66, ASV271, ASV796, ASV2468, ASV3554, ASV4106, ASV8564, ASV10851, ASV11963, ASV14622, ASV16379, ASV20534
OTU79	ASV86, ASV5819, ASV20287, ASV20763
OTU80	ASV81, ASV5997, ASV15084, ASV21034
OTU81	ASV117, ASV1260, ASV20026
OTU82	ASV91, ASV5470, ASV5618, ASV6727, ASV14219, ASV20101, ASV21230
OTU83	ASV115, ASV142, ASV139, ASV616, ASV681, ASV762, ASV830, ASV1053, ASV1259, ASV2040, ASV7972, ASV8256, ASV9775, ASV10774, ASV11901, ASV16660, ASV16828, ASV18612, ASV18885, ASV19621, ASV20263
OTU84	ASV124, ASV19627
OTU85	ASV119, ASV6249, ASV18558, ASV19818, ASV20777
OTU86	ASV129, ASV20458, ASV20855, ASV21115, ASV21278
OTU87	ASV121, ASV1628, ASV1851, ASV2731, ASV3432, ASV4543, ASV6196, ASV6610, ASV7895, ASV8339, ASV8724, ASV10591, ASV11115, ASV11715, ASV12626, ASV13172, ASV13236, ASV14033, ASV19594, ASV20144, ASV20180, ASV21055, ASV21104, ASV21236
OTU88	ASV102, ASV974, ASV1891, ASV17614, ASV20473, ASV20772, ASV21298
OTU89	ASV137, ASV144, ASV193, ASV465, ASV2160, ASV4590, ASV4979, ASV5995, ASV7846, ASV10256, ASV14168, ASV16187, ASV20396, ASV20580
OTU90	ASV113, ASV132, ASV4024, ASV7584, ASV10198, ASV11494, ASV13822, ASV17475, ASV19704, ASV20488, ASV20860
OTU91	ASV140, ASV722, ASV5017, ASV5635, ASV11327, ASV15655, ASV21217
