,Capnodiales,Pleosporales,Unclassified,Hypocreales,Dothideales,Poales,Tremellales,Helotiales,Chaetothyriales,Saccharomycetales,Lecanorales,Xylariales,Pezizales,Proteales,Agaricales,Sporidiobolales,Mycosphaerellales,Acarosporales,Filobasidiales,Sordariales,Botryosphaeriales,Lichenostigmatales,Myriangiales,Togniniales,Basidiobolales,Erythrobasidiales,Auriculariales,Diaporthales,Eurotiales,Microascales,Magnaporthales,Lichinales,Atractiellales,Conioscyphales,Lecideales,Pleurotheciales,Cystofilobasidiales,Bezerromycetales,Thelebolales,Orbiliales,Verrucariales,Taphrinales,Cystobasidiales,Corticiales,Calosphaeriales,Tubeufiales,Russulales,Glomerellales,Neocelosporiales,Wallemiales,Trechisporales,Savoryellales,Mortierellales,Agaricostilbales,Leucosporidiales,Archaeorhizomycetales,Venturiales,Caliciales,Sareales,Pertusariales,Coniochaetales,Boletales,Cantharellales,Polyporales,Mycocaliciales,Blastocladiales,Hymenochaetales,Mytilinidales,Mucorales,Ostropales,Schizosaccharomycetales,Peltigerales,Candelariales,Trapeliales,Atheliales,Calcarisporiellales,Choanoflagellida,Phacidiales,Phaeomoniellales,Erysiphales,Thelephorales,Symbiotaphrinales,Teloschistales,Glomerales,Mesostigmata,Sebacinales,Trichosphaeriales,Physarida,Chaetosphaeriales,Myrmecridiales,Archaeosporales,Amphisphaeriales,Phallales,Trichosporonales,Patellariales,Spiculogloeales,Sclerococcales,Phaeothecales,Neophaeothecales,Caryophyllales,Tritirachiales,Ophiostomatales,Polypodiales,Delonicicolales,Umbilicariales,Holtermanniales,Thyridiales,Geoglossales,Geastrales,Onygenales,Sakaguchiales,Gloeophyllales,Phaeotrichales,Monoblastiales,Rhytismatales,Valsariales
SL1501,10,40,1651,3,19,0,0,0,0,3,0,2,0,0,4,1,2,1,0,2,5,0,0,2,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1502,11,42,1017,4,1,5,2,3,36,2,1,0,0,0,6,1,0,0,1,0,7,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1503,8,43,4450,57,4,0,3,1,21,11,6,1,2,0,23,1,3,1,7,2,7,2,0,0,2,0,0,1,6,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1504,28,50,1107,4,9,1,10,1,2,8,6,0,0,0,12,3,7,0,4,5,0,2,0,0,7,1,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1505,48,37,1856,5,23,1,8,0,5,7,0,0,1,0,20,1,4,0,13,3,1,3,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1506,34,39,1774,5,2,2,4,0,65,11,0,2,1,0,8,1,9,0,2,5,0,0,0,2,0,0,0,0,4,0,0,2,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1507,9,13,992,5,0,1,5,0,68,5,0,3,0,0,8,1,1,0,2,1,2,0,0,5,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1508,28,54,2544,12,4,3,9,0,77,10,4,7,0,0,18,1,10,0,7,6,0,0,0,1,0,0,1,1,2,0,0,2,3,0,0,0,1,0,0,1,0,1,3,0,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1509,23,39,1445,8,8,1,5,0,113,6,0,4,2,1,6,1,8,1,5,2,6,1,0,2,0,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1510,12,16,1012,25,5,2,8,0,8,7,1,0,1,0,12,2,2,0,3,1,0,0,0,0,1,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1511,15,13,1401,9,6,1,4,0,59,5,1,3,1,0,7,3,2,0,2,1,2,0,0,2,0,1,3,0,0,0,0,1,0,0,1,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1512,44,38,2401,2,1,4,4,5,5,9,14,0,1,1,12,1,4,1,1,1,0,0,0,0,28,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1513,50,32,2117,4,10,2,5,0,3,7,3,0,0,0,15,1,3,0,11,4,0,1,0,0,0,0,1,3,6,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SL1514,21,35,2372,6,14,4,7,0,4,5,8,0,0,1,5,1,1,1,3,7,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1515,36,81,2217,5,14,2,9,0,22,7,16,2,0,0,12,1,4,0,5,3,3,4,0,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1516,32,83,3757,19,13,6,6,5,36,15,5,5,2,0,31,1,16,1,8,15,7,8,0,0,0,0,0,0,5,0,1,2,0,0,2,1,0,1,0,2,1,0,4,0,0,2,0,2,0,3,2,0,5,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SL1517,39,40,1086,4,23,1,7,0,62,1,0,3,0,0,8,1,12,0,8,1,5,3,3,1,0,0,0,4,8,0,0,1,1,0,1,0,1,0,0,0,1,0,2,0,2,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1518,38,19,1929,10,8,4,6,0,5,8,33,0,0,0,21,2,2,0,0,2,0,0,1,0,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1519,1,3,1174,1,0,0,8,0,0,12,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1520,43,11,1058,2,19,4,1,0,3,3,0,0,1,0,3,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1521,49,68,1603,4,12,1,3,1,2,7,1,2,0,0,27,0,3,1,10,13,4,2,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1522,45,32,1808,1,13,3,4,0,4,7,3,0,0,0,6,1,1,1,0,2,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1523,51,52,2606,7,12,2,4,2,23,9,2,2,0,0,8,2,3,1,12,0,1,0,0,3,3,0,0,0,5,0,0,0,2,0,0,5,1,0,0,0,0,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SL1524,31,79,2394,12,7,2,6,2,95,5,0,8,5,0,18,1,16,0,8,11,3,1,0,1,0,0,0,0,6,0,1,1,2,0,0,1,1,0,0,1,0,0,5,0,0,0,0,0,0,2,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
