,Dothideomycetes,Unclassified,Sordariomycetes,Monocotyledonae,Tremellomycetes,Leotiomycetes,Eurotiomycetes,Saccharomycetes,Lecanoromycetes,Pezizomycetes,Eudicotyledonae,Agaricomycetes,Microbotryomycetes,Arthoniomycetes,Basidiobolomycetes,Cystobasidiomycetes,Lichinomycetes,Atractiellomycetes,Orbiliomycetes,Taphrinomycetes,Wallemiomycetes,Mortierellomycetes,Agaricostilbomycetes,Archaeorhizomycetes,Sareomycetes,Blastocladiomycetes,Mucoromycetes,Schizosaccharomycetes,Candelariomycetes,Calcarisporiellomycetes,Xylonomycetes,Glomeromycetes,Arachnida,Myxogastrea,Archaeosporomycetes,Spiculogloeomycetes,Tritirachiomycetes,Polypodiopsida,Pucciniomycetes,Geoglossomycetes
SL1501,60.330479452054796,5.421232876712328,27.041095890410958,0.0,0.0,0.0,7.183219178082192,0.010273972602739725,0.003424657534246575,0.0,0.0,0.008561643835616438,0.0017123287671232876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1502,21.595863810726453,2.9020037645040624,1.1293512186986252,12.839817969550404,0.026208572585833076,0.2477901408115127,60.86821853184342,0.00714779252340902,0.002382597507803007,0.0,0.0,0.37645040623287507,0.004765195015606014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1503,9.515633471895898,60.37863726730526,11.124164106271461,0.0,3.628230616302187,0.004518344478583047,3.0137357672148926,0.13103198987890838,1.6943791794686427,0.009036688957166094,0.0,6.904030363274896,1.1792879089101753,0.009036688957166094,0.018073377914332188,0.009036688957166094,0.004518344478583047,0.0,0.0,0.0,0.0,2.3766491957346827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1504,72.94733398756951,13.886162904808636,1.2389597644749755,0.4497873732417403,4.964017010140661,0.02453385672227674,0.5029440628066733,0.29849525678770034,0.07769054628720969,0.0,0.0,1.5374550212626759,0.10631337912986588,2.2489368662087013,1.602878639188747,0.0654236179260713,0.004088976120379457,0.0,0.0,0.0,0.044978737324174026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1505,62.49732429539779,33.38922582946843,0.21405636817695325,0.05708169818052087,2.340349625401356,0.0,0.5494113449875134,0.028540849090260435,0.0,0.0035676061362825543,0.0,0.3353549768105601,0.014270424545130217,0.5494113449875134,0.0,0.01783803068141277,0.0,0.0,0.0035676061362825543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1506,38.5843807953843,15.876777251184834,8.463836801978157,4.960848959406553,2.6117865237997115,0.0,25.381207500515146,3.0239027405728414,0.09272614877395426,0.005151452709664125,0.0,0.7160519266433134,0.01030290541932825,0.0,0.0,0.0,0.21120956109622913,0.056665979806305375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005151452709664125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1507,30.482194581700462,10.47878684614074,25.04685636394616,1.4227295961833362,0.4089282671664679,0.0,29.826205486454253,1.9424092690407224,0.008519338899301414,0.0,0.0,0.33225421707275515,0.01703867779860283,0.0,0.0,0.008519338899301414,0.0,0.0,0.0,0.0,0.0,0.025558016697904244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1508,44.38154841431685,18.7328598551438,2.977990296041066,3.5721819843892835,7.731523802826805,0.0,8.547218901624358,0.11250966879966247,0.028127417199915617,0.0,0.0,13.705084030658885,0.007031854299978904,0.0,0.0,0.010547781449968357,0.028127417199915617,0.09844596019970467,0.021095562899936714,0.007031854299978904,0.038675198649883974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1509,36.81764407639006,41.941299081741874,6.055996845248155,0.4563123204326517,2.428032223536702,0.0,11.909188214748465,0.03943439806208101,0.036617655343360936,0.05351811165568137,0.0028167427187200723,0.1211199369049631,0.005633485437440145,0.10421948059264267,0.0,0.028167427187200722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SL1510,6.399423593371324,7.964891596253357,68.96574310604572,3.0654352525054036,5.030457850265278,0.0,0.8449597170367459,0.1113512805397262,0.013100150651732496,0.006550075325866248,0.0,7.473635946813388,0.09170105456212746,0.0,0.013100150651732496,0.013100150651732496,0.0,0.0,0.0,0.0,0.006550075325866248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
