#OTUID	taxonomy
ASV1	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium
ASV2	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium
ASV3	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria
ASV4	k__Fungi;p__;c__;o__;f__;g__;s__
ASV5	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium oxysporum
ASV6	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Saccotheciaceae;g__Aureobasidium
ASV7	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium
ASV8	k__Viridiplantae;p__Anthophyta;c__Monocotyledonae;o__Poales;f__Poaceae;g__Chimonocalamus;s__Chimonocalamus pallens
ASV9	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium
ASV10	k__Fungi;p__Ascomycota
ASV11	k__Fungi;p__Ascomycota
ASV12	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Cryptococcaceae;g__Cryptococcus;s__Cryptococcus neoformans
ASV13	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Querciphoma;s__Querciphoma carteri
ASV14	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Querciphoma;s__Querciphoma carteri
ASV15	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium austrohemisphaericum
ASV16	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Sclerotiniaceae
ASV17	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales
ASV18	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma carnescens
ASV19	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Saccotheciaceae;g__Aureobasidium
ASV20	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium austrohemisphaericum
ASV21	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales
ASV22	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium
ASV23	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces
ASV24	k__Fungi;p__;c__;o__;f__;g__;s__
ASV25	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella
ASV26	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Lecanoraceae;g__Carbonea;s__Carbonea vorticosa
ASV27	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideaceae;g__Endoconidioma;s__Endoconidioma euphorbiae
ASV28	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales
ASV30	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria;s__Phaeosphaeria sinensis
ASV31	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Amorosiaceae
